time,n_A+p,n_B,n_AB
1000,0.030,0.948,0.022
2000,0.031,0.937,0.032
3000,0.031,0.930,0.039
4000,0.034,0.934,0.032
5000,0.033,0.931,0.036
6000,0.031,0.940,0.029
7000,0.034,0.926,0.040
8000,0.034,0.921,0.045
9000,0.037,0.934,0.029
10000,0.035,0.929,0.036
11000,0.035,0.943,0.022
12000,0.035,0.924,0.041
13000,0.037,0.915,0.048
14000,0.046,0.901,0.053
15000,0.037,0.915,0.048
16000,0.033,0.923,0.044
17000,0.033,0.938,0.029
18000,0.032,0.930,0.038
19000,0.032,0.939,0.029
20000,0.032,0.946,0.022
21000,0.031,0.944,0.025
22000,0.030,0.944,0.026
23000,0.031,0.950,0.019
24000,0.030,0.947,0.023
25000,0.030,0.938,0.032
26000,0.032,0.938,0.030
27000,0.031,0.927,0.042
28000,0.032,0.928,0.040
29000,0.032,0.935,0.033
30000,0.030,0.931,0.039
31000,0.032,0.929,0.039
32000,0.033,0.928,0.039
33000,0.031,0.938,0.031
34000,0.034,0.929,0.037
35000,0.032,0.929,0.039
36000,0.036,0.915,0.049
37000,0.032,0.919,0.049
38000,0.034,0.914,0.052
39000,0.033,0.929,0.038
40000,0.034,0.922,0.044
41000,0.037,0.931,0.032
42000,0.035,0.918,0.047
43000,0.032,0.927,0.041
44000,0.035,0.932,0.033
45000,0.033,0.934,0.033
46000,0.035,0.939,0.026
47000,0.034,0.929,0.037
48000,0.032,0.924,0.044
49000,0.031,0.936,0.033
50000,0.031,0.931,0.038
51000,0.033,0.934,0.033
52000,0.034,0.933,0.033
53000,0.033,0.945,0.022
54000,0.032,0.937,0.031
55000,0.032,0.946,0.022
56000,0.031,0.946,0.023
57000,0.031,0.939,0.030
58000,0.032,0.937,0.031
59000,0.033,0.922,0.045
60000,0.034,0.925,0.041
61000,0.033,0.928,0.039
62000,0.034,0.923,0.043
63000,0.035,0.920,0.045
64000,0.034,0.922,0.044
65000,0.032,0.928,0.040
66000,0.032,0.939,0.029
67000,0.036,0.912,0.052
68000,0.037,0.913,0.050
69000,0.035,0.912,0.053
70000,0.033,0.935,0.032
71000,0.034,0.928,0.038
72000,0.034,0.924,0.042
73000,0.035,0.924,0.041
74000,0.036,0.908,0.056
75000,0.032,0.921,0.047
76000,0.034,0.927,0.039
77000,0.034,0.922,0.044
78000,0.036,0.928,0.036
79000,0.038,0.919,0.043
80000,0.032,0.924,0.044
81000,0.033,0.927,0.040
82000,0.032,0.929,0.039
83000,0.032,0.938,0.030
84000,0.031,0.938,0.031
85000,0.032,0.930,0.038
86000,0.034,0.939,0.027
87000,0.035,0.923,0.042
88000,0.036,0.934,0.030
89000,0.032,0.923,0.045
90000,0.033,0.927,0.040
91000,0.035,0.934,0.031
92000,0.034,0.935,0.031
93000,0.032,0.933,0.035
94000,0.031,0.932,0.037
95000,0.031,0.935,0.034
96000,0.035,0.928,0.037
97000,0.034,0.921,0.045
98000,0.033,0.931,0.036
99000,0.034,0.929,0.037
100000,0.036,0.935,0.029
101000,0.034,0.938,0.028
102000,0.033,0.937,0.030
103000,0.035,0.931,0.034
104000,0.036,0.927,0.037
105000,0.036,0.933,0.031
106000,0.033,0.927,0.040
107000,0.033,0.925,0.042
108000,0.031,0.935,0.034
109000,0.031,0.927,0.042
110000,0.032,0.928,0.040
111000,0.031,0.941,0.028
112000,0.032,0.930,0.038
113000,0.030,0.935,0.035
114000,0.036,0.938,0.026
115000,0.036,0.935,0.029
116000,0.033,0.928,0.039
117000,0.033,0.922,0.045
118000,0.030,0.928,0.042
119000,0.031,0.937,0.032
120000,0.034,0.939,0.027
121000,0.035,0.937,0.028
122000,0.035,0.937,0.028
123000,0.037,0.919,0.044
124000,0.035,0.927,0.038
125000,0.034,0.933,0.033
126000,0.033,0.926,0.041
127000,0.031,0.934,0.035
128000,0.030,0.931,0.039
129000,0.032,0.922,0.046
130000,0.032,0.928,0.040
131000,0.033,0.932,0.035
132000,0.037,0.913,0.050
133000,0.033,0.914,0.053
134000,0.034,0.919,0.047
135000,0.038,0.917,0.045
136000,0.037,0.924,0.039
137000,0.038,0.924,0.038
138000,0.035,0.917,0.048
139000,0.036,0.913,0.051
140000,0.034,0.921,0.045
141000,0.036,0.915,0.049
142000,0.036,0.921,0.043
143000,0.032,0.920,0.048
144000,0.033,0.916,0.051
145000,0.034,0.932,0.034
146000,0.035,0.935,0.030
147000,0.036,0.936,0.028
148000,0.034,0.915,0.051
149000,0.035,0.920,0.045
