time,n_A+p,n_B,n_AB
1000,0.030,0.920,0.050
2000,0.030,0.893,0.077
3000,0.030,0.893,0.077
4000,0.030,0.871,0.099
5000,0.030,0.906,0.064
6000,0.030,0.911,0.059
7000,0.030,0.885,0.085
8000,0.030,0.902,0.068
9000,0.030,0.899,0.071
10000,0.030,0.903,0.067
11000,0.030,0.905,0.065
12000,0.030,0.880,0.090
13000,0.030,0.887,0.083
14000,0.030,0.921,0.049
15000,0.030,0.902,0.068
16000,0.030,0.907,0.063
17000,0.030,0.896,0.074
18000,0.030,0.892,0.078
19000,0.030,0.887,0.083
20000,0.030,0.895,0.075
21000,0.030,0.882,0.088
22000,0.030,0.887,0.083
23000,0.030,0.935,0.035
24000,0.030,0.915,0.055
25000,0.030,0.864,0.106
26000,0.030,0.919,0.051
27000,0.030,0.871,0.099
28000,0.030,0.908,0.062
29000,0.030,0.863,0.107
30000,0.030,0.902,0.068
31000,0.030,0.913,0.057
32000,0.030,0.896,0.074
33000,0.030,0.888,0.082
34000,0.030,0.863,0.107
35000,0.030,0.938,0.032
36000,0.030,0.928,0.042
37000,0.030,0.908,0.062
38000,0.030,0.923,0.047
39000,0.030,0.884,0.086
40000,0.030,0.906,0.064
41000,0.030,0.868,0.102
42000,0.030,0.945,0.025
43000,0.030,0.908,0.062
44000,0.030,0.879,0.091
45000,0.030,0.912,0.058
46000,0.030,0.909,0.061
47000,0.030,0.894,0.076
48000,0.030,0.910,0.060
49000,0.030,0.914,0.056
50000,0.030,0.862,0.108
51000,0.030,0.930,0.040
52000,0.030,0.885,0.085
53000,0.030,0.921,0.049
54000,0.030,0.893,0.077
55000,0.030,0.883,0.087
56000,0.030,0.920,0.050
57000,0.030,0.883,0.087
58000,0.030,0.926,0.044
59000,0.030,0.871,0.099
60000,0.030,0.904,0.066
61000,0.030,0.910,0.060
62000,0.030,0.922,0.048
63000,0.030,0.882,0.088
64000,0.030,0.905,0.065
65000,0.030,0.901,0.069
66000,0.030,0.897,0.073
67000,0.030,0.917,0.053
68000,0.030,0.927,0.043
69000,0.030,0.921,0.049
70000,0.030,0.906,0.064
71000,0.030,0.890,0.080
72000,0.030,0.925,0.045
73000,0.030,0.904,0.066
74000,0.030,0.918,0.052
75000,0.030,0.908,0.062
76000,0.030,0.897,0.073
77000,0.030,0.916,0.054
78000,0.030,0.879,0.091
79000,0.030,0.873,0.097
80000,0.030,0.889,0.081
81000,0.030,0.909,0.061
82000,0.030,0.925,0.045
83000,0.030,0.929,0.041
84000,0.030,0.921,0.049
85000,0.030,0.893,0.077
86000,0.030,0.875,0.095
87000,0.030,0.882,0.088
88000,0.030,0.923,0.047
89000,0.030,0.917,0.053
90000,0.030,0.881,0.089
91000,0.030,0.920,0.050
92000,0.030,0.918,0.052
93000,0.030,0.908,0.062
94000,0.030,0.915,0.055
95000,0.030,0.887,0.083
96000,0.030,0.923,0.047
97000,0.030,0.908,0.062
98000,0.030,0.918,0.052
99000,0.030,0.903,0.067
100000,0.030,0.919,0.051
101000,0.030,0.910,0.060
102000,0.030,0.888,0.082
103000,0.030,0.883,0.087
104000,0.030,0.868,0.102
105000,0.030,0.926,0.044
106000,0.030,0.893,0.077
107000,0.030,0.894,0.076
108000,0.030,0.893,0.077
109000,0.030,0.916,0.054
110000,0.030,0.924,0.046
111000,0.030,0.917,0.053
112000,0.030,0.922,0.048
113000,0.030,0.897,0.073
114000,0.030,0.836,0.134
115000,0.030,0.877,0.093
116000,0.030,0.888,0.082
117000,0.030,0.868,0.102
118000,0.030,0.903,0.067
119000,0.030,0.908,0.062
120000,0.030,0.898,0.072
121000,0.030,0.893,0.077
122000,0.030,0.902,0.068
123000,0.030,0.883,0.087
124000,0.030,0.863,0.107
125000,0.030,0.897,0.073
126000,0.030,0.869,0.101
127000,0.030,0.884,0.086
128000,0.030,0.893,0.077
129000,0.030,0.913,0.057
130000,0.030,0.922,0.048
131000,0.030,0.914,0.056
132000,0.030,0.906,0.064
133000,0.030,0.864,0.106
134000,0.030,0.852,0.118
135000,0.030,0.874,0.096
136000,0.030,0.915,0.055
137000,0.030,0.892,0.078
138000,0.030,0.924,0.046
139000,0.030,0.907,0.063
140000,0.030,0.928,0.042
141000,0.030,0.851,0.119
142000,0.030,0.880,0.090
143000,0.030,0.912,0.058
144000,0.030,0.888,0.082
145000,0.030,0.914,0.056
146000,0.030,0.904,0.066
147000,0.030,0.911,0.059
148000,0.030,0.899,0.071
149000,0.030,0.922,0.048
150000,0.030,0.918,0.052
151000,0.030,0.916,0.054
152000,0.030,0.922,0.048
153000,0.030,0.914,0.056
154000,0.030,0.941,0.029
155000,0.030,0.894,0.076
156000,0.030,0.888,0.082
157000,0.030,0.902,0.068
158000,0.030,0.907,0.063
159000,0.030,0.908,0.062
160000,0.030,0.899,0.071
161000,0.030,0.918,0.052
162000,0.030,0.907,0.063
163000,0.030,0.896,0.074
164000,0.030,0.919,0.051
165000,0.030,0.875,0.095
166000,0.030,0.901,0.069
167000,0.030,0.896,0.074
168000,0.030,0.891,0.079
169000,0.030,0.914,0.056
170000,0.030,0.890,0.080
171000,0.030,0.886,0.084
172000,0.030,0.904,0.066
173000,0.030,0.902,0.068
174000,0.030,0.904,0.066
175000,0.030,0.915,0.055
176000,0.030,0.879,0.091
177000,0.030,0.890,0.080
178000,0.030,0.919,0.051
179000,0.030,0.878,0.092
180000,0.030,0.925,0.045
181000,0.030,0.901,0.069
182000,0.030,0.907,0.063
183000,0.030,0.907,0.063
184000,0.030,0.918,0.052
185000,0.030,0.925,0.045
