time,n_A+p,n_B,n_AB
1000,0.083,0.111,0.806
2000,0.040,0.062,0.898
3000,0.045,0.039,0.916
4000,0.040,0.043,0.917
5000,0.037,0.037,0.926
6000,0.046,0.043,0.911
7000,0.046,0.022,0.932
8000,0.068,0.030,0.902
9000,0.060,0.037,0.903
10000,0.048,0.049,0.903
11000,0.045,0.019,0.936
12000,0.043,0.050,0.907
13000,0.030,0.057,0.913
14000,0.037,0.042,0.921
15000,0.040,0.023,0.937
16000,0.026,0.045,0.929
17000,0.026,0.030,0.944
18000,0.051,0.037,0.912
19000,0.057,0.033,0.910
20000,0.035,0.061,0.904
21000,0.046,0.036,0.918
22000,0.046,0.042,0.912
23000,0.043,0.031,0.926
24000,0.059,0.030,0.911
25000,0.049,0.030,0.921
26000,0.033,0.052,0.915
27000,0.037,0.047,0.916
28000,0.048,0.045,0.907
29000,0.020,0.042,0.938
30000,0.021,0.041,0.938
31000,0.025,0.053,0.922
32000,0.039,0.045,0.916
33000,0.042,0.046,0.912
34000,0.045,0.052,0.903
35000,0.035,0.027,0.938
36000,0.037,0.020,0.943
37000,0.036,0.037,0.927
38000,0.052,0.040,0.908
39000,0.037,0.039,0.924
40000,0.036,0.059,0.905
41000,0.041,0.059,0.900
42000,0.044,0.037,0.919
43000,0.061,0.042,0.897
44000,0.030,0.028,0.942
45000,0.035,0.035,0.930
46000,0.041,0.024,0.935
47000,0.027,0.032,0.941
48000,0.047,0.029,0.924
49000,0.040,0.040,0.920
50000,0.042,0.039,0.919
51000,0.038,0.040,0.922
52000,0.040,0.050,0.910
53000,0.047,0.054,0.899
54000,0.028,0.058,0.914
55000,0.049,0.044,0.907
56000,0.059,0.018,0.923
57000,0.050,0.041,0.909
58000,0.033,0.030,0.937
59000,0.046,0.030,0.924
60000,0.076,0.029,0.895
61000,0.048,0.047,0.905
62000,0.028,0.055,0.917
63000,0.051,0.061,0.888
64000,0.048,0.058,0.894
65000,0.046,0.041,0.913
66000,0.044,0.049,0.907
67000,0.049,0.047,0.904
68000,0.037,0.042,0.921
69000,0.057,0.025,0.918
70000,0.035,0.028,0.937
71000,0.022,0.040,0.938
72000,0.048,0.046,0.906
73000,0.034,0.033,0.933
74000,0.035,0.037,0.928
75000,0.026,0.051,0.923
76000,0.052,0.061,0.887
77000,0.027,0.039,0.934
78000,0.038,0.052,0.910
79000,0.059,0.025,0.916
80000,0.038,0.027,0.935
81000,0.029,0.029,0.942
82000,0.025,0.032,0.943
83000,0.048,0.051,0.901
84000,0.039,0.052,0.909
85000,0.032,0.069,0.899
86000,0.052,0.032,0.916
87000,0.030,0.059,0.911
88000,0.039,0.066,0.895
89000,0.034,0.038,0.928
90000,0.055,0.022,0.923
91000,0.051,0.028,0.921
92000,0.030,0.024,0.946
93000,0.029,0.041,0.930
94000,0.027,0.045,0.928
95000,0.026,0.054,0.920
96000,0.041,0.054,0.905
97000,0.029,0.073,0.898
98000,0.041,0.022,0.937
99000,0.036,0.047,0.917
100000,0.036,0.063,0.901
101000,0.041,0.052,0.907
102000,0.019,0.030,0.951
103000,0.049,0.030,0.921
104000,0.051,0.023,0.926
105000,0.028,0.051,0.921
106000,0.036,0.073,0.891
107000,0.036,0.035,0.929
108000,0.021,0.047,0.932
109000,0.054,0.035,0.911
110000,0.061,0.023,0.916
111000,0.024,0.046,0.930
112000,0.032,0.050,0.918
113000,0.060,0.025,0.915
114000,0.043,0.036,0.921
115000,0.048,0.044,0.908
116000,0.043,0.022,0.935
117000,0.044,0.032,0.924
