time,n_A+p,n_B,n_AB
1000,0.301,0.431,0.268
2000,0.281,0.478,0.241
3000,0.248,0.492,0.260
4000,0.248,0.494,0.258
5000,0.239,0.495,0.266
6000,0.290,0.436,0.274
7000,0.354,0.373,0.273
8000,0.370,0.355,0.275
9000,0.389,0.334,0.277
10000,0.441,0.273,0.286
11000,0.511,0.229,0.260
12000,0.542,0.198,0.260
13000,0.632,0.155,0.213
14000,0.577,0.182,0.241
15000,0.626,0.151,0.223
16000,0.702,0.075,0.223
17000,0.659,0.119,0.222
18000,0.530,0.238,0.232
19000,0.495,0.248,0.257
20000,0.450,0.284,0.266
21000,0.450,0.298,0.252
22000,0.434,0.307,0.259
23000,0.511,0.286,0.203
24000,0.439,0.273,0.288
25000,0.499,0.247,0.254
26000,0.386,0.334,0.280
27000,0.451,0.296,0.253
28000,0.485,0.239,0.276
29000,0.479,0.271,0.250
30000,0.529,0.234,0.237
31000,0.580,0.198,0.222
32000,0.623,0.163,0.214
33000,0.566,0.183,0.251
34000,0.579,0.197,0.224
35000,0.586,0.179,0.235
36000,0.590,0.189,0.221
37000,0.536,0.198,0.266
38000,0.562,0.177,0.261
39000,0.590,0.174,0.236
40000,0.583,0.174,0.243
41000,0.570,0.201,0.229
42000,0.523,0.228,0.249
43000,0.529,0.221,0.250
44000,0.611,0.157,0.232
45000,0.597,0.155,0.248
46000,0.548,0.215,0.237
47000,0.598,0.176,0.226
48000,0.468,0.269,0.263
49000,0.498,0.233,0.269
50000,0.517,0.227,0.256
51000,0.436,0.248,0.316
52000,0.501,0.250,0.249
53000,0.438,0.295,0.267
54000,0.520,0.226,0.254
55000,0.462,0.282,0.256
56000,0.373,0.353,0.274
57000,0.491,0.254,0.255
58000,0.383,0.330,0.287
59000,0.466,0.297,0.237
60000,0.498,0.223,0.279
61000,0.510,0.227,0.263
62000,0.488,0.264,0.248
63000,0.394,0.340,0.266
64000,0.392,0.345,0.263
65000,0.438,0.322,0.240
66000,0.407,0.332,0.261
67000,0.414,0.320,0.266
68000,0.537,0.221,0.242
69000,0.451,0.295,0.254
70000,0.404,0.308,0.288
71000,0.325,0.386,0.289
72000,0.256,0.481,0.263
73000,0.250,0.471,0.279
74000,0.263,0.478,0.259
75000,0.260,0.507,0.233
76000,0.282,0.492,0.226
77000,0.246,0.505,0.249
78000,0.235,0.514,0.251
79000,0.221,0.530,0.249
80000,0.221,0.528,0.251
81000,0.239,0.498,0.263
82000,0.137,0.637,0.226
83000,0.051,0.776,0.173
84000,0.038,0.842,0.120
85000,0.038,0.846,0.116
86000,0.023,0.842,0.135
87000,0.034,0.821,0.145
88000,0.013,0.904,0.083
89000,0.007,0.917,0.076
90000,0.000,0.953,0.047
91000,0.007,0.963,0.030
92000,0.000,0.986,0.014
93000,0.000,0.984,0.016
94000,0.000,0.993,0.007
95000,0.000,0.984,0.016
96000,0.000,0.999,0.001
97000,0.000,1.000,0.000
