time,n_A+p,n_B,n_AB
100,0.030,0.967,0.003
200,0.030,0.964,0.006
300,0.030,0.963,0.007
400,0.030,0.962,0.008
500,0.031,0.952,0.017
600,0.031,0.954,0.015
700,0.031,0.953,0.016
800,0.031,0.952,0.017
900,0.030,0.953,0.017
1000,0.030,0.948,0.022
1100,0.031,0.941,0.028
1200,0.030,0.941,0.029
1300,0.030,0.945,0.025
1400,0.030,0.948,0.022
1500,0.030,0.943,0.027
1600,0.030,0.940,0.030
1700,0.030,0.941,0.029
1800,0.030,0.944,0.026
1900,0.030,0.941,0.029
2000,0.030,0.941,0.029
2100,0.030,0.941,0.029
2200,0.030,0.936,0.034
2300,0.030,0.933,0.037
2400,0.031,0.930,0.039
2500,0.030,0.930,0.040
2600,0.030,0.931,0.039
2700,0.030,0.922,0.048
2800,0.031,0.917,0.052
2900,0.031,0.920,0.049
3000,0.031,0.923,0.046
3100,0.031,0.927,0.042
3200,0.031,0.926,0.043
3300,0.031,0.926,0.043
3400,0.032,0.922,0.046
3500,0.032,0.920,0.048
3600,0.030,0.920,0.050
3700,0.030,0.914,0.056
3800,0.030,0.911,0.059
3900,0.030,0.906,0.064
4000,0.030,0.903,0.067
4100,0.031,0.899,0.070
4200,0.031,0.896,0.073
4300,0.031,0.897,0.072
4400,0.033,0.900,0.067
4500,0.032,0.896,0.072
4600,0.032,0.895,0.073
4700,0.033,0.898,0.069
4800,0.035,0.897,0.068
4900,0.035,0.895,0.070
5000,0.034,0.897,0.069
5100,0.034,0.899,0.067
5200,0.035,0.889,0.076
5300,0.034,0.894,0.072
5400,0.035,0.894,0.071
5500,0.037,0.890,0.073
5600,0.034,0.897,0.069
5700,0.034,0.902,0.064
5800,0.034,0.903,0.063
5900,0.033,0.903,0.064
6000,0.032,0.900,0.068
6100,0.032,0.904,0.064
6200,0.033,0.905,0.062
6300,0.034,0.908,0.058
6400,0.033,0.904,0.063
6500,0.033,0.909,0.058
6600,0.033,0.911,0.056
6700,0.033,0.911,0.056
6800,0.035,0.903,0.062
6900,0.035,0.898,0.067
7000,0.035,0.893,0.072
7100,0.037,0.892,0.071
7200,0.037,0.889,0.074
7300,0.037,0.886,0.077
7400,0.036,0.881,0.083
7500,0.036,0.882,0.082
7600,0.035,0.879,0.086
7700,0.035,0.880,0.085
7800,0.035,0.889,0.076
7900,0.035,0.898,0.067
8000,0.037,0.898,0.065
8100,0.036,0.892,0.072
8200,0.035,0.892,0.073
8300,0.035,0.884,0.081
8400,0.035,0.881,0.084
8500,0.035,0.877,0.088
8600,0.036,0.873,0.091
8700,0.035,0.873,0.092
