time,n_A+p,n_B,n_AB
100,0.030,0.966,0.004
200,0.031,0.963,0.006
300,0.031,0.962,0.007
400,0.030,0.962,0.008
500,0.032,0.955,0.013
600,0.032,0.954,0.014
700,0.031,0.949,0.020
800,0.031,0.950,0.019
900,0.031,0.947,0.022
1000,0.031,0.944,0.025
1100,0.031,0.943,0.026
1200,0.030,0.937,0.033
1300,0.030,0.940,0.030
1400,0.030,0.932,0.038
1500,0.030,0.934,0.036
1600,0.030,0.932,0.038
1700,0.030,0.929,0.041
1800,0.030,0.927,0.043
1900,0.032,0.926,0.042
2000,0.031,0.923,0.046
2100,0.030,0.924,0.046
2200,0.030,0.921,0.049
2300,0.030,0.921,0.049
2400,0.030,0.917,0.053
2500,0.030,0.921,0.049
2600,0.030,0.923,0.047
2700,0.030,0.916,0.054
2800,0.030,0.913,0.057
2900,0.030,0.918,0.052
3000,0.030,0.919,0.051
3100,0.030,0.911,0.059
3200,0.030,0.911,0.059
3300,0.030,0.912,0.058
3400,0.030,0.916,0.054
3500,0.030,0.915,0.055
3600,0.030,0.910,0.060
3700,0.032,0.912,0.056
3800,0.031,0.917,0.052
3900,0.034,0.915,0.051
4000,0.036,0.903,0.061
4100,0.036,0.906,0.058
4200,0.036,0.907,0.057
4300,0.036,0.906,0.058
4400,0.035,0.909,0.056
4500,0.035,0.903,0.062
4600,0.035,0.907,0.058
4700,0.036,0.910,0.054
4800,0.036,0.909,0.055
4900,0.036,0.913,0.051
5000,0.035,0.916,0.049
5100,0.033,0.915,0.052
5200,0.033,0.913,0.054
5300,0.034,0.914,0.052
5400,0.034,0.910,0.056
5500,0.035,0.913,0.052
5600,0.037,0.907,0.056
5700,0.037,0.907,0.056
5800,0.035,0.908,0.057
5900,0.036,0.903,0.061
6000,0.036,0.911,0.053
6100,0.035,0.913,0.052
6200,0.032,0.914,0.054
6300,0.032,0.912,0.056
6400,0.032,0.911,0.057
6500,0.032,0.906,0.062
6600,0.032,0.907,0.061
6700,0.032,0.908,0.060
6800,0.032,0.909,0.059
6900,0.033,0.906,0.061
7000,0.034,0.902,0.064
7100,0.036,0.903,0.061
7200,0.039,0.909,0.052
7300,0.040,0.903,0.057
7400,0.041,0.899,0.060
7500,0.040,0.896,0.064
7600,0.040,0.891,0.069
7700,0.039,0.890,0.071
7800,0.038,0.881,0.081
7900,0.038,0.880,0.082
8000,0.041,0.877,0.082
8100,0.040,0.883,0.077
8200,0.042,0.887,0.071
8300,0.040,0.888,0.072
8400,0.040,0.889,0.071
8500,0.043,0.889,0.068
8600,0.043,0.882,0.075
8700,0.042,0.872,0.086
8800,0.043,0.870,0.087
8900,0.041,0.877,0.082
9000,0.043,0.876,0.081
9100,0.043,0.876,0.081
9200,0.043,0.879,0.078
9300,0.042,0.880,0.078
9400,0.043,0.887,0.070
9500,0.041,0.886,0.073
9600,0.038,0.882,0.080
9700,0.036,0.877,0.087
9800,0.040,0.884,0.076
9900,0.039,0.885,0.076
10000,0.038,0.884,0.078
10100,0.039,0.891,0.070
10200,0.038,0.881,0.081
10300,0.039,0.879,0.082
10400,0.039,0.872,0.089
10500,0.044,0.869,0.087
10600,0.042,0.863,0.095
10700,0.042,0.864,0.094
10800,0.041,0.867,0.092
10900,0.041,0.869,0.090
11000,0.042,0.875,0.083
11100,0.041,0.874,0.085
11200,0.037,0.874,0.089
11300,0.038,0.878,0.084
11400,0.036,0.882,0.082
11500,0.038,0.875,0.087
11600,0.039,0.877,0.084
11700,0.039,0.878,0.083
11800,0.039,0.880,0.081
11900,0.040,0.880,0.080
12000,0.041,0.882,0.077
12100,0.038,0.883,0.079
12200,0.037,0.880,0.083
12300,0.038,0.883,0.079
12400,0.039,0.881,0.080
12500,0.039,0.878,0.083
12600,0.039,0.880,0.081
12700,0.038,0.885,0.077
12800,0.039,0.885,0.076
12900,0.040,0.893,0.067
13000,0.045,0.893,0.062
13100,0.044,0.898,0.058
13200,0.041,0.898,0.061
13300,0.045,0.900,0.055
13400,0.047,0.893,0.060
13500,0.046,0.894,0.060
13600,0.049,0.891,0.060
13700,0.047,0.890,0.063
13800,0.046,0.893,0.061
13900,0.046,0.891,0.063
14000,0.044,0.894,0.062
14100,0.041,0.890,0.069
14200,0.039,0.886,0.075
14300,0.040,0.885,0.075
14400,0.040,0.884,0.076
14500,0.041,0.884,0.075
14600,0.039,0.884,0.077
14700,0.041,0.881,0.078
14800,0.040,0.874,0.086
14900,0.040,0.871,0.089
15000,0.041,0.870,0.089
15100,0.041,0.861,0.098
15200,0.042,0.862,0.096
15300,0.042,0.865,0.093
15400,0.040,0.874,0.086
15500,0.036,0.875,0.089
15600,0.038,0.873,0.089
15700,0.038,0.870,0.092
15800,0.038,0.869,0.093
