time,n_A+p,n_B,n_AB
100,0.030,0.964,0.006
200,0.030,0.953,0.017
300,0.030,0.949,0.021
400,0.030,0.944,0.026
500,0.030,0.942,0.028
600,0.030,0.942,0.028
700,0.030,0.941,0.029
800,0.030,0.939,0.031
900,0.030,0.936,0.034
1000,0.030,0.923,0.047
1100,0.030,0.919,0.051
1200,0.030,0.922,0.048
1300,0.030,0.920,0.050
1400,0.030,0.913,0.057
1500,0.030,0.912,0.058
1600,0.030,0.912,0.058
1700,0.030,0.912,0.058
1800,0.030,0.911,0.059
1900,0.030,0.907,0.063
2000,0.030,0.896,0.074
2100,0.030,0.896,0.074
2200,0.030,0.903,0.067
2300,0.031,0.905,0.064
2400,0.031,0.902,0.067
2500,0.031,0.901,0.068
2600,0.031,0.903,0.066
2700,0.031,0.897,0.072
2800,0.031,0.896,0.073
2900,0.032,0.893,0.075
3000,0.032,0.892,0.076
3100,0.032,0.884,0.084
3200,0.032,0.881,0.087
3300,0.034,0.877,0.089
3400,0.034,0.880,0.086
3500,0.035,0.873,0.092
3600,0.039,0.873,0.088
3700,0.038,0.866,0.096
3800,0.037,0.861,0.102
3900,0.037,0.857,0.106
4000,0.037,0.848,0.115
4100,0.037,0.852,0.111
4200,0.036,0.853,0.111
4300,0.035,0.851,0.114
4400,0.036,0.843,0.121
4500,0.037,0.844,0.119
4600,0.037,0.849,0.114
4700,0.034,0.850,0.116
4800,0.034,0.864,0.102
4900,0.033,0.855,0.112
5000,0.033,0.857,0.110
5100,0.033,0.854,0.113
5200,0.037,0.849,0.114
5300,0.034,0.849,0.117
5400,0.034,0.851,0.115
5500,0.034,0.843,0.123
5600,0.034,0.837,0.129
5700,0.033,0.842,0.125
5800,0.033,0.838,0.129
5900,0.033,0.828,0.139
6000,0.033,0.827,0.140
6100,0.035,0.831,0.134
6200,0.035,0.834,0.131
6300,0.036,0.834,0.130
6400,0.037,0.828,0.135
6500,0.035,0.823,0.142
6600,0.034,0.819,0.147
6700,0.038,0.832,0.130
6800,0.039,0.820,0.141
6900,0.039,0.814,0.147
7000,0.043,0.809,0.148
7100,0.042,0.801,0.157
7200,0.041,0.804,0.155
7300,0.040,0.803,0.157
7400,0.040,0.796,0.164
7500,0.038,0.807,0.155
7600,0.036,0.806,0.158
7700,0.034,0.806,0.160
7800,0.038,0.804,0.158
7900,0.037,0.795,0.168
8000,0.036,0.789,0.175
8100,0.036,0.796,0.168
8200,0.035,0.795,0.170
8300,0.034,0.786,0.180
8400,0.033,0.780,0.187
8500,0.033,0.780,0.187
8600,0.033,0.778,0.189
8700,0.033,0.791,0.176
8800,0.032,0.787,0.181
8900,0.032,0.785,0.183
9000,0.033,0.795,0.172
9100,0.035,0.789,0.176
9200,0.034,0.783,0.183
9300,0.036,0.776,0.188
9400,0.039,0.771,0.190
9500,0.038,0.763,0.199
9600,0.036,0.763,0.201
9700,0.035,0.771,0.194
9800,0.037,0.767,0.196
9900,0.038,0.765,0.197
10000,0.035,0.771,0.194
10100,0.035,0.782,0.183
10200,0.034,0.782,0.184
10300,0.033,0.772,0.195
10400,0.039,0.777,0.184
10500,0.039,0.776,0.185
10600,0.042,0.788,0.170
10700,0.041,0.792,0.167
10800,0.040,0.792,0.168
10900,0.035,0.784,0.181
11000,0.035,0.782,0.183
11100,0.039,0.778,0.183
11200,0.041,0.783,0.176
11300,0.041,0.784,0.175
11400,0.043,0.785,0.172
11500,0.040,0.783,0.177
11600,0.039,0.783,0.178
11700,0.037,0.787,0.176
11800,0.036,0.794,0.170
11900,0.038,0.787,0.175
12000,0.038,0.792,0.170
12100,0.042,0.798,0.160
12200,0.040,0.787,0.173
12300,0.042,0.787,0.171
12400,0.045,0.781,0.174
12500,0.045,0.764,0.191
12600,0.052,0.756,0.192
12700,0.048,0.753,0.199
12800,0.047,0.749,0.204
12900,0.046,0.741,0.213
13000,0.044,0.729,0.227
13100,0.041,0.730,0.229
13200,0.044,0.733,0.223
13300,0.045,0.714,0.241
13400,0.044,0.706,0.250
13500,0.044,0.712,0.244
13600,0.043,0.720,0.237
13700,0.044,0.716,0.240
13800,0.040,0.714,0.246
13900,0.039,0.725,0.236
14000,0.039,0.725,0.236
14100,0.038,0.738,0.224
14200,0.038,0.742,0.220
14300,0.036,0.756,0.208
14400,0.036,0.754,0.210
14500,0.039,0.760,0.201
14600,0.040,0.763,0.197
14700,0.040,0.774,0.186
14800,0.038,0.775,0.187
14900,0.039,0.778,0.183
15000,0.037,0.766,0.197
15100,0.036,0.774,0.190
15200,0.035,0.771,0.194
15300,0.035,0.774,0.191
15400,0.036,0.778,0.186
15500,0.036,0.780,0.184
15600,0.036,0.788,0.176
15700,0.035,0.791,0.174
15800,0.035,0.788,0.177
15900,0.035,0.788,0.177
16000,0.034,0.786,0.180
16100,0.034,0.794,0.172
16200,0.032,0.800,0.168
16300,0.034,0.806,0.160
16400,0.034,0.802,0.164
16500,0.034,0.811,0.155
16600,0.034,0.808,0.158
16700,0.034,0.809,0.157
16800,0.034,0.805,0.161
16900,0.036,0.806,0.158
17000,0.038,0.816,0.146
17100,0.040,0.823,0.137
17200,0.040,0.822,0.138
17300,0.039,0.811,0.150
17400,0.039,0.807,0.154
17500,0.040,0.810,0.150
17600,0.040,0.809,0.151
17700,0.042,0.808,0.150
17800,0.043,0.811,0.146
17900,0.042,0.803,0.155
18000,0.041,0.800,0.159
18100,0.039,0.791,0.170
18200,0.039,0.793,0.168
18300,0.037,0.788,0.175
18400,0.038,0.785,0.177
18500,0.038,0.795,0.167
18600,0.037,0.798,0.165
18700,0.036,0.791,0.173
18800,0.035,0.801,0.164
18900,0.036,0.796,0.168
19000,0.037,0.794,0.169
19100,0.037,0.799,0.164
19200,0.037,0.794,0.169
19300,0.037,0.787,0.176
19400,0.040,0.785,0.175
19500,0.040,0.776,0.184
19600,0.039,0.773,0.188
19700,0.038,0.776,0.186
19800,0.038,0.774,0.188
19900,0.038,0.777,0.185
20000,0.039,0.778,0.183
20100,0.039,0.779,0.182
20200,0.038,0.780,0.182
20300,0.038,0.785,0.177
20400,0.038,0.780,0.182
20500,0.039,0.795,0.166
20600,0.039,0.791,0.170
20700,0.038,0.795,0.167
20800,0.043,0.802,0.155
20900,0.042,0.802,0.156
21000,0.043,0.803,0.154
21100,0.043,0.803,0.154
21200,0.044,0.796,0.160
21300,0.044,0.791,0.165
21400,0.043,0.794,0.163
21500,0.042,0.792,0.166
21600,0.042,0.795,0.163
21700,0.040,0.795,0.165
21800,0.040,0.780,0.180
21900,0.039,0.783,0.178
22000,0.045,0.781,0.174
22100,0.041,0.780,0.179
22200,0.043,0.766,0.191
22300,0.041,0.770,0.189
22400,0.039,0.779,0.182
22500,0.039,0.782,0.179
22600,0.037,0.775,0.188
22700,0.037,0.774,0.189
22800,0.037,0.783,0.180
22900,0.036,0.777,0.187
23000,0.036,0.773,0.191
23100,0.038,0.791,0.171
23200,0.038,0.788,0.174
23300,0.037,0.791,0.172
23400,0.039,0.790,0.171
23500,0.038,0.790,0.172
23600,0.038,0.788,0.174
23700,0.042,0.779,0.179
23800,0.040,0.780,0.180
23900,0.043,0.787,0.170
24000,0.045,0.792,0.163
24100,0.043,0.797,0.160
24200,0.042,0.798,0.160
24300,0.042,0.779,0.179
24400,0.042,0.771,0.187
24500,0.039,0.773,0.188
24600,0.036,0.786,0.178
24700,0.035,0.775,0.190
24800,0.034,0.771,0.195
24900,0.037,0.773,0.190
25000,0.036,0.777,0.187
25100,0.033,0.773,0.194
25200,0.032,0.765,0.203
25300,0.034,0.776,0.190
25400,0.032,0.775,0.193
25500,0.034,0.775,0.191
25600,0.035,0.769,0.196
25700,0.035,0.766,0.199
25800,0.035,0.775,0.190
25900,0.036,0.792,0.172
26000,0.037,0.802,0.161
26100,0.036,0.801,0.163
26200,0.035,0.796,0.169
26300,0.036,0.793,0.171
26400,0.039,0.784,0.177
26500,0.041,0.795,0.164
26600,0.040,0.782,0.178
26700,0.042,0.789,0.169
26800,0.042,0.793,0.165
26900,0.040,0.797,0.163
27000,0.043,0.799,0.158
27100,0.042,0.795,0.163
27200,0.042,0.791,0.167
27300,0.042,0.787,0.171
27400,0.043,0.784,0.173
27500,0.043,0.774,0.183
27600,0.042,0.773,0.185
27700,0.038,0.774,0.188
27800,0.038,0.771,0.191
27900,0.035,0.774,0.191
28000,0.036,0.777,0.187
28100,0.036,0.785,0.179
28200,0.035,0.785,0.180
28300,0.039,0.789,0.172
28400,0.038,0.790,0.172
28500,0.036,0.799,0.165
28600,0.037,0.808,0.155
28700,0.036,0.809,0.155
28800,0.035,0.809,0.156
28900,0.035,0.806,0.159
29000,0.036,0.807,0.157
29100,0.035,0.800,0.165
29200,0.035,0.806,0.159
29300,0.039,0.800,0.161
29400,0.037,0.807,0.156
29500,0.036,0.809,0.155
29600,0.039,0.802,0.159
29700,0.039,0.801,0.160
29800,0.039,0.802,0.159
29900,0.039,0.798,0.163
30000,0.039,0.806,0.155
30100,0.039,0.809,0.152
30200,0.038,0.800,0.162
30300,0.037,0.790,0.173
30400,0.039,0.792,0.169
30500,0.041,0.794,0.165
30600,0.042,0.791,0.167
30700,0.040,0.791,0.169
30800,0.042,0.798,0.160
30900,0.042,0.796,0.162
31000,0.041,0.785,0.174
31100,0.039,0.769,0.192
31200,0.040,0.784,0.176
31300,0.038,0.782,0.180
31400,0.038,0.781,0.181
31500,0.040,0.790,0.170
31600,0.039,0.775,0.186
31700,0.041,0.784,0.175
31800,0.048,0.788,0.164
31900,0.046,0.779,0.175
32000,0.047,0.778,0.175
32100,0.047,0.780,0.173
32200,0.048,0.774,0.178
32300,0.048,0.776,0.176
32400,0.049,0.781,0.170
32500,0.047,0.778,0.175
32600,0.044,0.786,0.170
32700,0.044,0.788,0.168
32800,0.044,0.775,0.181
32900,0.043,0.774,0.183
33000,0.042,0.770,0.188
33100,0.038,0.764,0.198
33200,0.039,0.770,0.191
33300,0.039,0.775,0.186
33400,0.038,0.775,0.187
33500,0.037,0.780,0.183
33600,0.033,0.786,0.181
33700,0.033,0.793,0.174
33800,0.032,0.796,0.172
33900,0.031,0.795,0.174
34000,0.035,0.802,0.163
34100,0.037,0.799,0.164
34200,0.035,0.793,0.172
34300,0.034,0.797,0.169
34400,0.034,0.796,0.170
34500,0.037,0.797,0.166
34600,0.038,0.799,0.163
34700,0.038,0.804,0.158
34800,0.042,0.808,0.150
34900,0.043,0.804,0.153
35000,0.043,0.797,0.160
35100,0.039,0.791,0.170
35200,0.038,0.793,0.169
35300,0.038,0.788,0.174
35400,0.036,0.789,0.175
35500,0.035,0.793,0.172
35600,0.033,0.797,0.170
35700,0.036,0.805,0.159
35800,0.034,0.805,0.161
35900,0.032,0.804,0.164
36000,0.033,0.807,0.160
36100,0.033,0.813,0.154
36200,0.033,0.806,0.161
36300,0.033,0.814,0.153
36400,0.033,0.811,0.156
36500,0.034,0.810,0.156
36600,0.035,0.804,0.161
36700,0.037,0.799,0.164
36800,0.036,0.797,0.167
36900,0.037,0.786,0.177
37000,0.039,0.788,0.173
37100,0.038,0.790,0.172
37200,0.036,0.797,0.167
37300,0.038,0.790,0.172
37400,0.040,0.784,0.176
37500,0.040,0.793,0.167
37600,0.040,0.785,0.175
37700,0.039,0.784,0.177
37800,0.039,0.785,0.176
37900,0.038,0.761,0.201
38000,0.041,0.756,0.203
38100,0.038,0.764,0.198
38200,0.038,0.774,0.188
38300,0.036,0.787,0.177
38400,0.036,0.792,0.172
38500,0.039,0.794,0.167
38600,0.038,0.786,0.176
38700,0.039,0.784,0.177
38800,0.039,0.782,0.179
38900,0.038,0.775,0.187
39000,0.038,0.784,0.178
39100,0.040,0.787,0.173
39200,0.039,0.786,0.175
39300,0.039,0.790,0.171
39400,0.040,0.789,0.171
39500,0.038,0.791,0.171
39600,0.037,0.799,0.164
39700,0.036,0.802,0.162
39800,0.037,0.800,0.163
39900,0.037,0.798,0.165
40000,0.041,0.795,0.164
40100,0.040,0.799,0.161
40200,0.039,0.788,0.173
40300,0.038,0.775,0.187
40400,0.038,0.780,0.182
40500,0.040,0.778,0.182
40600,0.040,0.786,0.174
40700,0.037,0.789,0.174
40800,0.036,0.781,0.183
40900,0.036,0.793,0.171
41000,0.036,0.802,0.162
41100,0.036,0.804,0.160
41200,0.036,0.811,0.153
41300,0.039,0.808,0.153
41400,0.039,0.809,0.152
41500,0.038,0.805,0.157
41600,0.037,0.801,0.162
41700,0.039,0.809,0.152
41800,0.038,0.809,0.153
41900,0.038,0.802,0.160
42000,0.039,0.804,0.157
42100,0.038,0.806,0.156
42200,0.038,0.811,0.151
42300,0.037,0.809,0.154
42400,0.035,0.807,0.158
42500,0.033,0.822,0.145
42600,0.037,0.812,0.151
42700,0.037,0.811,0.152
42800,0.037,0.799,0.164
42900,0.039,0.791,0.170
43000,0.038,0.790,0.172
43100,0.037,0.789,0.174
43200,0.038,0.795,0.167
43300,0.036,0.791,0.173
43400,0.038,0.793,0.169
43500,0.038,0.792,0.170
43600,0.038,0.796,0.166
43700,0.038,0.793,0.169
43800,0.038,0.800,0.162
43900,0.037,0.797,0.166
44000,0.045,0.789,0.166
44100,0.045,0.776,0.179
44200,0.043,0.766,0.191
44300,0.046,0.766,0.188
44400,0.043,0.759,0.198
44500,0.045,0.764,0.191
44600,0.046,0.753,0.201
44700,0.049,0.758,0.193
44800,0.052,0.748,0.200
44900,0.054,0.744,0.202
45000,0.050,0.738,0.212
45100,0.049,0.737,0.214
45200,0.048,0.746,0.206
45300,0.047,0.753,0.200
45400,0.050,0.751,0.199
45500,0.045,0.755,0.200
45600,0.044,0.761,0.195
45700,0.044,0.760,0.196
45800,0.043,0.768,0.189
45900,0.044,0.769,0.187
46000,0.041,0.772,0.187
46100,0.041,0.777,0.182
46200,0.041,0.773,0.186
46300,0.042,0.763,0.195
46400,0.046,0.768,0.186
46500,0.040,0.772,0.188
46600,0.043,0.767,0.190
46700,0.044,0.778,0.178
46800,0.042,0.776,0.182
46900,0.043,0.765,0.192
47000,0.045,0.774,0.181
47100,0.042,0.765,0.193
47200,0.043,0.771,0.186
47300,0.041,0.765,0.194
47400,0.041,0.766,0.193
47500,0.041,0.771,0.188
47600,0.043,0.771,0.186
47700,0.042,0.777,0.181
47800,0.044,0.783,0.173
47900,0.041,0.781,0.178
48000,0.040,0.784,0.176
48100,0.038,0.776,0.186
48200,0.036,0.775,0.189
48300,0.042,0.763,0.195
48400,0.038,0.766,0.196
48500,0.037,0.769,0.194
48600,0.037,0.762,0.201
48700,0.039,0.756,0.205
48800,0.045,0.743,0.212
48900,0.045,0.757,0.198
49000,0.044,0.746,0.210
49100,0.042,0.743,0.215
49200,0.049,0.736,0.215
49300,0.051,0.737,0.212
49400,0.051,0.735,0.214
