time,n_A+p,n_B,n_AB
100,0.030,0.959,0.011
200,0.030,0.960,0.010
300,0.030,0.961,0.009
400,0.030,0.953,0.017
500,0.030,0.952,0.018
600,0.032,0.947,0.021
700,0.032,0.947,0.021
800,0.032,0.948,0.020
900,0.034,0.944,0.022
1000,0.036,0.937,0.027
1100,0.039,0.933,0.028
1200,0.038,0.930,0.032
1300,0.038,0.923,0.039
1400,0.039,0.918,0.043
1500,0.037,0.923,0.040
1600,0.036,0.925,0.039
1700,0.036,0.920,0.044
1800,0.036,0.927,0.037
1900,0.037,0.924,0.039
2000,0.038,0.917,0.045
2100,0.037,0.920,0.043
2200,0.036,0.911,0.053
2300,0.035,0.910,0.055
2400,0.035,0.917,0.048
2500,0.036,0.919,0.045
2600,0.033,0.927,0.040
2700,0.036,0.924,0.040
2800,0.036,0.922,0.042
2900,0.035,0.919,0.046
3000,0.037,0.910,0.053
3100,0.033,0.911,0.056
3200,0.032,0.911,0.057
3300,0.037,0.907,0.056
3400,0.038,0.911,0.051
3500,0.037,0.906,0.057
3600,0.036,0.907,0.057
3700,0.037,0.905,0.058
3800,0.037,0.906,0.057
3900,0.036,0.906,0.058
4000,0.035,0.905,0.060
4100,0.035,0.913,0.052
4200,0.035,0.912,0.053
4300,0.035,0.910,0.055
4400,0.035,0.915,0.050
4500,0.035,0.911,0.054
4600,0.036,0.903,0.061
4700,0.037,0.901,0.062
4800,0.036,0.902,0.062
4900,0.038,0.901,0.061
5000,0.036,0.897,0.067
5100,0.035,0.895,0.070
5200,0.037,0.891,0.072
5300,0.036,0.887,0.077
5400,0.039,0.891,0.070
5500,0.040,0.895,0.065
5600,0.041,0.903,0.056
5700,0.047,0.889,0.064
5800,0.047,0.886,0.067
5900,0.050,0.887,0.063
6000,0.048,0.893,0.059
6100,0.044,0.905,0.051
6200,0.045,0.901,0.054
6300,0.044,0.904,0.052
6400,0.051,0.898,0.051
6500,0.051,0.888,0.061
6600,0.050,0.887,0.063
6700,0.050,0.883,0.067
6800,0.051,0.876,0.073
6900,0.047,0.873,0.080
7000,0.048,0.877,0.075
7100,0.049,0.870,0.081
7200,0.060,0.871,0.069
7300,0.056,0.875,0.069
7400,0.059,0.852,0.089
7500,0.050,0.858,0.092
7600,0.050,0.862,0.088
7700,0.048,0.861,0.091
7800,0.047,0.866,0.087
7900,0.053,0.863,0.084
8000,0.053,0.869,0.078
8100,0.052,0.868,0.080
8200,0.054,0.858,0.088
8300,0.055,0.862,0.083
8400,0.050,0.874,0.076
8500,0.049,0.870,0.081
8600,0.047,0.871,0.082
8700,0.045,0.879,0.076
8800,0.045,0.883,0.072
8900,0.045,0.887,0.068
9000,0.042,0.888,0.070
9100,0.040,0.892,0.068
9200,0.043,0.893,0.064
9300,0.042,0.892,0.066
9400,0.041,0.895,0.064
9500,0.044,0.889,0.067
9600,0.048,0.885,0.067
9700,0.045,0.890,0.065
9800,0.045,0.880,0.075
9900,0.046,0.877,0.077
10000,0.041,0.892,0.067
10100,0.040,0.883,0.077
10200,0.040,0.885,0.075
10300,0.039,0.896,0.065
10400,0.039,0.900,0.061
10500,0.039,0.894,0.067
10600,0.037,0.891,0.072
10700,0.038,0.890,0.072
10800,0.038,0.894,0.068
10900,0.038,0.890,0.072
11000,0.040,0.883,0.077
11100,0.041,0.874,0.085
11200,0.040,0.876,0.084
11300,0.039,0.878,0.083
11400,0.038,0.883,0.079
11500,0.039,0.882,0.079
11600,0.039,0.887,0.074
11700,0.039,0.887,0.074
11800,0.037,0.891,0.072
11900,0.038,0.887,0.075
12000,0.037,0.879,0.084
12100,0.039,0.879,0.082
12200,0.040,0.886,0.074
12300,0.038,0.893,0.069
12400,0.038,0.895,0.067
12500,0.037,0.896,0.067
12600,0.035,0.900,0.065
12700,0.035,0.900,0.065
12800,0.033,0.912,0.055
12900,0.032,0.917,0.051
13000,0.032,0.917,0.051
13100,0.034,0.908,0.058
13200,0.035,0.906,0.059
13300,0.037,0.916,0.047
13400,0.037,0.918,0.045
13500,0.038,0.921,0.041
13600,0.037,0.923,0.040
13700,0.038,0.920,0.042
13800,0.037,0.906,0.057
13900,0.040,0.906,0.054
14000,0.040,0.907,0.053
14100,0.038,0.900,0.062
14200,0.038,0.902,0.060
14300,0.043,0.903,0.054
14400,0.043,0.893,0.064
14500,0.041,0.891,0.068
14600,0.042,0.883,0.075
14700,0.043,0.884,0.073
14800,0.039,0.888,0.073
14900,0.038,0.891,0.071
15000,0.039,0.889,0.072
15100,0.039,0.889,0.072
15200,0.041,0.889,0.070
15300,0.038,0.900,0.062
15400,0.037,0.896,0.067
15500,0.038,0.902,0.060
15600,0.039,0.906,0.055
15700,0.039,0.900,0.061
15800,0.038,0.891,0.071
15900,0.038,0.895,0.067
16000,0.036,0.896,0.068
16100,0.036,0.895,0.069
16200,0.034,0.895,0.071
16300,0.037,0.893,0.070
16400,0.036,0.896,0.068
16500,0.034,0.889,0.077
16600,0.033,0.900,0.067
16700,0.033,0.906,0.061
16800,0.034,0.910,0.056
16900,0.034,0.908,0.058
17000,0.033,0.910,0.057
17100,0.033,0.910,0.057
17200,0.037,0.910,0.053
17300,0.037,0.916,0.047
17400,0.036,0.912,0.052
17500,0.037,0.913,0.050
17600,0.040,0.916,0.044
17700,0.039,0.916,0.045
17800,0.039,0.915,0.046
17900,0.040,0.912,0.048
18000,0.040,0.905,0.055
18100,0.042,0.916,0.042
18200,0.039,0.915,0.046
18300,0.039,0.918,0.043
18400,0.039,0.907,0.054
18500,0.037,0.908,0.055
18600,0.037,0.913,0.050
18700,0.037,0.911,0.052
18800,0.039,0.901,0.060
18900,0.038,0.908,0.054
19000,0.039,0.911,0.050
