time,n_A+p,n_B,n_AB
100,0.030,0.968,0.002
200,0.030,0.964,0.006
300,0.030,0.959,0.011
400,0.030,0.958,0.012
500,0.030,0.956,0.014
600,0.030,0.952,0.018
700,0.030,0.951,0.019
800,0.030,0.953,0.017
900,0.030,0.952,0.018
1000,0.030,0.948,0.022
1100,0.032,0.940,0.028
1200,0.032,0.946,0.022
1300,0.032,0.943,0.025
1400,0.032,0.944,0.024
1500,0.032,0.943,0.025
1600,0.032,0.938,0.030
1700,0.032,0.934,0.034
1800,0.033,0.936,0.031
1900,0.033,0.933,0.034
2000,0.033,0.935,0.032
2100,0.033,0.934,0.033
2200,0.033,0.931,0.036
2300,0.033,0.926,0.041
2400,0.032,0.927,0.041
2500,0.032,0.924,0.044
2600,0.033,0.924,0.043
2700,0.033,0.923,0.044
2800,0.032,0.917,0.051
2900,0.031,0.917,0.052
3000,0.031,0.913,0.056
3100,0.032,0.912,0.056
3200,0.032,0.915,0.053
3300,0.032,0.916,0.052
3400,0.031,0.911,0.058
3500,0.031,0.904,0.065
3600,0.031,0.903,0.066
3700,0.031,0.905,0.064
3800,0.031,0.912,0.057
3900,0.031,0.910,0.059
4000,0.033,0.910,0.057
4100,0.033,0.905,0.062
4200,0.033,0.902,0.065
4300,0.036,0.902,0.062
4400,0.035,0.902,0.063
4500,0.036,0.897,0.067
4600,0.034,0.901,0.065
4700,0.032,0.897,0.071
4800,0.032,0.897,0.071
4900,0.031,0.896,0.073
5000,0.030,0.897,0.073
5100,0.030,0.895,0.075
5200,0.032,0.894,0.074
5300,0.032,0.895,0.073
5400,0.032,0.893,0.075
5500,0.032,0.887,0.081
5600,0.033,0.887,0.080
5700,0.033,0.877,0.090
5800,0.035,0.870,0.095
5900,0.037,0.869,0.094
6000,0.034,0.876,0.090
6100,0.033,0.872,0.095
6200,0.033,0.873,0.094
6300,0.033,0.878,0.089
6400,0.033,0.878,0.089
6500,0.035,0.876,0.089
6600,0.034,0.881,0.085
6700,0.034,0.882,0.084
6800,0.036,0.883,0.081
6900,0.037,0.874,0.089
7000,0.039,0.865,0.096
7100,0.039,0.860,0.101
7200,0.039,0.867,0.094
7300,0.038,0.867,0.095
7400,0.040,0.872,0.088
7500,0.040,0.874,0.086
7600,0.040,0.882,0.078
7700,0.040,0.875,0.085
7800,0.041,0.872,0.087
7900,0.040,0.874,0.086
8000,0.037,0.882,0.081
8100,0.036,0.876,0.088
8200,0.036,0.877,0.087
8300,0.041,0.874,0.085
8400,0.039,0.877,0.084
8500,0.038,0.879,0.083
8600,0.037,0.876,0.087
8700,0.036,0.868,0.096
8800,0.035,0.859,0.106
8900,0.035,0.854,0.111
9000,0.035,0.855,0.110
9100,0.038,0.854,0.108
9200,0.040,0.852,0.108
9300,0.037,0.848,0.115
9400,0.037,0.850,0.113
9500,0.037,0.862,0.101
9600,0.037,0.856,0.107
9700,0.037,0.859,0.104
9800,0.038,0.856,0.106
9900,0.039,0.858,0.103
10000,0.039,0.860,0.101
10100,0.041,0.866,0.093
10200,0.041,0.862,0.097
10300,0.042,0.853,0.105
10400,0.040,0.855,0.105
10500,0.041,0.853,0.106
10600,0.041,0.855,0.104
10700,0.042,0.856,0.102
10800,0.039,0.856,0.105
10900,0.039,0.851,0.110
11000,0.037,0.850,0.113
11100,0.037,0.859,0.104
11200,0.037,0.861,0.102
11300,0.042,0.856,0.102
11400,0.044,0.850,0.106
11500,0.042,0.844,0.114
11600,0.045,0.845,0.110
11700,0.043,0.850,0.107
11800,0.041,0.847,0.112
11900,0.043,0.842,0.115
12000,0.044,0.844,0.112
12100,0.040,0.841,0.119
12200,0.038,0.840,0.122
12300,0.040,0.837,0.123
12400,0.040,0.830,0.130
12500,0.042,0.841,0.117
12600,0.045,0.839,0.116
12700,0.045,0.840,0.115
12800,0.043,0.833,0.124
12900,0.042,0.833,0.125
13000,0.041,0.834,0.125
13100,0.040,0.837,0.123
13200,0.040,0.835,0.125
13300,0.040,0.838,0.122
13400,0.039,0.839,0.122
13500,0.038,0.842,0.120
13600,0.037,0.846,0.117
13700,0.037,0.852,0.111
13800,0.035,0.863,0.102
13900,0.035,0.863,0.102
14000,0.034,0.865,0.101
14100,0.034,0.859,0.107
14200,0.036,0.851,0.113
14300,0.036,0.856,0.108
14400,0.034,0.857,0.109
14500,0.034,0.861,0.105
14600,0.035,0.858,0.107
14700,0.038,0.858,0.104
14800,0.039,0.861,0.100
14900,0.041,0.860,0.099
15000,0.040,0.865,0.095
15100,0.040,0.863,0.097
15200,0.040,0.866,0.094
15300,0.040,0.865,0.095
15400,0.037,0.859,0.104
15500,0.037,0.858,0.105
15600,0.039,0.851,0.110
15700,0.039,0.847,0.114
15800,0.045,0.847,0.108
15900,0.042,0.847,0.111
16000,0.042,0.843,0.115
16100,0.041,0.844,0.115
16200,0.039,0.842,0.119
16300,0.039,0.843,0.118
16400,0.038,0.834,0.128
16500,0.039,0.845,0.116
16600,0.038,0.849,0.113
16700,0.038,0.853,0.109
16800,0.040,0.852,0.108
16900,0.039,0.849,0.112
17000,0.037,0.847,0.116
17100,0.036,0.851,0.113
17200,0.037,0.854,0.109
17300,0.035,0.861,0.104
17400,0.035,0.865,0.100
17500,0.037,0.871,0.092
17600,0.037,0.873,0.090
17700,0.037,0.867,0.096
17800,0.036,0.860,0.104
17900,0.037,0.855,0.108
18000,0.037,0.854,0.109
18100,0.036,0.853,0.111
18200,0.036,0.859,0.105
18300,0.036,0.859,0.105
18400,0.041,0.860,0.099
18500,0.041,0.859,0.100
18600,0.038,0.857,0.105
18700,0.037,0.855,0.108
18800,0.037,0.854,0.109
18900,0.037,0.858,0.105
19000,0.036,0.850,0.114
19100,0.036,0.857,0.107
19200,0.035,0.852,0.113
19300,0.035,0.857,0.108
19400,0.034,0.862,0.104
19500,0.034,0.867,0.099
19600,0.034,0.864,0.102
19700,0.036,0.854,0.110
19800,0.035,0.860,0.105
19900,0.034,0.864,0.102
20000,0.034,0.857,0.109
20100,0.034,0.859,0.107
20200,0.035,0.863,0.102
20300,0.035,0.860,0.105
20400,0.032,0.860,0.108
20500,0.032,0.862,0.106
20600,0.032,0.865,0.103
20700,0.033,0.866,0.101
20800,0.035,0.865,0.100
20900,0.036,0.863,0.101
21000,0.034,0.863,0.103
21100,0.033,0.865,0.102
21200,0.033,0.872,0.095
21300,0.033,0.871,0.096
21400,0.033,0.869,0.098
21500,0.033,0.877,0.090
21600,0.034,0.872,0.094
21700,0.034,0.862,0.104
21800,0.032,0.867,0.101
21900,0.032,0.866,0.102
22000,0.032,0.868,0.100
22100,0.032,0.865,0.103
22200,0.032,0.866,0.102
22300,0.033,0.863,0.104
22400,0.034,0.868,0.098
22500,0.034,0.868,0.098
22600,0.034,0.874,0.092
22700,0.035,0.872,0.093
22800,0.034,0.868,0.098
22900,0.034,0.866,0.100
23000,0.032,0.874,0.094
23100,0.032,0.861,0.107
23200,0.033,0.856,0.111
23300,0.034,0.854,0.112
23400,0.035,0.854,0.111
23500,0.035,0.851,0.114
23600,0.034,0.860,0.106
23700,0.033,0.861,0.106
23800,0.033,0.870,0.097
23900,0.034,0.870,0.096
24000,0.035,0.875,0.090
24100,0.034,0.875,0.091
24200,0.033,0.869,0.098
24300,0.034,0.870,0.096
24400,0.033,0.873,0.094
24500,0.033,0.872,0.095
24600,0.032,0.865,0.103
24700,0.032,0.866,0.102
24800,0.032,0.870,0.098
24900,0.032,0.866,0.102
25000,0.031,0.871,0.098
25100,0.031,0.876,0.093
25200,0.031,0.885,0.084
25300,0.032,0.882,0.086
25400,0.032,0.883,0.085
25500,0.032,0.883,0.085
25600,0.032,0.883,0.085
25700,0.032,0.880,0.088
25800,0.032,0.878,0.090
25900,0.034,0.880,0.086
26000,0.034,0.870,0.096
26100,0.034,0.866,0.100
26200,0.034,0.863,0.103
26300,0.034,0.864,0.102
26400,0.035,0.861,0.104
26500,0.036,0.859,0.105
26600,0.035,0.859,0.106
26700,0.037,0.862,0.101
26800,0.037,0.866,0.097
26900,0.037,0.870,0.093
27000,0.039,0.867,0.094
27100,0.042,0.859,0.099
27200,0.039,0.854,0.107
27300,0.038,0.853,0.109
27400,0.038,0.851,0.111
27500,0.038,0.852,0.110
27600,0.036,0.851,0.113
27700,0.035,0.859,0.106
27800,0.036,0.850,0.114
27900,0.038,0.845,0.117
28000,0.037,0.839,0.124
28100,0.037,0.837,0.126
28200,0.039,0.840,0.121
28300,0.040,0.833,0.127
28400,0.040,0.833,0.127
28500,0.039,0.826,0.135
28600,0.038,0.819,0.143
28700,0.041,0.830,0.129
28800,0.041,0.832,0.127
28900,0.042,0.834,0.124
29000,0.044,0.830,0.126
29100,0.044,0.826,0.130
29200,0.045,0.819,0.136
29300,0.042,0.817,0.141
29400,0.045,0.820,0.135
29500,0.046,0.822,0.132
29600,0.043,0.822,0.135
29700,0.042,0.827,0.131
29800,0.039,0.822,0.139
29900,0.039,0.821,0.140
30000,0.039,0.826,0.135
30100,0.041,0.823,0.136
30200,0.043,0.816,0.141
30300,0.042,0.819,0.139
30400,0.042,0.826,0.132
30500,0.043,0.827,0.130
30600,0.045,0.823,0.132
30700,0.044,0.830,0.126
30800,0.044,0.826,0.130
30900,0.043,0.819,0.138
31000,0.044,0.818,0.138
31100,0.045,0.823,0.132
31200,0.043,0.830,0.127
31300,0.043,0.831,0.126
31400,0.043,0.835,0.122
31500,0.041,0.825,0.134
31600,0.038,0.821,0.141
31700,0.038,0.827,0.135
31800,0.036,0.836,0.128
31900,0.037,0.836,0.127
32000,0.039,0.842,0.119
32100,0.037,0.843,0.120
32200,0.037,0.838,0.125
32300,0.037,0.833,0.130
32400,0.037,0.827,0.136
32500,0.038,0.824,0.138
32600,0.038,0.824,0.138
32700,0.038,0.833,0.129
32800,0.039,0.838,0.123
32900,0.043,0.830,0.127
33000,0.045,0.814,0.141
33100,0.044,0.812,0.144
33200,0.043,0.810,0.147
33300,0.040,0.802,0.158
33400,0.042,0.789,0.169
33500,0.044,0.792,0.164
33600,0.045,0.785,0.170
33700,0.049,0.780,0.171
33800,0.052,0.782,0.166
33900,0.057,0.784,0.159
34000,0.055,0.776,0.169
34100,0.058,0.773,0.169
34200,0.055,0.772,0.173
34300,0.056,0.775,0.169
34400,0.058,0.784,0.158
34500,0.056,0.782,0.162
34600,0.055,0.790,0.155
34700,0.054,0.786,0.160
34800,0.056,0.787,0.157
34900,0.053,0.788,0.159
35000,0.052,0.783,0.165
35100,0.050,0.776,0.174
35200,0.051,0.779,0.170
35300,0.052,0.785,0.163
35400,0.051,0.786,0.163
35500,0.053,0.788,0.159
35600,0.054,0.790,0.156
35700,0.056,0.783,0.161
35800,0.055,0.789,0.156
35900,0.052,0.794,0.154
36000,0.052,0.786,0.162
36100,0.054,0.786,0.160
36200,0.052,0.787,0.161
36300,0.050,0.776,0.174
36400,0.058,0.766,0.176
36500,0.056,0.755,0.189
36600,0.053,0.755,0.192
36700,0.058,0.764,0.178
36800,0.056,0.760,0.184
36900,0.056,0.754,0.190
37000,0.059,0.758,0.183
37100,0.061,0.764,0.175
37200,0.059,0.760,0.181
37300,0.059,0.752,0.189
37400,0.060,0.754,0.186
37500,0.060,0.754,0.186
37600,0.056,0.751,0.193
37700,0.051,0.758,0.191
37800,0.051,0.771,0.178
37900,0.049,0.779,0.172
38000,0.047,0.787,0.166
38100,0.045,0.794,0.161
38200,0.045,0.797,0.158
38300,0.043,0.795,0.162
38400,0.042,0.793,0.165
38500,0.040,0.799,0.161
38600,0.041,0.804,0.155
38700,0.045,0.794,0.161
38800,0.045,0.787,0.168
38900,0.043,0.799,0.158
39000,0.043,0.795,0.162
39100,0.043,0.782,0.175
39200,0.043,0.787,0.170
39300,0.043,0.786,0.171
39400,0.048,0.781,0.171
39500,0.051,0.776,0.173
39600,0.051,0.783,0.166
39700,0.052,0.774,0.174
39800,0.055,0.777,0.168
39900,0.052,0.776,0.172
40000,0.053,0.777,0.170
40100,0.053,0.785,0.162
40200,0.052,0.794,0.154
40300,0.053,0.796,0.151
40400,0.049,0.788,0.163
40500,0.049,0.793,0.158
40600,0.050,0.800,0.150
40700,0.050,0.801,0.149
40800,0.050,0.811,0.139
40900,0.049,0.810,0.141
41000,0.048,0.813,0.139
41100,0.049,0.814,0.137
41200,0.049,0.815,0.136
41300,0.046,0.816,0.138
41400,0.041,0.814,0.145
41500,0.040,0.815,0.145
41600,0.042,0.816,0.142
41700,0.042,0.817,0.141
41800,0.045,0.817,0.138
41900,0.044,0.818,0.138
42000,0.044,0.825,0.131
42100,0.043,0.834,0.123
42200,0.043,0.826,0.131
42300,0.043,0.818,0.139
42400,0.044,0.818,0.138
42500,0.042,0.814,0.144
42600,0.045,0.810,0.145
42700,0.046,0.807,0.147
42800,0.045,0.810,0.145
42900,0.043,0.806,0.151
43000,0.047,0.802,0.151
43100,0.045,0.803,0.152
43200,0.046,0.805,0.149
43300,0.046,0.806,0.148
43400,0.052,0.803,0.145
43500,0.052,0.809,0.139
43600,0.055,0.810,0.135
43700,0.059,0.810,0.131
43800,0.055,0.807,0.138
43900,0.054,0.806,0.140
44000,0.054,0.802,0.144
44100,0.051,0.806,0.143
44200,0.048,0.803,0.149
44300,0.052,0.804,0.144
44400,0.050,0.796,0.154
44500,0.050,0.787,0.163
44600,0.048,0.782,0.170
