time,n_A+p,n_B,n_AB
100,0.030,0.966,0.004
200,0.030,0.961,0.009
300,0.030,0.954,0.016
400,0.030,0.949,0.021
500,0.030,0.949,0.021
600,0.030,0.945,0.025
700,0.030,0.942,0.028
800,0.030,0.942,0.028
900,0.032,0.937,0.031
1000,0.032,0.937,0.031
1100,0.032,0.931,0.037
1200,0.030,0.927,0.043
1300,0.030,0.929,0.041
1400,0.030,0.930,0.040
1500,0.030,0.929,0.041
1600,0.033,0.928,0.039
1700,0.032,0.928,0.040
1800,0.032,0.925,0.043
1900,0.032,0.923,0.045
2000,0.032,0.919,0.049
2100,0.032,0.915,0.053
2200,0.032,0.912,0.056
2300,0.031,0.906,0.063
2400,0.031,0.904,0.065
2500,0.031,0.906,0.063
2600,0.031,0.906,0.063
2700,0.030,0.899,0.071
2800,0.031,0.902,0.067
2900,0.031,0.898,0.071
3000,0.031,0.888,0.081
3100,0.031,0.890,0.079
3200,0.031,0.878,0.091
3300,0.031,0.875,0.094
3400,0.031,0.869,0.100
3500,0.032,0.870,0.098
3600,0.033,0.872,0.095
3700,0.033,0.871,0.096
3800,0.033,0.865,0.102
3900,0.035,0.866,0.099
4000,0.033,0.869,0.098
4100,0.032,0.861,0.107
4200,0.032,0.866,0.102
4300,0.034,0.863,0.103
4400,0.034,0.865,0.101
4500,0.034,0.864,0.102
4600,0.032,0.866,0.102
4700,0.031,0.866,0.103
4800,0.033,0.865,0.102
4900,0.036,0.870,0.094
5000,0.036,0.862,0.102
5100,0.036,0.862,0.102
5200,0.036,0.854,0.110
5300,0.035,0.853,0.112
5400,0.039,0.842,0.119
5500,0.039,0.832,0.129
5600,0.037,0.843,0.120
5700,0.036,0.839,0.125
5800,0.036,0.841,0.123
5900,0.048,0.827,0.125
6000,0.047,0.817,0.136
6100,0.043,0.827,0.130
6200,0.043,0.825,0.132
6300,0.041,0.813,0.146
6400,0.044,0.819,0.137
6500,0.042,0.821,0.137
6600,0.040,0.816,0.144
6700,0.043,0.811,0.146
6800,0.042,0.815,0.143
6900,0.038,0.813,0.149
7000,0.039,0.813,0.148
7100,0.039,0.808,0.153
7200,0.043,0.805,0.152
7300,0.043,0.812,0.145
7400,0.044,0.815,0.141
7500,0.044,0.810,0.146
7600,0.045,0.807,0.148
7700,0.048,0.801,0.151
7800,0.051,0.800,0.149
7900,0.051,0.800,0.149
8000,0.054,0.793,0.153
8100,0.057,0.790,0.153
8200,0.060,0.784,0.156
8300,0.059,0.789,0.152
8400,0.059,0.785,0.156
8500,0.061,0.785,0.154
8600,0.062,0.788,0.150
8700,0.062,0.790,0.148
8800,0.066,0.799,0.135
8900,0.064,0.794,0.142
9000,0.060,0.781,0.159
9100,0.062,0.778,0.160
9200,0.060,0.784,0.156
9300,0.057,0.784,0.159
9400,0.059,0.793,0.148
9500,0.055,0.789,0.156
9600,0.058,0.786,0.156
9700,0.062,0.784,0.154
9800,0.061,0.779,0.160
9900,0.063,0.781,0.156
10000,0.066,0.772,0.162
10100,0.065,0.769,0.166
10200,0.073,0.768,0.159
10300,0.074,0.761,0.165
10400,0.074,0.761,0.165
10500,0.073,0.752,0.175
10600,0.072,0.749,0.179
10700,0.071,0.756,0.173
10800,0.068,0.748,0.184
10900,0.065,0.753,0.182
11000,0.063,0.749,0.188
11100,0.071,0.741,0.188
11200,0.065,0.737,0.198
11300,0.063,0.727,0.210
11400,0.063,0.729,0.208
11500,0.068,0.718,0.214
11600,0.068,0.714,0.218
11700,0.073,0.710,0.217
11800,0.072,0.704,0.224
11900,0.076,0.709,0.215
12000,0.079,0.703,0.218
12100,0.083,0.698,0.219
12200,0.084,0.687,0.229
12300,0.090,0.688,0.222
12400,0.088,0.682,0.230
12500,0.094,0.675,0.231
12600,0.095,0.671,0.234
12700,0.090,0.672,0.238
12800,0.091,0.664,0.245
12900,0.092,0.661,0.247
13000,0.090,0.661,0.249
13100,0.090,0.669,0.241
13200,0.089,0.672,0.239
13300,0.086,0.669,0.245
13400,0.086,0.679,0.235
13500,0.090,0.683,0.227
13600,0.091,0.690,0.219
13700,0.085,0.689,0.226
13800,0.084,0.681,0.235
13900,0.086,0.688,0.226
14000,0.088,0.681,0.231
14100,0.087,0.687,0.226
14200,0.090,0.684,0.226
14300,0.085,0.680,0.235
14400,0.082,0.672,0.246
14500,0.076,0.673,0.251
14600,0.074,0.667,0.259
14700,0.077,0.662,0.261
14800,0.092,0.660,0.248
14900,0.092,0.661,0.247
15000,0.088,0.659,0.253
15100,0.090,0.662,0.248
15200,0.084,0.676,0.240
15300,0.087,0.665,0.248
15400,0.091,0.667,0.242
15500,0.093,0.671,0.236
15600,0.098,0.671,0.231
15700,0.094,0.665,0.241
15800,0.089,0.661,0.250
15900,0.101,0.657,0.242
16000,0.105,0.663,0.232
16100,0.103,0.665,0.232
16200,0.106,0.663,0.231
16300,0.100,0.666,0.234
16400,0.096,0.667,0.237
16500,0.104,0.664,0.232
16600,0.101,0.656,0.243
16700,0.101,0.647,0.252
16800,0.104,0.642,0.254
16900,0.094,0.638,0.268
17000,0.108,0.640,0.252
17100,0.107,0.635,0.258
17200,0.102,0.640,0.258
17300,0.102,0.650,0.248
17400,0.095,0.654,0.251
17500,0.098,0.646,0.256
17600,0.094,0.649,0.257
17700,0.097,0.644,0.259
17800,0.096,0.634,0.270
17900,0.099,0.636,0.265
18000,0.104,0.631,0.265
18100,0.101,0.653,0.246
18200,0.102,0.659,0.239
18300,0.105,0.659,0.236
18400,0.105,0.661,0.234
18500,0.109,0.643,0.248
18600,0.105,0.652,0.243
18700,0.103,0.654,0.243
18800,0.105,0.647,0.248
18900,0.101,0.647,0.252
19000,0.100,0.647,0.253
19100,0.099,0.645,0.256
19200,0.106,0.638,0.256
19300,0.107,0.636,0.257
19400,0.100,0.645,0.255
19500,0.101,0.638,0.261
19600,0.106,0.639,0.255
19700,0.105,0.636,0.259
19800,0.110,0.625,0.265
19900,0.105,0.622,0.273
20000,0.107,0.627,0.266
20100,0.102,0.624,0.274
20200,0.099,0.627,0.274
20300,0.104,0.643,0.253
20400,0.105,0.631,0.264
20500,0.104,0.623,0.273
20600,0.107,0.619,0.274
20700,0.106,0.617,0.277
20800,0.099,0.629,0.272
20900,0.100,0.629,0.271
21000,0.109,0.619,0.272
21100,0.111,0.622,0.267
21200,0.108,0.620,0.272
21300,0.109,0.622,0.269
21400,0.105,0.627,0.268
21500,0.104,0.627,0.269
21600,0.102,0.638,0.260
21700,0.098,0.649,0.253
21800,0.099,0.647,0.254
21900,0.098,0.649,0.253
22000,0.094,0.647,0.259
22100,0.102,0.650,0.248
22200,0.099,0.651,0.250
22300,0.098,0.655,0.247
22400,0.103,0.661,0.236
22500,0.101,0.657,0.242
22600,0.097,0.660,0.243
22700,0.099,0.653,0.248
22800,0.096,0.651,0.253
22900,0.093,0.644,0.263
23000,0.096,0.649,0.255
23100,0.098,0.652,0.250
23200,0.099,0.659,0.242
23300,0.105,0.656,0.239
23400,0.101,0.633,0.266
23500,0.100,0.632,0.268
23600,0.104,0.636,0.260
23700,0.099,0.632,0.269
23800,0.103,0.648,0.249
23900,0.099,0.634,0.267
24000,0.104,0.639,0.257
24100,0.104,0.635,0.261
24200,0.106,0.630,0.264
24300,0.105,0.632,0.263
24400,0.112,0.629,0.259
24500,0.112,0.630,0.258
24600,0.109,0.635,0.256
24700,0.113,0.645,0.242
24800,0.106,0.652,0.242
24900,0.103,0.648,0.249
25000,0.105,0.646,0.249
25100,0.103,0.651,0.246
25200,0.096,0.660,0.244
25300,0.098,0.655,0.247
25400,0.092,0.652,0.256
25500,0.094,0.647,0.259
25600,0.111,0.639,0.250
25700,0.105,0.628,0.267
25800,0.104,0.633,0.263
25900,0.105,0.628,0.267
26000,0.105,0.623,0.272
26100,0.107,0.619,0.274
26200,0.112,0.620,0.268
26300,0.112,0.618,0.270
26400,0.117,0.620,0.263
26500,0.112,0.627,0.261
26600,0.108,0.621,0.271
26700,0.114,0.612,0.274
26800,0.115,0.609,0.276
26900,0.120,0.596,0.284
27000,0.131,0.594,0.275
27100,0.122,0.589,0.289
27200,0.122,0.580,0.298
27300,0.127,0.576,0.297
27400,0.117,0.586,0.297
27500,0.114,0.567,0.319
27600,0.118,0.571,0.311
27700,0.120,0.569,0.311
27800,0.132,0.559,0.309
27900,0.130,0.555,0.315
28000,0.133,0.561,0.306
28100,0.125,0.557,0.318
28200,0.123,0.562,0.315
28300,0.112,0.585,0.303
28400,0.111,0.591,0.298
28500,0.107,0.600,0.293
28600,0.112,0.598,0.290
28700,0.110,0.587,0.303
28800,0.112,0.575,0.313
28900,0.120,0.582,0.298
29000,0.117,0.579,0.304
29100,0.114,0.582,0.304
29200,0.106,0.587,0.307
29300,0.109,0.579,0.312
29400,0.114,0.587,0.299
29500,0.120,0.574,0.306
29600,0.121,0.565,0.314
29700,0.121,0.578,0.301
29800,0.123,0.584,0.293
29900,0.126,0.584,0.290
30000,0.130,0.573,0.297
30100,0.134,0.563,0.303
30200,0.141,0.573,0.286
30300,0.137,0.574,0.289
30400,0.130,0.571,0.299
30500,0.132,0.567,0.301
30600,0.131,0.569,0.300
30700,0.129,0.580,0.291
30800,0.133,0.585,0.282
30900,0.131,0.585,0.284
31000,0.120,0.578,0.302
31100,0.114,0.574,0.312
31200,0.116,0.581,0.303
31300,0.120,0.569,0.311
31400,0.130,0.563,0.307
31500,0.129,0.567,0.304
31600,0.125,0.572,0.303
31700,0.128,0.568,0.304
31800,0.144,0.562,0.294
31900,0.135,0.562,0.303
32000,0.132,0.568,0.300
32100,0.136,0.561,0.303
32200,0.133,0.563,0.304
32300,0.128,0.548,0.324
32400,0.129,0.564,0.307
32500,0.137,0.565,0.298
32600,0.128,0.570,0.302
32700,0.123,0.576,0.301
32800,0.128,0.571,0.301
32900,0.120,0.584,0.296
33000,0.121,0.587,0.292
33100,0.122,0.583,0.295
33200,0.117,0.575,0.308
33300,0.113,0.578,0.309
33400,0.132,0.585,0.283
33500,0.124,0.589,0.287
33600,0.127,0.593,0.280
33700,0.128,0.590,0.282
33800,0.120,0.598,0.282
33900,0.129,0.591,0.280
34000,0.129,0.596,0.275
34100,0.126,0.583,0.291
34200,0.125,0.588,0.287
34300,0.126,0.584,0.290
34400,0.128,0.587,0.285
34500,0.119,0.590,0.291
34600,0.116,0.590,0.294
34700,0.116,0.591,0.293
34800,0.115,0.581,0.304
34900,0.107,0.584,0.309
35000,0.103,0.594,0.303
35100,0.104,0.594,0.302
35200,0.103,0.581,0.316
35300,0.102,0.591,0.307
35400,0.099,0.585,0.316
35500,0.105,0.595,0.300
35600,0.100,0.585,0.315
35700,0.102,0.583,0.315
35800,0.101,0.591,0.308
35900,0.100,0.598,0.302
36000,0.115,0.596,0.289
36100,0.113,0.595,0.292
36200,0.107,0.608,0.285
36300,0.109,0.603,0.288
36400,0.107,0.600,0.293
36500,0.112,0.604,0.284
36600,0.105,0.606,0.289
36700,0.114,0.592,0.294
36800,0.114,0.592,0.294
36900,0.106,0.590,0.304
37000,0.111,0.591,0.298
37100,0.114,0.598,0.288
37200,0.120,0.591,0.289
37300,0.119,0.589,0.292
37400,0.125,0.580,0.295
37500,0.127,0.579,0.294
37600,0.126,0.577,0.297
37700,0.127,0.577,0.296
37800,0.120,0.579,0.301
37900,0.127,0.566,0.307
38000,0.122,0.573,0.305
38100,0.114,0.573,0.313
38200,0.112,0.572,0.316
38300,0.116,0.578,0.306
38400,0.117,0.597,0.286
38500,0.109,0.614,0.277
38600,0.106,0.600,0.294
38700,0.102,0.596,0.302
38800,0.103,0.602,0.295
38900,0.103,0.614,0.283
39000,0.107,0.616,0.277
39100,0.113,0.603,0.284
39200,0.115,0.612,0.273
39300,0.108,0.612,0.280
39400,0.114,0.606,0.280
39500,0.112,0.609,0.279
39600,0.112,0.612,0.276
39700,0.116,0.612,0.272
39800,0.117,0.610,0.273
39900,0.120,0.606,0.274
40000,0.127,0.602,0.271
40100,0.127,0.598,0.275
40200,0.125,0.591,0.284
40300,0.123,0.597,0.280
40400,0.115,0.590,0.295
40500,0.111,0.596,0.293
40600,0.104,0.605,0.291
40700,0.099,0.616,0.285
40800,0.097,0.622,0.281
40900,0.098,0.619,0.283
41000,0.101,0.612,0.287
41100,0.113,0.604,0.283
41200,0.125,0.605,0.270
41300,0.117,0.606,0.277
41400,0.110,0.598,0.292
