time,n_A+p,n_B,n_AB
100,0.030,0.964,0.006
200,0.030,0.963,0.007
300,0.030,0.962,0.008
400,0.030,0.961,0.009
500,0.030,0.961,0.009
600,0.030,0.955,0.015
700,0.030,0.957,0.013
800,0.030,0.952,0.018
900,0.030,0.949,0.021
1000,0.030,0.949,0.021
1100,0.030,0.945,0.025
1200,0.030,0.938,0.032
1300,0.030,0.932,0.038
1400,0.030,0.928,0.042
1500,0.030,0.927,0.043
1600,0.030,0.919,0.051
1700,0.030,0.916,0.054
1800,0.031,0.912,0.057
1900,0.031,0.907,0.062
2000,0.032,0.910,0.058
2100,0.034,0.907,0.059
2200,0.033,0.913,0.054
2300,0.031,0.908,0.061
2400,0.031,0.905,0.064
2500,0.033,0.904,0.063
2600,0.033,0.906,0.061
2700,0.033,0.905,0.062
2800,0.033,0.897,0.070
2900,0.032,0.899,0.069
3000,0.032,0.896,0.072
3100,0.032,0.906,0.062
3200,0.032,0.899,0.069
3300,0.031,0.901,0.068
3400,0.030,0.903,0.067
3500,0.030,0.913,0.057
3600,0.030,0.913,0.057
3700,0.031,0.911,0.058
3800,0.031,0.907,0.062
3900,0.031,0.915,0.054
4000,0.031,0.914,0.055
4100,0.031,0.917,0.052
4200,0.031,0.918,0.051
4300,0.031,0.918,0.051
4400,0.030,0.917,0.053
4500,0.030,0.916,0.054
4600,0.030,0.920,0.050
4700,0.030,0.918,0.052
4800,0.030,0.917,0.053
4900,0.030,0.916,0.054
5000,0.030,0.913,0.057
5100,0.031,0.916,0.053
5200,0.031,0.909,0.060
5300,0.035,0.908,0.057
5400,0.035,0.910,0.055
5500,0.035,0.905,0.060
5600,0.035,0.903,0.062
5700,0.036,0.892,0.072
5800,0.038,0.891,0.071
5900,0.037,0.892,0.071
6000,0.036,0.890,0.074
6100,0.036,0.892,0.072
6200,0.034,0.886,0.080
6300,0.034,0.886,0.080
6400,0.032,0.892,0.076
6500,0.032,0.902,0.066
6600,0.032,0.900,0.068
6700,0.032,0.900,0.068
6800,0.032,0.902,0.066
6900,0.030,0.907,0.063
7000,0.030,0.913,0.057
7100,0.030,0.914,0.056
7200,0.032,0.924,0.044
7300,0.032,0.926,0.042
7400,0.032,0.925,0.043
7500,0.032,0.927,0.041
7600,0.032,0.924,0.044
7700,0.032,0.930,0.038
7800,0.031,0.929,0.040
7900,0.030,0.933,0.037
8000,0.030,0.928,0.042
8100,0.030,0.928,0.042
8200,0.030,0.932,0.038
8300,0.030,0.931,0.039
8400,0.030,0.929,0.041
8500,0.030,0.935,0.035
8600,0.031,0.931,0.038
8700,0.031,0.931,0.038
8800,0.031,0.932,0.037
8900,0.031,0.932,0.037
9000,0.031,0.925,0.044
9100,0.030,0.924,0.046
9200,0.030,0.926,0.044
9300,0.030,0.921,0.049
9400,0.031,0.921,0.048
9500,0.030,0.918,0.052
9600,0.031,0.922,0.047
9700,0.031,0.919,0.050
9800,0.031,0.919,0.050
9900,0.031,0.916,0.053
10000,0.031,0.913,0.056
10100,0.031,0.911,0.058
10200,0.031,0.910,0.059
10300,0.031,0.906,0.063
10400,0.031,0.898,0.071
10500,0.031,0.905,0.064
10600,0.031,0.899,0.070
10700,0.031,0.903,0.066
10800,0.031,0.908,0.061
10900,0.031,0.904,0.065
11000,0.031,0.900,0.069
11100,0.031,0.895,0.074
11200,0.033,0.897,0.070
11300,0.033,0.895,0.072
11400,0.032,0.898,0.070
11500,0.032,0.904,0.064
11600,0.032,0.898,0.070
11700,0.033,0.895,0.072
11800,0.032,0.900,0.068
11900,0.032,0.899,0.069
12000,0.033,0.900,0.067
12100,0.033,0.901,0.066
12200,0.033,0.901,0.066
12300,0.033,0.903,0.064
12400,0.033,0.910,0.057
12500,0.032,0.906,0.062
12600,0.031,0.907,0.062
12700,0.031,0.906,0.063
12800,0.032,0.912,0.056
12900,0.032,0.908,0.060
13000,0.033,0.907,0.060
13100,0.033,0.904,0.063
13200,0.033,0.906,0.061
13300,0.033,0.903,0.064
13400,0.033,0.907,0.060
13500,0.033,0.907,0.060
13600,0.034,0.907,0.059
13700,0.033,0.912,0.055
13800,0.032,0.910,0.058
13900,0.031,0.908,0.061
14000,0.031,0.907,0.062
14100,0.031,0.904,0.065
14200,0.031,0.901,0.068
14300,0.031,0.907,0.062
14400,0.031,0.912,0.057
14500,0.031,0.912,0.057
14600,0.031,0.912,0.057
14700,0.031,0.909,0.060
14800,0.032,0.914,0.054
14900,0.032,0.912,0.056
15000,0.032,0.913,0.055
15100,0.031,0.912,0.057
15200,0.031,0.912,0.057
15300,0.031,0.903,0.066
15400,0.032,0.904,0.064
15500,0.032,0.894,0.074
15600,0.032,0.898,0.070
15700,0.032,0.905,0.063
15800,0.031,0.904,0.065
15900,0.031,0.904,0.065
16000,0.031,0.909,0.060
16100,0.031,0.912,0.057
16200,0.031,0.909,0.060
16300,0.031,0.912,0.057
16400,0.032,0.914,0.054
16500,0.032,0.922,0.046
16600,0.030,0.925,0.045
16700,0.030,0.922,0.048
16800,0.030,0.916,0.054
16900,0.030,0.913,0.057
17000,0.030,0.918,0.052
17100,0.030,0.913,0.057
17200,0.030,0.913,0.057
17300,0.030,0.911,0.059
17400,0.030,0.911,0.059
17500,0.030,0.911,0.059
17600,0.030,0.908,0.062
17700,0.030,0.908,0.062
17800,0.030,0.911,0.059
17900,0.030,0.907,0.063
18000,0.030,0.914,0.056
18100,0.030,0.918,0.052
18200,0.032,0.916,0.052
18300,0.032,0.915,0.053
18400,0.032,0.913,0.055
18500,0.034,0.906,0.060
18600,0.034,0.908,0.058
18700,0.032,0.904,0.064
18800,0.032,0.912,0.056
18900,0.032,0.917,0.051
19000,0.033,0.920,0.047
19100,0.033,0.914,0.053
19200,0.034,0.924,0.042
19300,0.034,0.923,0.043
19400,0.034,0.915,0.051
19500,0.033,0.909,0.058
19600,0.033,0.910,0.057
19700,0.033,0.912,0.055
19800,0.033,0.914,0.053
19900,0.033,0.914,0.053
20000,0.033,0.920,0.047
20100,0.034,0.910,0.056
20200,0.032,0.902,0.066
20300,0.032,0.906,0.062
20400,0.036,0.905,0.059
20500,0.035,0.899,0.066
20600,0.035,0.899,0.066
20700,0.035,0.898,0.067
20800,0.032,0.902,0.066
20900,0.032,0.904,0.064
21000,0.032,0.903,0.065
21100,0.032,0.904,0.064
21200,0.032,0.905,0.063
21300,0.032,0.908,0.060
21400,0.033,0.903,0.064
21500,0.032,0.900,0.068
21600,0.032,0.896,0.072
21700,0.034,0.894,0.072
21800,0.034,0.893,0.073
21900,0.034,0.898,0.068
22000,0.033,0.885,0.082
22100,0.032,0.894,0.074
22200,0.032,0.896,0.072
22300,0.032,0.900,0.068
22400,0.032,0.902,0.066
22500,0.034,0.907,0.059
22600,0.034,0.911,0.055
22700,0.032,0.905,0.063
22800,0.032,0.892,0.076
22900,0.033,0.900,0.067
23000,0.032,0.903,0.065
23100,0.032,0.904,0.064
23200,0.032,0.906,0.062
23300,0.032,0.897,0.071
23400,0.033,0.902,0.065
23500,0.033,0.896,0.071
23600,0.034,0.891,0.075
23700,0.033,0.892,0.075
23800,0.031,0.893,0.076
23900,0.031,0.902,0.067
24000,0.031,0.899,0.070
24100,0.031,0.903,0.066
24200,0.033,0.901,0.066
24300,0.032,0.894,0.074
24400,0.035,0.895,0.070
24500,0.035,0.898,0.067
24600,0.036,0.907,0.057
24700,0.035,0.911,0.054
24800,0.033,0.918,0.049
24900,0.033,0.908,0.059
25000,0.031,0.910,0.059
25100,0.031,0.909,0.060
25200,0.031,0.903,0.066
25300,0.035,0.906,0.059
25400,0.035,0.900,0.065
25500,0.033,0.904,0.063
25600,0.032,0.905,0.063
25700,0.032,0.908,0.060
25800,0.032,0.897,0.071
25900,0.031,0.901,0.068
26000,0.031,0.895,0.074
26100,0.031,0.890,0.079
26200,0.031,0.892,0.077
26300,0.031,0.891,0.078
26400,0.031,0.899,0.070
26500,0.031,0.898,0.071
26600,0.031,0.900,0.069
26700,0.031,0.901,0.068
26800,0.031,0.903,0.066
26900,0.031,0.902,0.067
27000,0.031,0.901,0.068
27100,0.031,0.901,0.068
27200,0.031,0.904,0.065
27300,0.031,0.904,0.065
27400,0.030,0.901,0.069
27500,0.030,0.908,0.062
27600,0.030,0.913,0.057
27700,0.031,0.913,0.056
27800,0.031,0.912,0.057
27900,0.033,0.916,0.051
28000,0.033,0.918,0.049
28100,0.033,0.921,0.046
28200,0.032,0.918,0.050
28300,0.032,0.916,0.052
28400,0.032,0.917,0.051
28500,0.032,0.913,0.055
28600,0.031,0.915,0.054
28700,0.031,0.915,0.054
28800,0.031,0.917,0.052
28900,0.031,0.920,0.049
29000,0.031,0.922,0.047
29100,0.031,0.924,0.045
29200,0.031,0.921,0.048
29300,0.031,0.921,0.048
29400,0.031,0.923,0.046
29500,0.031,0.925,0.044
29600,0.032,0.919,0.049
29700,0.032,0.917,0.051
29800,0.032,0.917,0.051
29900,0.032,0.918,0.050
30000,0.032,0.917,0.051
30100,0.034,0.914,0.052
30200,0.034,0.916,0.050
30300,0.034,0.909,0.057
30400,0.033,0.909,0.058
30500,0.033,0.906,0.061
