time,n_A+p,n_B,n_AB
100,0.030,0.969,0.001
200,0.030,0.966,0.004
300,0.030,0.961,0.009
400,0.030,0.956,0.014
500,0.030,0.947,0.023
600,0.030,0.941,0.029
700,0.030,0.932,0.038
800,0.030,0.931,0.039
900,0.030,0.930,0.040
1000,0.030,0.922,0.048
1100,0.030,0.915,0.055
1200,0.030,0.900,0.070
1300,0.030,0.898,0.072
1400,0.030,0.893,0.077
1500,0.030,0.888,0.082
1600,0.030,0.883,0.087
1700,0.030,0.877,0.093
1800,0.030,0.873,0.097
1900,0.033,0.870,0.097
2000,0.033,0.861,0.106
2100,0.032,0.852,0.116
2200,0.032,0.846,0.122
2300,0.030,0.834,0.136
2400,0.030,0.830,0.140
2500,0.030,0.804,0.166
2600,0.032,0.797,0.171
2700,0.032,0.791,0.177
2800,0.034,0.787,0.179
2900,0.034,0.772,0.194
3000,0.034,0.753,0.213
3100,0.034,0.756,0.210
3200,0.034,0.744,0.222
3300,0.037,0.727,0.236
3400,0.036,0.711,0.253
3500,0.034,0.707,0.259
3600,0.037,0.696,0.267
3700,0.036,0.688,0.276
3800,0.041,0.665,0.294
3900,0.040,0.647,0.313
4000,0.046,0.633,0.321
4100,0.041,0.628,0.331
4200,0.045,0.612,0.343
4300,0.049,0.597,0.354
4400,0.045,0.580,0.375
4500,0.053,0.560,0.387
4600,0.054,0.549,0.397
4700,0.053,0.541,0.406
4800,0.057,0.530,0.413
4900,0.054,0.525,0.421
5000,0.057,0.511,0.432
5100,0.055,0.510,0.435
5200,0.059,0.507,0.434
5300,0.062,0.494,0.444
5400,0.071,0.491,0.438
5500,0.073,0.488,0.439
5600,0.074,0.473,0.453
5700,0.078,0.467,0.455
5800,0.074,0.452,0.474
5900,0.076,0.435,0.489
6000,0.074,0.420,0.506
6100,0.073,0.406,0.521
6200,0.074,0.404,0.522
6300,0.081,0.397,0.522
6400,0.085,0.392,0.523
6500,0.086,0.375,0.539
6600,0.098,0.376,0.526
6700,0.097,0.359,0.544
6800,0.100,0.346,0.554
6900,0.109,0.340,0.551
7000,0.096,0.344,0.560
7100,0.095,0.333,0.572
7200,0.098,0.329,0.573
7300,0.100,0.333,0.567
7400,0.099,0.328,0.573
7500,0.101,0.335,0.564
7600,0.109,0.324,0.567
7700,0.114,0.322,0.564
7800,0.113,0.312,0.575
7900,0.121,0.301,0.578
8000,0.120,0.300,0.580
8100,0.124,0.296,0.580
8200,0.113,0.290,0.597
8300,0.113,0.290,0.597
8400,0.115,0.296,0.589
8500,0.115,0.285,0.600
8600,0.119,0.267,0.614
8700,0.124,0.262,0.614
8800,0.133,0.257,0.610
8900,0.142,0.259,0.599
9000,0.139,0.252,0.609
9100,0.133,0.238,0.629
9200,0.134,0.229,0.637
9300,0.133,0.219,0.648
9400,0.137,0.211,0.652
9500,0.146,0.196,0.658
9600,0.138,0.207,0.655
9700,0.139,0.213,0.648
9800,0.144,0.210,0.646
9900,0.146,0.207,0.647
10000,0.154,0.207,0.639
10100,0.161,0.199,0.640
10200,0.153,0.195,0.652
10300,0.155,0.199,0.646
10400,0.153,0.199,0.648
10500,0.155,0.187,0.658
10600,0.163,0.187,0.650
10700,0.158,0.199,0.643
10800,0.157,0.192,0.651
10900,0.157,0.186,0.657
11000,0.156,0.186,0.658
11100,0.157,0.187,0.656
11200,0.147,0.190,0.663
11300,0.146,0.179,0.675
11400,0.143,0.177,0.680
11500,0.145,0.181,0.674
11600,0.141,0.178,0.681
11700,0.141,0.186,0.673
11800,0.133,0.201,0.666
11900,0.136,0.206,0.658
12000,0.143,0.202,0.655
12100,0.145,0.201,0.654
12200,0.151,0.196,0.653
12300,0.158,0.202,0.640
12400,0.160,0.213,0.627
12500,0.168,0.202,0.630
12600,0.177,0.197,0.626
12700,0.169,0.198,0.633
12800,0.168,0.191,0.641
12900,0.161,0.180,0.659
13000,0.152,0.182,0.666
13100,0.162,0.176,0.662
13200,0.167,0.177,0.656
13300,0.165,0.171,0.664
13400,0.160,0.174,0.666
13500,0.172,0.158,0.670
13600,0.173,0.156,0.671
13700,0.167,0.153,0.680
13800,0.170,0.150,0.680
13900,0.165,0.150,0.685
14000,0.163,0.144,0.693
14100,0.170,0.148,0.682
14200,0.170,0.133,0.697
14300,0.167,0.141,0.692
14400,0.173,0.137,0.690
14500,0.181,0.149,0.670
14600,0.182,0.153,0.665
14700,0.199,0.151,0.650
14800,0.200,0.149,0.651
14900,0.197,0.150,0.653
15000,0.192,0.153,0.655
15100,0.214,0.148,0.638
15200,0.205,0.144,0.651
15300,0.199,0.143,0.658
15400,0.200,0.143,0.657
15500,0.196,0.140,0.664
15600,0.197,0.139,0.664
15700,0.212,0.135,0.653
15800,0.216,0.144,0.640
15900,0.213,0.142,0.645
16000,0.208,0.141,0.651
16100,0.204,0.133,0.663
16200,0.210,0.127,0.663
16300,0.200,0.132,0.668
16400,0.207,0.127,0.666
