time,n_A+p,n_B,n_AB
100,0.030,0.970,0.000
200,0.030,0.930,0.040
300,0.030,0.887,0.083
400,0.030,0.845,0.125
500,0.030,0.831,0.139
600,0.031,0.859,0.110
700,0.032,0.844,0.124
800,0.032,0.828,0.140
900,0.032,0.787,0.181
1000,0.030,0.797,0.173
1100,0.030,0.781,0.189
1200,0.034,0.785,0.181
1300,0.034,0.748,0.218
1400,0.031,0.718,0.251
1500,0.032,0.697,0.271
1600,0.032,0.743,0.225
1700,0.031,0.757,0.212
1800,0.031,0.780,0.189
1900,0.031,0.752,0.217
2000,0.030,0.706,0.264
2100,0.033,0.678,0.289
2200,0.031,0.730,0.239
2300,0.031,0.734,0.235
2400,0.034,0.748,0.218
2500,0.033,0.751,0.216
2600,0.030,0.749,0.221
2700,0.030,0.701,0.269
2800,0.030,0.706,0.264
2900,0.030,0.714,0.256
3000,0.032,0.703,0.265
3100,0.036,0.669,0.295
3200,0.035,0.655,0.310
3300,0.038,0.630,0.332
3400,0.037,0.577,0.386
3500,0.037,0.580,0.383
3600,0.039,0.545,0.416
3700,0.035,0.482,0.483
3800,0.041,0.473,0.486
3900,0.044,0.451,0.505
4000,0.050,0.530,0.420
4100,0.043,0.576,0.381
4200,0.039,0.555,0.406
4300,0.038,0.561,0.401
4400,0.034,0.598,0.368
4500,0.037,0.565,0.398
4600,0.039,0.581,0.380
4700,0.040,0.618,0.342
4800,0.046,0.618,0.336
4900,0.045,0.618,0.337
5000,0.043,0.597,0.360
5100,0.038,0.563,0.399
5200,0.042,0.525,0.433
5300,0.038,0.492,0.470
5400,0.040,0.475,0.485
5500,0.038,0.469,0.493
5600,0.045,0.497,0.458
5700,0.046,0.477,0.477
5800,0.046,0.469,0.485
5900,0.040,0.481,0.479
6000,0.047,0.476,0.477
6100,0.048,0.468,0.484
6200,0.045,0.502,0.453
6300,0.043,0.477,0.480
6400,0.050,0.442,0.508
6500,0.057,0.461,0.482
6600,0.058,0.435,0.507
6700,0.054,0.458,0.488
6800,0.050,0.386,0.564
6900,0.053,0.409,0.538
7000,0.059,0.390,0.551
7100,0.057,0.405,0.538
7200,0.052,0.347,0.601
7300,0.050,0.317,0.633
7400,0.048,0.375,0.577
7500,0.051,0.417,0.532
7600,0.051,0.398,0.551
7700,0.049,0.436,0.515
7800,0.052,0.386,0.562
7900,0.056,0.389,0.555
8000,0.050,0.415,0.535
8100,0.051,0.431,0.518
8200,0.057,0.462,0.481
8300,0.046,0.465,0.489
8400,0.042,0.460,0.498
8500,0.046,0.456,0.498
8600,0.046,0.472,0.482
8700,0.047,0.481,0.472
8800,0.041,0.469,0.490
8900,0.046,0.442,0.512
9000,0.046,0.413,0.541
9100,0.050,0.423,0.527
9200,0.047,0.388,0.565
9300,0.052,0.425,0.523
9400,0.047,0.439,0.514
9500,0.050,0.461,0.489
9600,0.046,0.448,0.506
9700,0.048,0.467,0.485
9800,0.044,0.502,0.454
9900,0.047,0.491,0.462
10000,0.042,0.524,0.434
10100,0.040,0.533,0.427
10200,0.047,0.492,0.461
10300,0.043,0.471,0.486
10400,0.041,0.462,0.497
10500,0.045,0.438,0.517
10600,0.049,0.411,0.540
10700,0.050,0.406,0.544
10800,0.058,0.387,0.555
10900,0.057,0.393,0.550
11000,0.053,0.454,0.493
11100,0.048,0.463,0.489
11200,0.046,0.465,0.489
11300,0.051,0.451,0.498
11400,0.050,0.481,0.469
11500,0.047,0.479,0.474
11600,0.052,0.519,0.429
11700,0.044,0.501,0.455
11800,0.049,0.485,0.466
11900,0.046,0.509,0.445
12000,0.050,0.495,0.455
12100,0.050,0.455,0.495
12200,0.053,0.448,0.499
12300,0.048,0.509,0.443
12400,0.048,0.439,0.513
12500,0.051,0.486,0.463
12600,0.044,0.444,0.512
12700,0.047,0.462,0.491
12800,0.042,0.466,0.492
12900,0.045,0.497,0.458
13000,0.047,0.473,0.480
13100,0.045,0.504,0.451
13200,0.043,0.513,0.444
13300,0.045,0.552,0.403
13400,0.044,0.532,0.424
13500,0.045,0.518,0.437
13600,0.040,0.530,0.430
13700,0.035,0.546,0.419
13800,0.036,0.535,0.429
13900,0.038,0.551,0.411
14000,0.036,0.568,0.396
14100,0.033,0.585,0.382
14200,0.033,0.627,0.340
14300,0.034,0.611,0.355
14400,0.032,0.608,0.360
14500,0.034,0.601,0.365
14600,0.034,0.565,0.401
14700,0.034,0.619,0.347
14800,0.036,0.638,0.326
14900,0.034,0.637,0.329
15000,0.040,0.652,0.308
15100,0.035,0.647,0.318
15200,0.036,0.706,0.258
15300,0.036,0.708,0.256
15400,0.033,0.720,0.247
15500,0.031,0.717,0.252
15600,0.033,0.718,0.249
15700,0.032,0.720,0.248
15800,0.034,0.667,0.299
15900,0.037,0.588,0.375
16000,0.037,0.536,0.427
16100,0.040,0.556,0.404
16200,0.040,0.546,0.414
16300,0.041,0.528,0.431
16400,0.038,0.556,0.406
16500,0.037,0.567,0.396
16600,0.039,0.605,0.356
16700,0.041,0.619,0.340
16800,0.035,0.626,0.339
16900,0.031,0.642,0.327
17000,0.032,0.624,0.344
17100,0.038,0.600,0.362
17200,0.036,0.639,0.325
17300,0.035,0.611,0.354
17400,0.036,0.629,0.335
17500,0.037,0.607,0.356
17600,0.039,0.616,0.345
17700,0.035,0.651,0.314
17800,0.032,0.633,0.335
17900,0.031,0.657,0.312
18000,0.032,0.646,0.322
18100,0.034,0.603,0.363
18200,0.038,0.570,0.392
18300,0.039,0.541,0.420
18400,0.037,0.563,0.400
18500,0.035,0.518,0.447
18600,0.033,0.552,0.415
18700,0.035,0.566,0.399
18800,0.034,0.614,0.352
18900,0.035,0.550,0.415
19000,0.044,0.561,0.395
19100,0.045,0.548,0.407
19200,0.043,0.489,0.468
19300,0.040,0.505,0.455
19400,0.048,0.513,0.439
19500,0.048,0.502,0.450
19600,0.047,0.443,0.510
19700,0.051,0.457,0.492
19800,0.059,0.474,0.467
19900,0.059,0.419,0.522
20000,0.072,0.382,0.546
20100,0.065,0.358,0.577
20200,0.076,0.426,0.498
20300,0.067,0.369,0.564
20400,0.065,0.379,0.556
20500,0.065,0.371,0.564
20600,0.062,0.394,0.544
20700,0.071,0.376,0.553
20800,0.078,0.396,0.526
20900,0.075,0.432,0.493
21000,0.077,0.432,0.491
21100,0.062,0.370,0.568
21200,0.052,0.385,0.563
21300,0.053,0.354,0.593
21400,0.060,0.403,0.537
21500,0.056,0.410,0.534
21600,0.057,0.371,0.572
21700,0.048,0.431,0.521
21800,0.057,0.401,0.542
21900,0.061,0.369,0.570
22000,0.063,0.402,0.535
22100,0.066,0.402,0.532
22200,0.061,0.362,0.577
22300,0.057,0.326,0.617
22400,0.067,0.371,0.562
22500,0.060,0.386,0.554
22600,0.052,0.372,0.576
22700,0.055,0.347,0.598
22800,0.057,0.364,0.579
22900,0.058,0.319,0.623
23000,0.062,0.317,0.621
23100,0.053,0.329,0.618
23200,0.044,0.412,0.544
23300,0.043,0.457,0.500
23400,0.044,0.446,0.510
23500,0.042,0.459,0.499
23600,0.047,0.498,0.455
23700,0.041,0.526,0.433
23800,0.042,0.534,0.424
23900,0.041,0.504,0.455
24000,0.047,0.462,0.491
24100,0.052,0.480,0.468
24200,0.050,0.459,0.491
24300,0.049,0.480,0.471
24400,0.044,0.515,0.441
24500,0.042,0.506,0.452
24600,0.044,0.538,0.418
24700,0.039,0.529,0.432
24800,0.037,0.529,0.434
24900,0.035,0.523,0.442
25000,0.035,0.529,0.436
25100,0.040,0.536,0.424
