time,n_A+p,n_B,n_AB
100,0.030,0.947,0.023
200,0.030,0.959,0.011
300,0.032,0.933,0.035
400,0.034,0.921,0.045
500,0.035,0.912,0.053
600,0.043,0.916,0.041
700,0.039,0.935,0.026
800,0.035,0.919,0.046
900,0.050,0.879,0.071
1000,0.044,0.884,0.072
1100,0.086,0.842,0.072
1200,0.103,0.781,0.116
1300,0.072,0.807,0.121
1400,0.056,0.801,0.143
1500,0.075,0.729,0.196
1600,0.096,0.720,0.184
1700,0.141,0.715,0.144
1800,0.105,0.713,0.182
1900,0.167,0.641,0.192
2000,0.155,0.645,0.200
2100,0.202,0.603,0.195
2200,0.174,0.606,0.220
2300,0.169,0.594,0.237
2400,0.160,0.602,0.238
2500,0.158,0.629,0.213
2600,0.146,0.620,0.234
2700,0.146,0.647,0.207
2800,0.174,0.617,0.209
2900,0.172,0.579,0.249
3000,0.210,0.558,0.232
3100,0.236,0.519,0.245
3200,0.265,0.509,0.226
3300,0.251,0.488,0.261
3400,0.198,0.540,0.262
3500,0.209,0.550,0.241
3600,0.172,0.558,0.270
3700,0.254,0.475,0.271
3800,0.218,0.487,0.295
3900,0.222,0.477,0.301
4000,0.261,0.482,0.257
4100,0.280,0.509,0.211
4200,0.274,0.494,0.232
4300,0.276,0.474,0.250
4400,0.241,0.502,0.257
4500,0.252,0.496,0.252
4600,0.253,0.474,0.273
4700,0.300,0.438,0.262
4800,0.328,0.409,0.263
4900,0.317,0.411,0.272
5000,0.386,0.343,0.271
5100,0.407,0.294,0.299
5200,0.461,0.250,0.289
5300,0.441,0.254,0.305
5400,0.459,0.243,0.298
5500,0.352,0.361,0.287
5600,0.380,0.300,0.320
5700,0.331,0.351,0.318
5800,0.354,0.323,0.323
5900,0.410,0.293,0.297
6000,0.438,0.279,0.283
6100,0.427,0.278,0.295
6200,0.437,0.282,0.281
6300,0.361,0.366,0.273
6400,0.377,0.354,0.269
6500,0.368,0.329,0.303
6600,0.387,0.334,0.279
6700,0.426,0.260,0.314
6800,0.397,0.251,0.352
6900,0.406,0.255,0.339
7000,0.420,0.304,0.276
7100,0.505,0.220,0.275
7200,0.514,0.224,0.262
7300,0.506,0.232,0.262
7400,0.475,0.237,0.288
7500,0.524,0.159,0.317
7600,0.599,0.151,0.250
7700,0.556,0.198,0.246
7800,0.624,0.149,0.227
7900,0.636,0.174,0.190
8000,0.642,0.148,0.210
8100,0.635,0.154,0.211
8200,0.658,0.126,0.216
8300,0.670,0.140,0.190
8400,0.709,0.096,0.195
8500,0.693,0.105,0.202
8600,0.740,0.090,0.170
8700,0.747,0.090,0.163
8800,0.761,0.076,0.163
8900,0.723,0.125,0.152
9000,0.685,0.102,0.213
9100,0.693,0.125,0.182
9200,0.671,0.129,0.200
9300,0.616,0.185,0.199
9400,0.582,0.183,0.235
9500,0.612,0.135,0.253
9600,0.584,0.158,0.258
9700,0.601,0.147,0.252
9800,0.541,0.174,0.285
9900,0.484,0.230,0.286
10000,0.527,0.161,0.312
10100,0.532,0.155,0.313
10200,0.528,0.230,0.242
10300,0.519,0.205,0.276
10400,0.542,0.161,0.297
10500,0.573,0.168,0.259
10600,0.525,0.204,0.271
10700,0.514,0.206,0.280
10800,0.509,0.245,0.246
10900,0.548,0.178,0.274
11000,0.506,0.220,0.274
11100,0.488,0.266,0.246
11200,0.559,0.156,0.285
11300,0.574,0.145,0.281
11400,0.549,0.157,0.294
11500,0.569,0.175,0.256
11600,0.497,0.209,0.294
11700,0.536,0.179,0.285
11800,0.503,0.193,0.304
11900,0.479,0.238,0.283
12000,0.463,0.229,0.308
12100,0.410,0.332,0.258
12200,0.393,0.349,0.258
12300,0.391,0.305,0.304
12400,0.367,0.292,0.341
12500,0.461,0.286,0.253
12600,0.443,0.278,0.279
