time,n_A+p,n_B,n_AB
100,0.030,0.969,0.001
200,0.030,0.966,0.004
300,0.030,0.965,0.005
400,0.030,0.961,0.009
500,0.033,0.957,0.010
600,0.032,0.954,0.014
700,0.032,0.949,0.019
800,0.032,0.920,0.048
900,0.033,0.919,0.048
1000,0.034,0.921,0.045
1100,0.033,0.917,0.050
1200,0.045,0.903,0.052
1300,0.041,0.903,0.056
1400,0.040,0.895,0.065
1500,0.039,0.898,0.063
1600,0.038,0.889,0.073
1700,0.038,0.893,0.069
1800,0.036,0.893,0.071
1900,0.035,0.893,0.072
2000,0.035,0.897,0.068
2100,0.035,0.890,0.075
2200,0.033,0.894,0.073
2300,0.034,0.894,0.072
2400,0.033,0.893,0.074
2500,0.035,0.895,0.070
2600,0.035,0.900,0.065
2700,0.036,0.901,0.063
2800,0.035,0.902,0.063
2900,0.035,0.905,0.060
3000,0.035,0.899,0.066
3100,0.034,0.897,0.069
3200,0.034,0.893,0.073
3300,0.035,0.895,0.070
3400,0.035,0.892,0.073
3500,0.035,0.896,0.069
3600,0.042,0.893,0.065
3700,0.045,0.873,0.082
3800,0.044,0.868,0.088
3900,0.049,0.859,0.092
4000,0.057,0.856,0.087
4100,0.053,0.853,0.094
4200,0.049,0.850,0.101
4300,0.046,0.846,0.108
4400,0.048,0.847,0.105
4500,0.046,0.848,0.106
4600,0.044,0.851,0.105
4700,0.047,0.850,0.103
4800,0.045,0.856,0.099
4900,0.053,0.837,0.110
5000,0.049,0.823,0.128
5100,0.047,0.816,0.137
5200,0.046,0.820,0.134
5300,0.048,0.828,0.124
5400,0.051,0.816,0.133
5500,0.070,0.803,0.127
5600,0.065,0.812,0.123
5700,0.060,0.802,0.138
5800,0.062,0.793,0.145
5900,0.062,0.798,0.140
6000,0.058,0.795,0.147
6100,0.057,0.793,0.150
6200,0.056,0.795,0.149
6300,0.053,0.801,0.146
6400,0.074,0.776,0.150
6500,0.073,0.780,0.147
6600,0.066,0.783,0.151
6700,0.065,0.785,0.150
6800,0.065,0.774,0.161
6900,0.069,0.767,0.164
7000,0.079,0.761,0.160
7100,0.079,0.743,0.178
7200,0.091,0.737,0.172
7300,0.088,0.733,0.179
7400,0.083,0.733,0.184
7500,0.079,0.727,0.194
7600,0.083,0.739,0.178
7700,0.095,0.735,0.170
7800,0.112,0.707,0.181
7900,0.107,0.703,0.190
8000,0.122,0.689,0.189
8100,0.150,0.666,0.184
8200,0.141,0.661,0.198
8300,0.144,0.673,0.183
8400,0.151,0.666,0.183
8500,0.150,0.653,0.197
8600,0.138,0.631,0.231
8700,0.137,0.632,0.231
8800,0.132,0.634,0.234
8900,0.134,0.625,0.241
9000,0.127,0.632,0.241
9100,0.134,0.633,0.233
9200,0.128,0.633,0.239
9300,0.123,0.616,0.261
9400,0.122,0.628,0.250
9500,0.110,0.641,0.249
9600,0.110,0.629,0.261
9700,0.111,0.630,0.259
9800,0.112,0.629,0.259
9900,0.132,0.616,0.252
10000,0.127,0.630,0.243
10100,0.125,0.629,0.246
10200,0.117,0.642,0.241
10300,0.123,0.651,0.226
10400,0.118,0.646,0.236
10500,0.118,0.653,0.229
10600,0.117,0.665,0.218
10700,0.124,0.663,0.213
10800,0.124,0.653,0.223
10900,0.121,0.652,0.227
11000,0.121,0.673,0.206
11100,0.116,0.674,0.210
11200,0.116,0.669,0.215
11300,0.111,0.661,0.228
11400,0.100,0.661,0.239
11500,0.104,0.653,0.243
11600,0.093,0.645,0.262
11700,0.096,0.656,0.248
11800,0.092,0.663,0.245
11900,0.085,0.671,0.244
12000,0.098,0.682,0.220
12100,0.094,0.682,0.224
12200,0.099,0.664,0.237
12300,0.099,0.680,0.221
12400,0.091,0.687,0.222
12500,0.092,0.687,0.221
12600,0.092,0.672,0.236
12700,0.110,0.647,0.243
12800,0.111,0.649,0.240
12900,0.107,0.656,0.237
13000,0.103,0.675,0.222
13100,0.106,0.669,0.225
13200,0.094,0.686,0.220
13300,0.094,0.675,0.231
13400,0.093,0.661,0.246
13500,0.101,0.648,0.251
13600,0.109,0.638,0.253
13700,0.130,0.607,0.263
13800,0.131,0.594,0.275
13900,0.137,0.594,0.269
14000,0.141,0.595,0.264
14100,0.137,0.597,0.266
14200,0.134,0.589,0.277
14300,0.150,0.576,0.274
14400,0.161,0.561,0.278
14500,0.147,0.567,0.286
14600,0.131,0.576,0.293
14700,0.132,0.587,0.281
14800,0.143,0.584,0.273
14900,0.137,0.583,0.280
15000,0.132,0.601,0.267
15100,0.129,0.600,0.271
15200,0.142,0.590,0.268
15300,0.138,0.597,0.265
15400,0.140,0.587,0.273
15500,0.161,0.571,0.268
15600,0.162,0.575,0.263
15700,0.161,0.574,0.265
15800,0.153,0.565,0.282
15900,0.153,0.560,0.287
16000,0.162,0.560,0.278
16100,0.158,0.562,0.280
16200,0.156,0.568,0.276
16300,0.157,0.560,0.283
16400,0.166,0.555,0.279
