time,n_A+p,n_B,n_AB
500,0.080,0.855,0.066
1000,0.080,0.812,0.108
1500,0.081,0.797,0.122
2000,0.082,0.777,0.141
2500,0.081,0.765,0.154
3000,0.081,0.757,0.162
3500,0.081,0.729,0.191
4000,0.083,0.733,0.184
4500,0.082,0.729,0.190
5000,0.083,0.729,0.189
5500,0.083,0.708,0.209
6000,0.084,0.704,0.213
6500,0.085,0.696,0.220
7000,0.083,0.695,0.223
7500,0.083,0.698,0.220
8000,0.087,0.675,0.238
8500,0.086,0.676,0.238
9000,0.087,0.664,0.249
9500,0.086,0.666,0.248
10000,0.084,0.680,0.236
10500,0.082,0.682,0.236
11000,0.083,0.677,0.240
11500,0.084,0.687,0.229
12000,0.085,0.665,0.250
12500,0.086,0.669,0.244
13000,0.089,0.676,0.234
13500,0.087,0.664,0.248
14000,0.089,0.682,0.229
14500,0.088,0.685,0.226
15000,0.088,0.673,0.239
15500,0.085,0.686,0.229
16000,0.082,0.697,0.222
16500,0.082,0.705,0.214
17000,0.081,0.707,0.212
17500,0.081,0.709,0.210
18000,0.082,0.713,0.206
18500,0.081,0.719,0.201
19000,0.087,0.699,0.214
19500,0.087,0.702,0.212
20000,0.086,0.730,0.184
20500,0.086,0.702,0.213
21000,0.083,0.682,0.235
21500,0.084,0.688,0.229
22000,0.086,0.691,0.224
22500,0.084,0.671,0.245
23000,0.083,0.687,0.230
23500,0.085,0.688,0.228
24000,0.083,0.687,0.230
24500,0.084,0.694,0.223
25000,0.083,0.717,0.201
25500,0.084,0.706,0.211
26000,0.082,0.714,0.205
26500,0.083,0.732,0.185
27000,0.081,0.726,0.194
27500,0.082,0.705,0.214
28000,0.086,0.695,0.220
28500,0.084,0.702,0.215
29000,0.083,0.716,0.202
29500,0.085,0.716,0.200
30000,0.083,0.699,0.219
30500,0.083,0.686,0.231
31000,0.085,0.685,0.230
31500,0.085,0.704,0.211
32000,0.084,0.675,0.241
32500,0.084,0.662,0.254
33000,0.086,0.651,0.263
33500,0.086,0.626,0.288
34000,0.090,0.633,0.277
34500,0.087,0.652,0.260
35000,0.085,0.640,0.275
35500,0.089,0.656,0.255
36000,0.089,0.650,0.261
36500,0.089,0.647,0.263
37000,0.095,0.661,0.244
37500,0.090,0.653,0.256
38000,0.088,0.650,0.262
38500,0.088,0.676,0.235
39000,0.085,0.663,0.252
39500,0.087,0.688,0.225
40000,0.086,0.680,0.233
40500,0.083,0.680,0.237
41000,0.086,0.681,0.232
41500,0.086,0.706,0.209
42000,0.086,0.686,0.227
42500,0.088,0.683,0.228
43000,0.085,0.677,0.238
43500,0.085,0.705,0.211
44000,0.086,0.691,0.223
44500,0.086,0.685,0.229
45000,0.086,0.658,0.255
45500,0.087,0.676,0.236
46000,0.086,0.678,0.236
46500,0.085,0.688,0.228
47000,0.085,0.703,0.213
47500,0.086,0.711,0.204
48000,0.086,0.700,0.214
48500,0.086,0.717,0.198
49000,0.084,0.709,0.208
49500,0.083,0.726,0.192
50000,0.086,0.731,0.183
50500,0.083,0.729,0.189
51000,0.081,0.725,0.194
51500,0.082,0.715,0.204
52000,0.082,0.705,0.214
52500,0.083,0.700,0.218
53000,0.087,0.670,0.242
53500,0.090,0.659,0.251
54000,0.088,0.671,0.241
54500,0.087,0.681,0.232
55000,0.090,0.664,0.245
55500,0.088,0.677,0.235
56000,0.087,0.668,0.245
56500,0.090,0.674,0.236
57000,0.087,0.676,0.236
57500,0.088,0.688,0.224
58000,0.085,0.676,0.239
58500,0.085,0.703,0.212
59000,0.083,0.691,0.227
59500,0.084,0.695,0.222
60000,0.082,0.673,0.245
60500,0.081,0.683,0.236
61000,0.081,0.700,0.220
61500,0.083,0.684,0.233
62000,0.084,0.686,0.230
62500,0.083,0.683,0.234
63000,0.083,0.684,0.233
63500,0.084,0.710,0.207
64000,0.086,0.706,0.209
64500,0.086,0.701,0.214
65000,0.085,0.725,0.191
65500,0.085,0.697,0.218
66000,0.083,0.704,0.214
66500,0.086,0.707,0.207
67000,0.086,0.732,0.183
