time,n_A+p,n_B,n_AB
500,0.030,0.915,0.055
1000,0.030,0.890,0.080
1500,0.030,0.796,0.174
2000,0.032,0.637,0.331
2500,0.032,0.422,0.546
3000,0.034,0.298,0.668
3500,0.036,0.194,0.770
4000,0.065,0.139,0.796
4500,0.089,0.099,0.812
5000,0.110,0.083,0.807
5500,0.086,0.076,0.838
6000,0.073,0.075,0.852
6500,0.084,0.067,0.849
7000,0.093,0.063,0.844
7500,0.094,0.081,0.825
8000,0.092,0.072,0.836
8500,0.109,0.050,0.841
9000,0.126,0.033,0.841
9500,0.099,0.036,0.865
10000,0.118,0.051,0.831
10500,0.107,0.040,0.853
11000,0.102,0.043,0.855
11500,0.114,0.042,0.844
12000,0.122,0.048,0.830
12500,0.140,0.043,0.817
13000,0.131,0.030,0.839
13500,0.135,0.043,0.822
14000,0.098,0.061,0.841
14500,0.093,0.064,0.843
15000,0.105,0.047,0.848
15500,0.140,0.040,0.820
16000,0.127,0.042,0.831
16500,0.115,0.054,0.831
17000,0.122,0.046,0.832
17500,0.113,0.046,0.841
18000,0.130,0.055,0.815
18500,0.098,0.044,0.858
19000,0.106,0.073,0.821
19500,0.110,0.054,0.836
20000,0.094,0.044,0.862
20500,0.084,0.053,0.863
21000,0.129,0.061,0.810
21500,0.105,0.047,0.848
22000,0.109,0.045,0.846
22500,0.118,0.057,0.825
23000,0.132,0.037,0.831
23500,0.114,0.053,0.833
24000,0.101,0.053,0.846
24500,0.108,0.045,0.847
25000,0.100,0.054,0.846
25500,0.115,0.065,0.820
26000,0.120,0.044,0.836
26500,0.098,0.054,0.848
27000,0.101,0.056,0.843
27500,0.117,0.054,0.829
28000,0.103,0.060,0.837
28500,0.106,0.064,0.830
29000,0.112,0.045,0.843
29500,0.113,0.037,0.850
30000,0.105,0.043,0.852
30500,0.119,0.064,0.817
31000,0.125,0.057,0.818
31500,0.140,0.041,0.819
32000,0.119,0.027,0.854
32500,0.111,0.032,0.857
33000,0.108,0.052,0.840
33500,0.100,0.043,0.857
34000,0.125,0.036,0.839
34500,0.123,0.047,0.830
35000,0.132,0.051,0.817
35500,0.117,0.042,0.841
36000,0.114,0.042,0.844
36500,0.131,0.040,0.829
37000,0.098,0.051,0.851
37500,0.097,0.044,0.859
38000,0.091,0.068,0.841
38500,0.093,0.061,0.846
39000,0.103,0.060,0.837
39500,0.081,0.048,0.871
40000,0.088,0.065,0.847
40500,0.102,0.048,0.850
41000,0.089,0.072,0.839
41500,0.083,0.054,0.863
42000,0.089,0.054,0.857
42500,0.097,0.057,0.846
43000,0.093,0.072,0.835
43500,0.088,0.072,0.840
44000,0.096,0.077,0.827
44500,0.098,0.065,0.837
45000,0.094,0.051,0.855
45500,0.093,0.046,0.861
46000,0.095,0.047,0.858
46500,0.128,0.049,0.823
47000,0.123,0.035,0.842
47500,0.128,0.050,0.822
48000,0.114,0.068,0.818
48500,0.132,0.049,0.819
49000,0.106,0.061,0.833
49500,0.085,0.067,0.848
50000,0.084,0.066,0.850
50500,0.110,0.067,0.823
51000,0.117,0.074,0.809
51500,0.125,0.062,0.813
52000,0.106,0.052,0.842
52500,0.098,0.052,0.850
53000,0.092,0.041,0.867
53500,0.099,0.047,0.854
54000,0.102,0.060,0.838
54500,0.120,0.044,0.836
55000,0.109,0.038,0.853
55500,0.110,0.028,0.862
56000,0.115,0.042,0.843
56500,0.102,0.053,0.845
57000,0.086,0.050,0.864
57500,0.100,0.046,0.854
58000,0.110,0.051,0.839
58500,0.108,0.054,0.838
59000,0.106,0.060,0.834
59500,0.104,0.060,0.836
60000,0.104,0.055,0.841
60500,0.087,0.045,0.868
61000,0.105,0.034,0.861
61500,0.111,0.047,0.842
62000,0.093,0.055,0.852
62500,0.076,0.059,0.865
63000,0.086,0.060,0.854
63500,0.109,0.068,0.823
64000,0.095,0.060,0.845
64500,0.107,0.064,0.829
65000,0.085,0.038,0.877
65500,0.095,0.049,0.856
66000,0.082,0.059,0.859
66500,0.084,0.073,0.843
67000,0.088,0.073,0.839
67500,0.089,0.073,0.838
68000,0.096,0.058,0.846
68500,0.091,0.054,0.855
69000,0.105,0.046,0.849
69500,0.100,0.044,0.856
70000,0.100,0.046,0.854
70500,0.104,0.046,0.850
71000,0.090,0.049,0.861
71500,0.092,0.036,0.872
72000,0.099,0.024,0.877
72500,0.094,0.051,0.855
73000,0.114,0.039,0.847
73500,0.115,0.050,0.835
74000,0.111,0.047,0.842
74500,0.082,0.047,0.871
75000,0.090,0.060,0.850
75500,0.101,0.041,0.858
76000,0.105,0.049,0.846
76500,0.102,0.051,0.847
77000,0.101,0.064,0.835
