time,n_A+p,n_B,n_AB
500,0.030,0.888,0.082
1000,0.030,0.827,0.143
1500,0.031,0.718,0.251
2000,0.031,0.686,0.283
2500,0.030,0.626,0.344
3000,0.034,0.628,0.338
3500,0.035,0.716,0.249
4000,0.031,0.679,0.290
4500,0.032,0.617,0.351
5000,0.034,0.618,0.348
5500,0.032,0.585,0.383
6000,0.038,0.593,0.369
6500,0.037,0.533,0.430
7000,0.034,0.576,0.390
7500,0.034,0.561,0.405
8000,0.030,0.549,0.421
8500,0.038,0.513,0.449
9000,0.033,0.548,0.419
9500,0.035,0.547,0.418
10000,0.043,0.451,0.506
10500,0.035,0.525,0.440
11000,0.039,0.530,0.431
11500,0.034,0.588,0.378
12000,0.041,0.538,0.421
12500,0.034,0.516,0.450
13000,0.044,0.476,0.480
13500,0.047,0.449,0.504
14000,0.047,0.460,0.493
14500,0.049,0.442,0.509
15000,0.056,0.368,0.576
15500,0.077,0.347,0.576
16000,0.061,0.372,0.567
16500,0.053,0.410,0.537
17000,0.064,0.445,0.491
17500,0.046,0.467,0.487
18000,0.049,0.426,0.525
18500,0.046,0.446,0.508
19000,0.040,0.446,0.514
19500,0.036,0.486,0.478
20000,0.050,0.447,0.503
20500,0.036,0.393,0.571
21000,0.047,0.463,0.490
21500,0.038,0.491,0.471
22000,0.038,0.574,0.388
22500,0.044,0.544,0.412
23000,0.042,0.475,0.483
23500,0.046,0.477,0.477
24000,0.045,0.437,0.518
24500,0.038,0.477,0.485
25000,0.044,0.521,0.435
25500,0.048,0.447,0.505
26000,0.041,0.475,0.484
26500,0.040,0.517,0.443
27000,0.040,0.530,0.430
27500,0.035,0.575,0.390
28000,0.035,0.613,0.352
28500,0.036,0.555,0.409
29000,0.035,0.520,0.445
29500,0.040,0.505,0.455
30000,0.039,0.482,0.479
30500,0.041,0.475,0.484
31000,0.045,0.507,0.448
31500,0.035,0.498,0.467
32000,0.044,0.538,0.418
32500,0.041,0.527,0.432
33000,0.035,0.554,0.411
33500,0.036,0.588,0.376
34000,0.031,0.609,0.360
34500,0.035,0.557,0.408
35000,0.032,0.555,0.413
35500,0.038,0.463,0.499
36000,0.041,0.482,0.477
36500,0.047,0.446,0.507
37000,0.039,0.486,0.475
37500,0.036,0.435,0.529
38000,0.044,0.490,0.466
38500,0.051,0.394,0.555
39000,0.059,0.446,0.495
39500,0.041,0.550,0.409
40000,0.034,0.509,0.457
40500,0.041,0.524,0.435
41000,0.042,0.530,0.428
41500,0.033,0.600,0.367
42000,0.036,0.569,0.395
42500,0.041,0.518,0.441
43000,0.035,0.556,0.409
43500,0.037,0.532,0.431
44000,0.033,0.574,0.393
44500,0.032,0.582,0.386
45000,0.039,0.562,0.399
45500,0.038,0.530,0.432
46000,0.036,0.544,0.420
46500,0.036,0.533,0.431
47000,0.038,0.515,0.447
47500,0.045,0.501,0.454
48000,0.048,0.468,0.484
48500,0.049,0.447,0.504
49000,0.040,0.451,0.509
49500,0.040,0.451,0.509
50000,0.054,0.446,0.500
50500,0.057,0.428,0.515
51000,0.043,0.464,0.493
51500,0.040,0.454,0.506
52000,0.040,0.438,0.522
52500,0.032,0.497,0.471
53000,0.032,0.525,0.443
53500,0.036,0.542,0.422
54000,0.035,0.564,0.401
54500,0.033,0.577,0.390
55000,0.036,0.594,0.370
55500,0.032,0.598,0.370
56000,0.043,0.546,0.411
56500,0.045,0.522,0.433
57000,0.038,0.515,0.447
57500,0.042,0.571,0.387
58000,0.036,0.528,0.436
58500,0.034,0.555,0.411
59000,0.032,0.543,0.425
59500,0.041,0.489,0.470
60000,0.044,0.477,0.479
60500,0.040,0.526,0.434
61000,0.042,0.483,0.475
61500,0.039,0.499,0.462
62000,0.038,0.529,0.433
62500,0.041,0.532,0.427
63000,0.042,0.471,0.487
63500,0.036,0.436,0.528
64000,0.040,0.468,0.492
64500,0.041,0.527,0.432
65000,0.044,0.512,0.444
65500,0.040,0.498,0.462
66000,0.035,0.550,0.415
66500,0.039,0.497,0.464
67000,0.046,0.440,0.514
67500,0.038,0.542,0.420
68000,0.040,0.536,0.424
68500,0.035,0.630,0.335
69000,0.036,0.540,0.424
69500,0.037,0.533,0.430
70000,0.043,0.512,0.445
70500,0.035,0.559,0.406
71000,0.039,0.536,0.425
71500,0.041,0.574,0.385
72000,0.038,0.486,0.476
72500,0.032,0.522,0.446
73000,0.038,0.575,0.387
73500,0.035,0.529,0.436
74000,0.030,0.584,0.386
74500,0.038,0.517,0.445
75000,0.040,0.559,0.401
75500,0.035,0.567,0.398
76000,0.039,0.559,0.402
76500,0.038,0.575,0.387
77000,0.033,0.585,0.382
77500,0.043,0.490,0.467
78000,0.037,0.475,0.488
78500,0.036,0.602,0.362
79000,0.034,0.550,0.416
79500,0.030,0.576,0.394
80000,0.031,0.631,0.338
80500,0.032,0.572,0.396
81000,0.032,0.562,0.406
81500,0.032,0.555,0.413
82000,0.032,0.558,0.410
82500,0.036,0.511,0.453
83000,0.038,0.488,0.474
83500,0.044,0.554,0.402
84000,0.033,0.487,0.480
84500,0.038,0.551,0.411
85000,0.034,0.537,0.429
85500,0.033,0.523,0.444
86000,0.037,0.514,0.449
86500,0.042,0.585,0.373
87000,0.037,0.570,0.393
87500,0.049,0.512,0.439
88000,0.039,0.504,0.457
88500,0.031,0.529,0.440
89000,0.039,0.579,0.382
89500,0.034,0.595,0.371
90000,0.036,0.540,0.424
90500,0.039,0.573,0.388
91000,0.034,0.540,0.426
91500,0.036,0.591,0.373
92000,0.036,0.589,0.375
92500,0.043,0.537,0.420
93000,0.041,0.523,0.436
93500,0.037,0.515,0.448
94000,0.041,0.511,0.448
94500,0.039,0.517,0.444
95000,0.042,0.546,0.412
95500,0.037,0.574,0.389
96000,0.036,0.579,0.385
96500,0.039,0.521,0.440
97000,0.042,0.564,0.394
97500,0.033,0.606,0.361
98000,0.031,0.565,0.404
98500,0.036,0.563,0.401
99000,0.047,0.505,0.448
99500,0.045,0.467,0.488
100000,0.043,0.487,0.470
100500,0.031,0.484,0.485
101000,0.034,0.540,0.426
101500,0.039,0.571,0.390
102000,0.040,0.515,0.445
102500,0.040,0.574,0.386
103000,0.033,0.539,0.428
103500,0.031,0.652,0.317
104000,0.031,0.654,0.315
104500,0.036,0.563,0.401
105000,0.033,0.610,0.357
105500,0.036,0.589,0.375
106000,0.045,0.552,0.403
106500,0.040,0.600,0.360
107000,0.033,0.602,0.365
107500,0.031,0.588,0.381
108000,0.032,0.609,0.359
108500,0.032,0.562,0.406
109000,0.040,0.562,0.398
109500,0.042,0.511,0.447
110000,0.038,0.554,0.408
110500,0.047,0.543,0.410
111000,0.038,0.548,0.414
111500,0.039,0.527,0.434
112000,0.043,0.493,0.464
112500,0.044,0.441,0.515
113000,0.052,0.420,0.528
113500,0.048,0.392,0.560
114000,0.048,0.448,0.504
114500,0.050,0.458,0.492
115000,0.042,0.466,0.492
115500,0.034,0.544,0.422
116000,0.036,0.569,0.395
116500,0.037,0.578,0.385
117000,0.033,0.682,0.285
117500,0.033,0.684,0.283
118000,0.031,0.715,0.254
118500,0.035,0.627,0.338
119000,0.035,0.640,0.325
119500,0.030,0.557,0.413
120000,0.035,0.607,0.358
120500,0.034,0.626,0.340
121000,0.037,0.617,0.346
121500,0.035,0.589,0.376
122000,0.030,0.564,0.406
122500,0.033,0.620,0.347
123000,0.031,0.556,0.413
123500,0.035,0.591,0.374
124000,0.034,0.607,0.359
124500,0.034,0.589,0.377
125000,0.032,0.642,0.326
125500,0.031,0.591,0.378
126000,0.032,0.565,0.403
126500,0.033,0.556,0.411
127000,0.035,0.509,0.456
127500,0.044,0.489,0.467
128000,0.048,0.456,0.496
128500,0.042,0.493,0.465
129000,0.045,0.400,0.555
129500,0.053,0.370,0.577
130000,0.053,0.405,0.542
130500,0.061,0.390,0.549
131000,0.043,0.475,0.482
131500,0.041,0.492,0.467
132000,0.038,0.504,0.458
132500,0.036,0.532,0.432
133000,0.035,0.536,0.429
133500,0.038,0.537,0.425
134000,0.033,0.519,0.448
134500,0.040,0.448,0.512
135000,0.042,0.578,0.380
135500,0.039,0.503,0.458
136000,0.046,0.523,0.431
136500,0.036,0.555,0.409
137000,0.039,0.540,0.421
137500,0.036,0.512,0.452
138000,0.034,0.539,0.427
138500,0.043,0.559,0.398
139000,0.036,0.524,0.440
139500,0.037,0.513,0.450
140000,0.035,0.520,0.445
140500,0.033,0.581,0.386
141000,0.034,0.513,0.453
141500,0.035,0.631,0.334
142000,0.035,0.551,0.414
142500,0.032,0.577,0.391
143000,0.035,0.535,0.430
143500,0.033,0.543,0.424
144000,0.033,0.588,0.379
144500,0.040,0.516,0.444
145000,0.043,0.553,0.404
145500,0.038,0.576,0.386
146000,0.036,0.505,0.459
146500,0.036,0.567,0.397
147000,0.036,0.546,0.418
147500,0.037,0.566,0.397
148000,0.042,0.508,0.450
148500,0.043,0.411,0.546
149000,0.037,0.473,0.490
149500,0.038,0.452,0.510
150000,0.043,0.466,0.491
150500,0.039,0.485,0.476
151000,0.039,0.491,0.470
151500,0.041,0.474,0.485
152000,0.045,0.485,0.470
152500,0.038,0.545,0.417
153000,0.034,0.532,0.434
153500,0.039,0.570,0.391
154000,0.037,0.576,0.387
154500,0.034,0.589,0.377
155000,0.041,0.525,0.434
155500,0.038,0.560,0.402
156000,0.036,0.522,0.442
156500,0.034,0.583,0.383
157000,0.036,0.535,0.429
157500,0.044,0.507,0.449
158000,0.038,0.491,0.471
158500,0.039,0.504,0.457
159000,0.046,0.496,0.458
159500,0.032,0.593,0.375
160000,0.035,0.571,0.394
160500,0.033,0.569,0.398
161000,0.035,0.537,0.428
161500,0.046,0.514,0.440
162000,0.041,0.466,0.493
162500,0.055,0.456,0.489
163000,0.051,0.455,0.494
163500,0.057,0.370,0.573
164000,0.070,0.380,0.550
164500,0.051,0.409,0.540
165000,0.050,0.403,0.547
165500,0.057,0.386,0.557
166000,0.038,0.515,0.447
166500,0.043,0.540,0.417
167000,0.037,0.523,0.440
167500,0.032,0.539,0.429
168000,0.036,0.472,0.492
168500,0.044,0.492,0.464
169000,0.040,0.508,0.452
169500,0.039,0.512,0.449
