time,n_A+p,n_B,n_AB
100,0.250,0.380,0.370
200,0.196,0.391,0.413
300,0.120,0.391,0.489
400,0.098,0.359,0.543
500,0.141,0.457,0.402
600,0.087,0.413,0.500
700,0.054,0.478,0.467
800,0.087,0.543,0.370
900,0.141,0.576,0.283
1000,0.130,0.478,0.391
1100,0.109,0.522,0.370
1200,0.141,0.478,0.380
1300,0.076,0.435,0.489
1400,0.076,0.413,0.511
1500,0.065,0.435,0.500
1600,0.087,0.522,0.391
1700,0.043,0.478,0.478
1800,0.033,0.489,0.478
1900,0.109,0.457,0.435
2000,0.098,0.391,0.511
2100,0.163,0.348,0.489
2200,0.120,0.435,0.446
2300,0.120,0.489,0.391
2400,0.120,0.511,0.370
2500,0.087,0.457,0.457
2600,0.109,0.359,0.533
2700,0.141,0.359,0.500
2800,0.141,0.272,0.587
2900,0.087,0.337,0.576
3000,0.109,0.261,0.630
3100,0.174,0.337,0.489
3200,0.152,0.337,0.511
3300,0.163,0.337,0.500
3400,0.239,0.304,0.457
3500,0.185,0.228,0.587
3600,0.185,0.337,0.478
3700,0.250,0.272,0.478
3800,0.185,0.359,0.457
3900,0.174,0.402,0.424
4000,0.120,0.413,0.467
4100,0.109,0.424,0.467
4200,0.098,0.315,0.587
4300,0.152,0.304,0.543
4400,0.152,0.359,0.489
4500,0.152,0.380,0.467
4600,0.174,0.326,0.500
4700,0.109,0.337,0.554
4800,0.130,0.272,0.598
4900,0.163,0.315,0.522
5000,0.228,0.250,0.522
5100,0.174,0.217,0.609
5200,0.163,0.185,0.652
5300,0.185,0.217,0.598
5400,0.152,0.283,0.565
5500,0.185,0.304,0.511
5600,0.120,0.337,0.543
5700,0.087,0.370,0.543
5800,0.130,0.315,0.554
5900,0.109,0.293,0.598
6000,0.152,0.337,0.511
6100,0.130,0.370,0.500
6200,0.076,0.522,0.402
6300,0.043,0.533,0.424
6400,0.098,0.522,0.380
6500,0.109,0.478,0.413
6600,0.065,0.598,0.337
6700,0.065,0.576,0.359
6800,0.065,0.609,0.326
6900,0.065,0.576,0.359
7000,0.043,0.554,0.402
7100,0.054,0.587,0.359
7200,0.043,0.533,0.424
7300,0.054,0.424,0.522
7400,0.087,0.489,0.424
7500,0.043,0.533,0.424
7600,0.043,0.500,0.457
7700,0.033,0.511,0.457
7800,0.120,0.489,0.391
7900,0.076,0.478,0.446
8000,0.087,0.457,0.457
8100,0.087,0.337,0.576
8200,0.130,0.326,0.543
8300,0.141,0.326,0.533
8400,0.120,0.304,0.576
8500,0.228,0.326,0.446
8600,0.163,0.261,0.576
8700,0.120,0.293,0.587
8800,0.120,0.348,0.533
8900,0.152,0.348,0.500
9000,0.152,0.402,0.446
9100,0.109,0.478,0.413
9200,0.109,0.435,0.457
9300,0.054,0.424,0.522
9400,0.033,0.467,0.500
9500,0.043,0.435,0.522
9600,0.087,0.424,0.489
9700,0.120,0.380,0.500
9800,0.076,0.489,0.435
9900,0.043,0.489,0.467
10000,0.065,0.478,0.457
10100,0.087,0.467,0.446
10200,0.120,0.424,0.457
10300,0.109,0.326,0.565
10400,0.087,0.402,0.511
10500,0.163,0.380,0.457
10600,0.141,0.370,0.489
10700,0.109,0.304,0.587
10800,0.109,0.326,0.565
10900,0.120,0.359,0.522
11000,0.076,0.359,0.565
11100,0.076,0.446,0.478
11200,0.065,0.533,0.402
11300,0.076,0.609,0.315
11400,0.076,0.565,0.359
11500,0.120,0.620,0.261
11600,0.087,0.554,0.359
11700,0.120,0.435,0.446
11800,0.152,0.402,0.446
11900,0.130,0.380,0.489
12000,0.152,0.359,0.489
12100,0.130,0.402,0.467
12200,0.130,0.380,0.489
12300,0.130,0.424,0.446
12400,0.098,0.446,0.457
12500,0.130,0.380,0.489
12600,0.076,0.370,0.554
