time,n_A+p,n_B,n_AB
100,0.391,0.413,0.196
200,0.359,0.435,0.207
300,0.315,0.500,0.185
400,0.326,0.500,0.174
500,0.359,0.457,0.185
600,0.370,0.457,0.174
700,0.304,0.478,0.217
800,0.315,0.457,0.228
900,0.283,0.478,0.239
1000,0.283,0.522,0.196
1100,0.304,0.533,0.163
1200,0.250,0.576,0.174
1300,0.196,0.598,0.207
1400,0.185,0.565,0.250
1500,0.174,0.674,0.152
1600,0.087,0.783,0.130
1700,0.098,0.837,0.065
1800,0.043,0.870,0.087
1900,0.033,0.870,0.098
2000,0.033,0.924,0.043
2100,0.022,0.935,0.043
2200,0.011,0.957,0.033
2300,0.000,0.989,0.011
2400,0.000,0.989,0.011
2500,0.000,0.989,0.011
2600,0.000,1.000,0.000
