time,n_A+p,n_B,n_AB
100,0.028,0.968,0.005
200,0.028,0.968,0.005
300,0.028,0.963,0.009
400,0.028,0.954,0.018
500,0.028,0.935,0.037
600,0.028,0.922,0.051
700,0.032,0.926,0.041
800,0.041,0.917,0.041
900,0.032,0.926,0.041
1000,0.037,0.926,0.037
1100,0.032,0.940,0.028
1200,0.028,0.945,0.028
1300,0.032,0.949,0.018
1400,0.028,0.931,0.041
1500,0.028,0.940,0.032
1600,0.028,0.922,0.051
1700,0.028,0.935,0.037
1800,0.028,0.935,0.037
1900,0.037,0.931,0.032
2000,0.032,0.945,0.023
2100,0.032,0.935,0.032
2200,0.032,0.922,0.046
2300,0.037,0.922,0.041
2400,0.032,0.926,0.041
2500,0.037,0.917,0.046
2600,0.032,0.931,0.037
2700,0.032,0.940,0.028
2800,0.032,0.945,0.023
2900,0.032,0.949,0.018
3000,0.028,0.935,0.037
3100,0.028,0.926,0.046
3200,0.028,0.922,0.051
3300,0.028,0.926,0.046
3400,0.028,0.945,0.028
3500,0.028,0.940,0.032
3600,0.028,0.940,0.032
3700,0.028,0.945,0.028
3800,0.028,0.959,0.014
3900,0.028,0.949,0.023
4000,0.028,0.945,0.028
4100,0.032,0.945,0.023
4200,0.032,0.949,0.018
4300,0.028,0.935,0.037
4400,0.028,0.931,0.041
4500,0.028,0.922,0.051
4600,0.037,0.935,0.028
4700,0.028,0.935,0.037
4800,0.028,0.959,0.014
4900,0.028,0.963,0.009
5000,0.028,0.968,0.005
5100,0.028,0.949,0.023
5200,0.028,0.959,0.014
5300,0.028,0.963,0.009
5400,0.028,0.968,0.005
5500,0.028,0.972,0.000
5600,0.028,0.954,0.018
5700,0.028,0.931,0.041
5800,0.028,0.949,0.023
5900,0.028,0.954,0.018
6000,0.028,0.954,0.018
6100,0.028,0.968,0.005
6200,0.028,0.954,0.018
6300,0.028,0.959,0.014
6400,0.028,0.963,0.009
6500,0.028,0.963,0.009
6600,0.028,0.959,0.014
6700,0.028,0.945,0.028
6800,0.028,0.945,0.028
6900,0.028,0.922,0.051
7000,0.028,0.949,0.023
7100,0.028,0.959,0.014
7200,0.028,0.954,0.018
7300,0.028,0.940,0.032
7400,0.028,0.917,0.055
7500,0.032,0.908,0.060
7600,0.037,0.908,0.055
7700,0.051,0.899,0.051
7800,0.037,0.912,0.051
7900,0.037,0.940,0.023
8000,0.032,0.959,0.009
8100,0.032,0.959,0.009
8200,0.032,0.940,0.028
8300,0.028,0.931,0.041
8400,0.028,0.935,0.037
8500,0.028,0.926,0.046
8600,0.028,0.954,0.018
8700,0.028,0.959,0.014
8800,0.028,0.963,0.009
