time,n_A+p,n_B,n_AB
100,0.415,0.465,0.120
200,0.387,0.419,0.194
300,0.359,0.401,0.240
400,0.387,0.392,0.221
500,0.401,0.327,0.272
600,0.415,0.327,0.258
700,0.461,0.281,0.258
800,0.475,0.290,0.235
900,0.475,0.258,0.267
1000,0.562,0.217,0.221
1100,0.493,0.217,0.290
1200,0.516,0.194,0.290
1300,0.544,0.171,0.286
1400,0.618,0.184,0.198
1500,0.627,0.166,0.207
1600,0.668,0.115,0.217
1700,0.664,0.097,0.240
1800,0.687,0.083,0.230
1900,0.696,0.083,0.221
2000,0.737,0.074,0.189
2100,0.756,0.055,0.189
2200,0.783,0.046,0.171
2300,0.802,0.037,0.161
2400,0.820,0.023,0.157
2500,0.834,0.028,0.138
2600,0.839,0.041,0.120
2700,0.829,0.037,0.134
2800,0.825,0.037,0.138
2900,0.839,0.051,0.111
3000,0.834,0.032,0.134
3100,0.820,0.041,0.138
3200,0.820,0.037,0.143
3300,0.857,0.028,0.115
3400,0.839,0.046,0.115
3500,0.862,0.037,0.101
3600,0.862,0.032,0.106
3700,0.871,0.028,0.101
3800,0.885,0.023,0.092
3900,0.917,0.009,0.074
4000,0.922,0.005,0.074
4100,0.931,0.014,0.055
4200,0.945,0.009,0.046
4300,0.959,0.005,0.037
4400,0.954,0.005,0.041
4500,0.949,0.005,0.046
4600,0.954,0.005,0.041
4700,0.949,0.005,0.046
4800,0.954,0.000,0.046
4900,0.963,0.000,0.037
5000,0.977,0.000,0.023
5100,0.982,0.000,0.018
5200,0.982,0.009,0.009
5300,0.986,0.005,0.009
5400,0.982,0.005,0.014
5500,0.986,0.000,0.014
5600,0.986,0.000,0.014
5700,0.986,0.000,0.014
5800,0.986,0.000,0.014
5900,0.991,0.000,0.009
6000,0.991,0.000,0.009
6100,0.991,0.000,0.009
6200,0.991,0.000,0.009
6300,0.991,0.000,0.009
6400,0.991,0.000,0.009
6500,0.991,0.000,0.009
6600,0.991,0.000,0.009
6700,0.991,0.000,0.009
6800,0.991,0.000,0.009
6900,0.991,0.000,0.009
7000,0.991,0.000,0.009
7100,0.991,0.000,0.009
7200,0.991,0.000,0.009
7300,0.991,0.000,0.009
7400,0.991,0.000,0.009
7500,0.991,0.000,0.009
7600,0.991,0.000,0.009
7700,0.991,0.000,0.009
7800,0.991,0.000,0.009
7900,0.991,0.000,0.009
8000,0.991,0.000,0.009
8100,0.991,0.000,0.009
8200,0.991,0.000,0.009
8300,0.991,0.000,0.009
8400,0.991,0.000,0.009
8500,0.991,0.000,0.009
8600,0.991,0.000,0.009
8700,0.991,0.000,0.009
8800,0.991,0.000,0.009
8900,0.991,0.000,0.009
9000,0.991,0.000,0.009
9100,0.995,0.000,0.005
9200,0.995,0.000,0.005
9300,0.995,0.000,0.005
9400,0.995,0.000,0.005
9500,0.995,0.000,0.005
9600,0.995,0.000,0.005
9700,0.995,0.000,0.005
9800,0.995,0.000,0.005
9900,0.995,0.000,0.005
10000,0.995,0.000,0.005
10100,0.995,0.000,0.005
10200,0.995,0.000,0.005
10300,0.995,0.000,0.005
10400,0.995,0.000,0.005
10500,0.995,0.000,0.005
10600,0.995,0.000,0.005
10700,0.995,0.000,0.005
10800,0.995,0.000,0.005
10900,0.995,0.000,0.005
11000,1.000,0.000,0.000
