time,n_A+p,n_B,n_AB
100,0.263,0.500,0.237
200,0.382,0.368,0.250
300,0.197,0.421,0.382
400,0.171,0.382,0.447
500,0.197,0.513,0.289
600,0.132,0.487,0.382
700,0.184,0.474,0.342
800,0.197,0.382,0.421
900,0.276,0.395,0.329
1000,0.171,0.395,0.434
1100,0.237,0.303,0.461
1200,0.250,0.408,0.342
1300,0.276,0.303,0.421
1400,0.434,0.158,0.408
1500,0.500,0.105,0.395
1600,0.592,0.132,0.276
1700,0.539,0.079,0.382
1800,0.645,0.092,0.263
1900,0.671,0.118,0.211
2000,0.803,0.079,0.118
2100,0.816,0.013,0.171
2200,0.882,0.000,0.118
2300,0.921,0.000,0.079
2400,0.947,0.000,0.053
2500,0.961,0.000,0.039
2600,0.961,0.000,0.039
2700,0.961,0.000,0.039
2800,0.974,0.000,0.026
2900,0.974,0.000,0.026
3000,0.987,0.000,0.013
3100,1.000,0.000,0.000
