time,n_A+p,n_B,n_AB
100,0.395,0.368,0.237
200,0.474,0.250,0.276
300,0.513,0.211,0.276
400,0.632,0.145,0.224
500,0.645,0.158,0.197
600,0.711,0.092,0.197
700,0.803,0.053,0.145
800,0.842,0.053,0.105
900,0.882,0.066,0.053
1000,0.908,0.066,0.026
1100,0.895,0.053,0.053
1200,0.895,0.013,0.092
1300,0.961,0.013,0.026
1400,0.974,0.013,0.013
1500,0.974,0.013,0.013
1600,0.961,0.000,0.039
1700,0.961,0.000,0.039
1800,0.961,0.000,0.039
1900,0.974,0.000,0.026
2000,0.987,0.000,0.013
2100,0.987,0.000,0.013
2200,1.000,0.000,0.000
