time,n_A+p,n_B,n_AB
100,0.026,0.868,0.105
200,0.145,0.645,0.211
300,0.289,0.355,0.355
400,0.355,0.329,0.316
500,0.539,0.171,0.289
600,0.592,0.105,0.303
700,0.697,0.066,0.237
800,0.750,0.053,0.197
900,0.684,0.066,0.250
1000,0.750,0.039,0.211
1100,0.671,0.092,0.237
1200,0.711,0.053,0.237
1300,0.882,0.026,0.092
1400,0.868,0.026,0.105
1500,0.829,0.013,0.158
1600,0.829,0.013,0.158
1700,0.882,0.013,0.105
1800,0.895,0.013,0.092
1900,0.908,0.026,0.066
2000,0.921,0.013,0.066
2100,0.934,0.013,0.053
2200,0.842,0.000,0.158
2300,0.763,0.053,0.184
2400,0.618,0.066,0.316
2500,0.724,0.013,0.263
2600,0.789,0.105,0.105
2700,0.829,0.053,0.118
2800,0.855,0.013,0.132
2900,0.803,0.000,0.197
3000,0.895,0.000,0.105
3100,0.921,0.000,0.079
3200,0.934,0.000,0.066
3300,0.882,0.000,0.118
3400,0.934,0.000,0.066
3500,0.934,0.000,0.066
3600,0.829,0.000,0.171
3700,0.776,0.053,0.171
3800,0.776,0.026,0.197
3900,0.750,0.026,0.224
4000,0.697,0.053,0.250
4100,0.684,0.053,0.263
4200,0.789,0.013,0.197
4300,0.671,0.000,0.329
4400,0.724,0.026,0.250
4500,0.776,0.013,0.211
4600,0.882,0.013,0.105
4700,0.934,0.013,0.053
4800,0.868,0.000,0.132
4900,0.842,0.000,0.158
5000,0.789,0.079,0.132
5100,0.842,0.026,0.132
5200,0.908,0.000,0.092
5300,0.789,0.066,0.145
5400,0.421,0.224,0.355
5500,0.461,0.197,0.342
5600,0.303,0.382,0.316
5700,0.237,0.421,0.342
5800,0.276,0.382,0.342
5900,0.224,0.355,0.421
6000,0.211,0.395,0.395
6100,0.211,0.434,0.355
6200,0.118,0.513,0.368
6300,0.171,0.513,0.316
6400,0.171,0.539,0.289
6500,0.289,0.329,0.382
6600,0.316,0.276,0.408
6700,0.408,0.224,0.368
6800,0.500,0.118,0.382
6900,0.553,0.105,0.342
7000,0.658,0.145,0.197
7100,0.724,0.039,0.237
7200,0.724,0.013,0.263
7300,0.724,0.039,0.237
7400,0.789,0.000,0.211
7500,0.829,0.000,0.171
7600,0.776,0.000,0.224
7700,0.882,0.000,0.118
7800,0.868,0.026,0.105
7900,0.855,0.000,0.145
8000,0.908,0.000,0.092
8100,0.921,0.000,0.079
8200,0.961,0.000,0.039
8300,0.974,0.000,0.026
8400,0.974,0.000,0.026
8500,0.974,0.000,0.026
8600,0.974,0.000,0.026
8700,0.987,0.000,0.013
8800,0.987,0.000,0.013
8900,0.987,0.000,0.013
9000,0.974,0.000,0.026
9100,0.921,0.000,0.079
9200,0.895,0.000,0.105
9300,0.829,0.000,0.171
9400,0.895,0.026,0.079
9500,0.816,0.026,0.158
9600,0.842,0.013,0.145
9700,0.737,0.026,0.237
9800,0.868,0.039,0.092
9900,0.947,0.013,0.039
10000,0.961,0.013,0.026
10100,0.961,0.013,0.026
10200,0.908,0.000,0.092
10300,0.974,0.000,0.026
10400,0.961,0.000,0.039
10500,0.974,0.000,0.026
10600,0.974,0.000,0.026
10700,0.974,0.000,0.026
10800,0.987,0.000,0.013
10900,0.987,0.000,0.013
11000,0.987,0.000,0.013
11100,0.987,0.000,0.013
11200,0.974,0.000,0.026
11300,0.974,0.000,0.026
11400,0.987,0.000,0.013
11500,1.000,0.000,0.000
