time,n_A+p,n_B,n_AB
100,0.289,0.421,0.289
200,0.263,0.342,0.395
300,0.237,0.224,0.539
400,0.224,0.250,0.526
500,0.118,0.303,0.579
600,0.132,0.303,0.566
700,0.329,0.197,0.474
800,0.434,0.118,0.447
900,0.395,0.118,0.487
1000,0.421,0.171,0.408
1100,0.303,0.263,0.434
1200,0.289,0.263,0.447
1300,0.276,0.132,0.592
1400,0.224,0.237,0.539
1500,0.237,0.316,0.447
1600,0.184,0.316,0.500
1700,0.224,0.263,0.513
1800,0.382,0.132,0.487
1900,0.276,0.224,0.500
2000,0.224,0.237,0.539
2100,0.184,0.289,0.526
2200,0.211,0.211,0.579
2300,0.132,0.276,0.592
2400,0.118,0.224,0.658
2500,0.132,0.263,0.605
2600,0.237,0.250,0.513
2700,0.197,0.171,0.632
2800,0.303,0.132,0.566
2900,0.197,0.224,0.579
3000,0.224,0.237,0.539
3100,0.250,0.224,0.526
3200,0.368,0.184,0.447
3300,0.263,0.224,0.513
3400,0.224,0.211,0.566
3500,0.263,0.184,0.553
3600,0.211,0.263,0.526
3700,0.382,0.171,0.447
3800,0.368,0.184,0.447
3900,0.474,0.171,0.355
4000,0.421,0.211,0.368
4100,0.276,0.224,0.500
4200,0.132,0.434,0.434
4300,0.145,0.368,0.487
4400,0.132,0.355,0.513
4500,0.250,0.368,0.382
4600,0.184,0.316,0.500
4700,0.118,0.395,0.487
4800,0.158,0.434,0.408
4900,0.197,0.421,0.382
5000,0.171,0.368,0.461
5100,0.118,0.513,0.368
5200,0.066,0.645,0.289
5300,0.039,0.632,0.329
5400,0.039,0.605,0.355
5500,0.066,0.618,0.316
5600,0.105,0.592,0.303
5700,0.118,0.500,0.382
5800,0.105,0.434,0.461
5900,0.092,0.487,0.421
6000,0.079,0.500,0.421
6100,0.026,0.592,0.382
6200,0.026,0.632,0.342
6300,0.039,0.539,0.421
6400,0.132,0.539,0.329
6500,0.118,0.382,0.500
6600,0.171,0.382,0.447
6700,0.026,0.487,0.487
6800,0.105,0.408,0.487
6900,0.092,0.421,0.487
7000,0.092,0.474,0.434
7100,0.276,0.289,0.434
7200,0.342,0.184,0.474
7300,0.289,0.211,0.500
7400,0.145,0.382,0.474
7500,0.079,0.553,0.368
7600,0.079,0.539,0.382
7700,0.066,0.553,0.382
7800,0.145,0.513,0.342
7900,0.066,0.566,0.368
8000,0.053,0.513,0.434
8100,0.066,0.355,0.579
8200,0.211,0.355,0.434
8300,0.184,0.382,0.434
8400,0.066,0.355,0.579
8500,0.132,0.421,0.447
8600,0.118,0.368,0.513
8700,0.118,0.316,0.566
8800,0.105,0.368,0.526
8900,0.197,0.289,0.513
9000,0.145,0.368,0.487
9100,0.145,0.474,0.382
9200,0.105,0.474,0.421
9300,0.105,0.487,0.408
9400,0.066,0.487,0.447
9500,0.092,0.382,0.526
9600,0.066,0.316,0.618
9700,0.158,0.303,0.539
9800,0.224,0.237,0.539
9900,0.224,0.263,0.513
10000,0.276,0.263,0.461
10100,0.342,0.250,0.408
10200,0.303,0.276,0.421
10300,0.250,0.355,0.395
10400,0.224,0.289,0.487
10500,0.171,0.395,0.434
10600,0.224,0.132,0.645
10700,0.250,0.211,0.539
10800,0.421,0.145,0.434
10900,0.487,0.158,0.355
11000,0.395,0.118,0.487
11100,0.566,0.066,0.368
11200,0.592,0.079,0.329
11300,0.434,0.211,0.355
11400,0.592,0.105,0.303
11500,0.461,0.105,0.434
11600,0.592,0.092,0.316
11700,0.355,0.184,0.461
11800,0.434,0.158,0.408
11900,0.289,0.145,0.566
12000,0.250,0.197,0.553
12100,0.224,0.197,0.579
12200,0.132,0.171,0.697
12300,0.250,0.132,0.618
12400,0.197,0.303,0.500
12500,0.184,0.408,0.408
12600,0.158,0.421,0.421
12700,0.184,0.395,0.421
12800,0.158,0.316,0.526
12900,0.289,0.211,0.500
13000,0.408,0.158,0.434
13100,0.434,0.158,0.408
13200,0.276,0.289,0.434
13300,0.263,0.250,0.487
13400,0.158,0.224,0.618
13500,0.276,0.289,0.434
13600,0.224,0.355,0.421
13700,0.289,0.276,0.434
13800,0.342,0.250,0.408
13900,0.289,0.145,0.566
14000,0.329,0.145,0.526
14100,0.355,0.066,0.579
14200,0.263,0.263,0.474
14300,0.250,0.316,0.434
14400,0.237,0.316,0.447
14500,0.145,0.408,0.447
14600,0.237,0.197,0.566
14700,0.132,0.395,0.474
14800,0.132,0.329,0.539
14900,0.224,0.289,0.487
15000,0.211,0.250,0.539
15100,0.224,0.250,0.526
15200,0.250,0.145,0.605
15300,0.316,0.171,0.513
15400,0.434,0.132,0.434
15500,0.487,0.079,0.434
15600,0.697,0.079,0.224
15700,0.645,0.132,0.224
15800,0.605,0.118,0.276
15900,0.579,0.026,0.395
16000,0.684,0.066,0.250
16100,0.658,0.013,0.329
16200,0.658,0.013,0.329
16300,0.566,0.013,0.421
16400,0.618,0.066,0.316
16500,0.658,0.066,0.276
16600,0.684,0.039,0.276
16700,0.592,0.013,0.395
16800,0.645,0.039,0.316
16900,0.526,0.132,0.342
17000,0.434,0.184,0.382
17100,0.355,0.079,0.566
17200,0.303,0.158,0.539
17300,0.289,0.329,0.382
17400,0.211,0.342,0.447
17500,0.197,0.289,0.513
17600,0.184,0.342,0.474
17700,0.250,0.276,0.474
17800,0.303,0.237,0.461
17900,0.197,0.250,0.553
18000,0.303,0.263,0.434
18100,0.316,0.382,0.303
18200,0.158,0.421,0.421
18300,0.092,0.553,0.355
18400,0.171,0.421,0.408
18500,0.184,0.329,0.487
18600,0.145,0.395,0.461
18700,0.158,0.553,0.289
18800,0.092,0.513,0.395
18900,0.105,0.474,0.421
19000,0.118,0.474,0.408
19100,0.237,0.368,0.395
19200,0.158,0.395,0.447
19300,0.368,0.263,0.368
19400,0.263,0.211,0.526
19500,0.303,0.250,0.447
19600,0.289,0.158,0.553
19700,0.211,0.263,0.526
19800,0.342,0.250,0.408
19900,0.184,0.289,0.526
20000,0.289,0.237,0.474
20100,0.250,0.276,0.474
20200,0.132,0.355,0.513
20300,0.197,0.342,0.461
20400,0.171,0.303,0.526
20500,0.145,0.434,0.421
20600,0.171,0.447,0.382
20700,0.079,0.434,0.487
20800,0.079,0.553,0.368
20900,0.039,0.632,0.329
21000,0.039,0.658,0.303
21100,0.039,0.579,0.382
21200,0.039,0.592,0.368
21300,0.053,0.526,0.421
21400,0.118,0.461,0.421
21500,0.197,0.513,0.289
21600,0.118,0.513,0.368
21700,0.066,0.684,0.250
21800,0.145,0.500,0.355
21900,0.145,0.408,0.447
22000,0.171,0.421,0.408
22100,0.132,0.368,0.500
22200,0.092,0.434,0.474
22300,0.092,0.618,0.289
22400,0.053,0.539,0.408
22500,0.118,0.329,0.553
22600,0.276,0.276,0.447
22700,0.329,0.211,0.461
22800,0.408,0.211,0.382
22900,0.342,0.171,0.487
23000,0.447,0.105,0.447
23100,0.342,0.145,0.513
23200,0.368,0.171,0.461
23300,0.289,0.342,0.368
23400,0.211,0.355,0.434
23500,0.237,0.263,0.500
23600,0.158,0.342,0.500
23700,0.197,0.303,0.500
23800,0.303,0.211,0.487
23900,0.421,0.079,0.500
24000,0.526,0.105,0.368
24100,0.382,0.092,0.526
24200,0.303,0.132,0.566
24300,0.316,0.276,0.408
24400,0.224,0.487,0.289
24500,0.132,0.395,0.474
24600,0.118,0.342,0.539
24700,0.158,0.303,0.539
24800,0.303,0.171,0.526
24900,0.237,0.276,0.487
25000,0.224,0.329,0.447
25100,0.171,0.303,0.526
25200,0.197,0.329,0.474
25300,0.224,0.276,0.500
25400,0.289,0.184,0.526
25500,0.211,0.289,0.500
25600,0.289,0.263,0.447
25700,0.342,0.303,0.355
25800,0.250,0.289,0.461
25900,0.250,0.237,0.513
26000,0.237,0.250,0.513
26100,0.171,0.263,0.566
26200,0.276,0.316,0.408
26300,0.368,0.211,0.421
26400,0.474,0.066,0.461
26500,0.487,0.039,0.474
