time,n_A+p,n_B,n_AB
100,0.331,0.409,0.260
200,0.285,0.318,0.397
300,0.248,0.285,0.467
400,0.277,0.240,0.483
500,0.202,0.236,0.562
600,0.157,0.207,0.636
700,0.169,0.190,0.640
800,0.140,0.190,0.669
900,0.165,0.194,0.640
1000,0.136,0.153,0.711
1100,0.120,0.157,0.723
1200,0.145,0.190,0.665
1300,0.136,0.149,0.715
1400,0.157,0.128,0.715
1500,0.149,0.140,0.711
1600,0.190,0.116,0.694
1700,0.149,0.128,0.723
1800,0.099,0.182,0.719
1900,0.091,0.202,0.707
2000,0.107,0.182,0.711
2100,0.099,0.178,0.723
2200,0.091,0.194,0.715
2300,0.116,0.178,0.707
2400,0.124,0.211,0.665
2500,0.087,0.231,0.682
2600,0.103,0.202,0.694
2700,0.087,0.194,0.719
2800,0.074,0.186,0.740
2900,0.107,0.145,0.748
3000,0.128,0.169,0.702
3100,0.099,0.186,0.715
3200,0.157,0.190,0.653
3300,0.165,0.178,0.657
3400,0.161,0.169,0.669
3500,0.149,0.157,0.694
3600,0.190,0.153,0.657
3700,0.157,0.157,0.686
3800,0.132,0.145,0.723
3900,0.165,0.107,0.727
4000,0.182,0.103,0.715
4100,0.190,0.107,0.702
4200,0.202,0.112,0.686
4300,0.178,0.099,0.723
4400,0.174,0.087,0.740
4500,0.169,0.074,0.756
4600,0.169,0.095,0.736
4700,0.169,0.091,0.740
4800,0.165,0.079,0.756
4900,0.178,0.079,0.744
5000,0.207,0.116,0.678
5100,0.169,0.120,0.711
5200,0.174,0.132,0.694
5300,0.140,0.107,0.752
5400,0.107,0.132,0.760
5500,0.091,0.165,0.744
5600,0.120,0.145,0.736
5700,0.120,0.174,0.707
5800,0.083,0.161,0.756
5900,0.112,0.169,0.719
6000,0.083,0.169,0.748
6100,0.116,0.140,0.744
6200,0.107,0.186,0.707
6300,0.091,0.161,0.748
6400,0.087,0.174,0.740
6500,0.112,0.178,0.711
6600,0.120,0.178,0.702
6700,0.145,0.198,0.657
6800,0.161,0.186,0.653
6900,0.157,0.178,0.665
7000,0.161,0.190,0.649
7100,0.174,0.149,0.678
7200,0.145,0.153,0.702
7300,0.153,0.128,0.719
7400,0.145,0.145,0.711
7500,0.136,0.140,0.723
7600,0.128,0.132,0.740
7700,0.140,0.120,0.740
7800,0.169,0.103,0.727
7900,0.165,0.112,0.723
8000,0.145,0.140,0.715
8100,0.128,0.178,0.694
8200,0.099,0.149,0.752
8300,0.091,0.194,0.715
8400,0.112,0.190,0.698
8500,0.116,0.207,0.678
