time,n_A+p,n_B,n_AB
100,0.252,0.426,0.322
200,0.236,0.380,0.384
300,0.198,0.355,0.446
400,0.227,0.351,0.421
500,0.194,0.318,0.488
600,0.182,0.339,0.479
700,0.165,0.339,0.496
800,0.149,0.360,0.492
900,0.136,0.417,0.446
1000,0.091,0.393,0.517
1100,0.054,0.430,0.517
1200,0.041,0.479,0.479
1300,0.050,0.488,0.463
1400,0.054,0.521,0.426
1500,0.050,0.529,0.421
1600,0.033,0.541,0.426
1700,0.037,0.483,0.479
1800,0.025,0.483,0.492
1900,0.021,0.483,0.496
2000,0.029,0.479,0.492
2100,0.021,0.517,0.463
2200,0.017,0.488,0.496
2300,0.037,0.508,0.455
2400,0.041,0.446,0.512
2500,0.041,0.417,0.541
2600,0.033,0.405,0.562
2700,0.041,0.376,0.583
2800,0.041,0.372,0.587
2900,0.062,0.417,0.521
3000,0.062,0.360,0.579
3100,0.054,0.339,0.607
3200,0.099,0.281,0.620
3300,0.107,0.298,0.595
3400,0.107,0.318,0.574
3500,0.079,0.289,0.632
3600,0.087,0.285,0.628
3700,0.099,0.269,0.632
3800,0.112,0.310,0.579
3900,0.124,0.335,0.541
4000,0.087,0.388,0.525
4100,0.091,0.364,0.545
4200,0.107,0.343,0.550
4300,0.107,0.339,0.554
4400,0.099,0.298,0.603
4500,0.124,0.310,0.566
4600,0.120,0.302,0.579
4700,0.103,0.339,0.558
4800,0.120,0.343,0.537
4900,0.112,0.364,0.525
5000,0.112,0.302,0.587
5100,0.136,0.281,0.583
5200,0.091,0.293,0.616
5300,0.074,0.314,0.612
5400,0.116,0.310,0.574
5500,0.124,0.248,0.628
5600,0.140,0.223,0.636
5700,0.145,0.223,0.632
5800,0.140,0.190,0.669
5900,0.136,0.194,0.669
6000,0.120,0.190,0.690
6100,0.124,0.227,0.649
6200,0.112,0.252,0.636
6300,0.066,0.306,0.628
6400,0.112,0.376,0.512
6500,0.120,0.335,0.545
6600,0.132,0.318,0.550
6700,0.116,0.281,0.603
6800,0.103,0.273,0.624
6900,0.120,0.252,0.628
7000,0.079,0.289,0.632
7100,0.116,0.264,0.620
7200,0.112,0.269,0.620
7300,0.145,0.298,0.558
7400,0.186,0.244,0.570
7500,0.215,0.248,0.537
7600,0.215,0.223,0.562
7700,0.202,0.190,0.607
7800,0.223,0.190,0.587
7900,0.211,0.174,0.616
8000,0.207,0.178,0.616
8100,0.207,0.178,0.616
8200,0.219,0.120,0.661
8300,0.202,0.132,0.665
8400,0.236,0.112,0.653
8500,0.198,0.124,0.678
8600,0.207,0.174,0.620
8700,0.178,0.190,0.632
8800,0.198,0.186,0.616
8900,0.240,0.140,0.620
9000,0.260,0.124,0.616
9100,0.219,0.149,0.632
9200,0.207,0.128,0.665
9300,0.215,0.107,0.678
9400,0.273,0.140,0.587
9500,0.190,0.169,0.640
9600,0.190,0.182,0.628
9700,0.165,0.153,0.682
9800,0.169,0.124,0.707
9900,0.194,0.161,0.645
10000,0.202,0.136,0.661
10100,0.264,0.165,0.570
10200,0.223,0.132,0.645
10300,0.215,0.169,0.616
10400,0.207,0.186,0.607
10500,0.186,0.178,0.636
10600,0.260,0.145,0.595
10700,0.223,0.145,0.632
10800,0.211,0.157,0.632
10900,0.223,0.202,0.574
11000,0.194,0.215,0.591
11100,0.182,0.219,0.599
11200,0.215,0.236,0.550
11300,0.198,0.231,0.570
11400,0.190,0.231,0.579
11500,0.194,0.215,0.591
11600,0.174,0.244,0.583
11700,0.161,0.236,0.603
11800,0.169,0.260,0.570
11900,0.153,0.264,0.583
12000,0.149,0.285,0.566
12100,0.169,0.289,0.541
12200,0.182,0.281,0.537
12300,0.186,0.277,0.537
12400,0.161,0.277,0.562
12500,0.174,0.248,0.579
12600,0.157,0.236,0.607
12700,0.140,0.248,0.612
12800,0.099,0.289,0.612
12900,0.128,0.285,0.587
13000,0.153,0.231,0.616
13100,0.174,0.227,0.599
13200,0.182,0.223,0.595
13300,0.174,0.207,0.620
13400,0.169,0.264,0.566
13500,0.178,0.227,0.595
13600,0.198,0.264,0.537
13700,0.194,0.298,0.508
13800,0.169,0.298,0.533
13900,0.182,0.256,0.562
14000,0.136,0.219,0.645
14100,0.140,0.240,0.620
14200,0.112,0.236,0.653
14300,0.128,0.240,0.632
14400,0.157,0.264,0.579
14500,0.145,0.318,0.537
14600,0.140,0.360,0.500
14700,0.136,0.331,0.533
14800,0.132,0.318,0.550
14900,0.140,0.285,0.574
15000,0.128,0.281,0.591
15100,0.107,0.252,0.640
15200,0.128,0.269,0.603
15300,0.116,0.227,0.657
15400,0.132,0.169,0.698
15500,0.149,0.165,0.686
15600,0.186,0.174,0.640
15700,0.174,0.219,0.607
15800,0.194,0.236,0.570
15900,0.207,0.219,0.574
16000,0.202,0.219,0.579
16100,0.165,0.285,0.550
16200,0.194,0.277,0.529
16300,0.161,0.264,0.574
16400,0.161,0.207,0.632
16500,0.145,0.223,0.632
16600,0.165,0.194,0.640
16700,0.153,0.182,0.665
16800,0.153,0.211,0.636
16900,0.132,0.202,0.665
17000,0.136,0.236,0.628
17100,0.132,0.240,0.628
17200,0.178,0.252,0.570
17300,0.194,0.244,0.562
17400,0.149,0.231,0.620
17500,0.128,0.236,0.636
17600,0.124,0.231,0.645
17700,0.124,0.227,0.649
17800,0.103,0.231,0.665
17900,0.120,0.248,0.632
18000,0.128,0.240,0.632
18100,0.136,0.244,0.620
18200,0.157,0.252,0.591
18300,0.182,0.244,0.574
18400,0.178,0.231,0.591
18500,0.157,0.281,0.562
18600,0.174,0.326,0.500
18700,0.149,0.298,0.554
18800,0.153,0.264,0.583
18900,0.182,0.248,0.570
19000,0.207,0.236,0.558
19100,0.198,0.215,0.587
19200,0.198,0.207,0.595
19300,0.248,0.281,0.471
19400,0.202,0.260,0.537
19500,0.207,0.207,0.587
19600,0.194,0.211,0.595
19700,0.219,0.194,0.587
19800,0.207,0.215,0.579
19900,0.198,0.215,0.587
20000,0.202,0.231,0.566
20100,0.165,0.207,0.628
20200,0.149,0.182,0.669
20300,0.153,0.194,0.653
20400,0.182,0.186,0.632
20500,0.202,0.186,0.612
20600,0.169,0.169,0.661
20700,0.182,0.149,0.669
20800,0.198,0.165,0.636
20900,0.190,0.252,0.558
21000,0.174,0.264,0.562
21100,0.186,0.289,0.525
21200,0.194,0.231,0.574
21300,0.260,0.194,0.545
21400,0.260,0.161,0.579
21500,0.281,0.149,0.570
21600,0.285,0.132,0.583
21700,0.289,0.132,0.579
21800,0.256,0.116,0.628
21900,0.314,0.165,0.521
22000,0.306,0.165,0.529
22100,0.314,0.149,0.537
22200,0.289,0.169,0.541
22300,0.302,0.136,0.562
22400,0.264,0.174,0.562
22500,0.223,0.157,0.620
22600,0.264,0.116,0.620
22700,0.273,0.103,0.624
22800,0.298,0.132,0.570
22900,0.281,0.153,0.566
23000,0.264,0.136,0.599
23100,0.298,0.124,0.579
23200,0.293,0.149,0.558
23300,0.293,0.132,0.574
23400,0.260,0.174,0.566
23500,0.256,0.165,0.579
23600,0.236,0.153,0.612
23700,0.256,0.153,0.591
23800,0.326,0.153,0.521
23900,0.302,0.107,0.591
24000,0.281,0.149,0.570
24100,0.252,0.157,0.591
24200,0.223,0.145,0.632
24300,0.256,0.194,0.550
24400,0.231,0.157,0.612
24500,0.219,0.215,0.566
24600,0.194,0.231,0.574
24700,0.202,0.273,0.525
24800,0.174,0.269,0.558
24900,0.190,0.248,0.562
25000,0.211,0.252,0.537
25100,0.198,0.211,0.591
25200,0.161,0.194,0.645
25300,0.128,0.256,0.616
25400,0.145,0.231,0.624
25500,0.182,0.244,0.574
25600,0.186,0.211,0.603
25700,0.219,0.202,0.579
25800,0.198,0.198,0.603
25900,0.227,0.198,0.574
26000,0.207,0.153,0.640
26100,0.186,0.198,0.616
26200,0.211,0.194,0.595
26300,0.215,0.190,0.595
26400,0.227,0.174,0.599
26500,0.194,0.186,0.620
26600,0.219,0.244,0.537
26700,0.198,0.223,0.579
26800,0.198,0.269,0.533
26900,0.190,0.264,0.545
27000,0.157,0.252,0.591
27100,0.174,0.240,0.587
27200,0.207,0.240,0.554
27300,0.215,0.190,0.595
27400,0.244,0.215,0.541
27500,0.236,0.190,0.574
27600,0.223,0.186,0.591
27700,0.215,0.194,0.591
27800,0.186,0.240,0.574
27900,0.174,0.190,0.636
28000,0.182,0.190,0.628
28100,0.244,0.169,0.587
28200,0.269,0.169,0.562
28300,0.269,0.182,0.550
28400,0.269,0.174,0.558
28500,0.306,0.174,0.521
28600,0.289,0.182,0.529
28700,0.326,0.149,0.525
28800,0.281,0.120,0.599
28900,0.269,0.120,0.612
29000,0.269,0.116,0.616
29100,0.256,0.112,0.632
29200,0.252,0.099,0.649
29300,0.269,0.103,0.628
29400,0.264,0.099,0.636
29500,0.326,0.091,0.583
29600,0.269,0.095,0.636
29700,0.256,0.083,0.661
29800,0.240,0.107,0.653
29900,0.285,0.116,0.599
30000,0.318,0.103,0.579
30100,0.298,0.099,0.603
30200,0.269,0.112,0.620
30300,0.269,0.132,0.599
30400,0.277,0.116,0.607
30500,0.289,0.112,0.599
30600,0.310,0.140,0.550
30700,0.335,0.103,0.562
30800,0.306,0.136,0.558
30900,0.335,0.124,0.541
31000,0.335,0.140,0.525
31100,0.364,0.161,0.475
31200,0.326,0.153,0.521
31300,0.314,0.227,0.459
31400,0.285,0.231,0.483
31500,0.277,0.186,0.537
31600,0.273,0.161,0.566
31700,0.260,0.145,0.595
31800,0.219,0.165,0.616
31900,0.227,0.174,0.599
32000,0.178,0.174,0.649
32100,0.248,0.165,0.587
32200,0.236,0.182,0.583
32300,0.198,0.178,0.624
32400,0.194,0.182,0.624
32500,0.178,0.194,0.628
32600,0.186,0.256,0.558
32700,0.174,0.236,0.591
32800,0.161,0.215,0.624
32900,0.190,0.219,0.591
33000,0.169,0.215,0.616
33100,0.128,0.207,0.665
33200,0.112,0.211,0.678
33300,0.186,0.236,0.579
33400,0.194,0.260,0.545
33500,0.178,0.211,0.612
33600,0.145,0.202,0.653
33700,0.161,0.165,0.674
33800,0.182,0.182,0.636
33900,0.161,0.260,0.579
34000,0.202,0.273,0.525
34100,0.227,0.236,0.537
34200,0.231,0.248,0.521
34300,0.273,0.215,0.512
34400,0.240,0.165,0.595
34500,0.198,0.174,0.628
34600,0.165,0.178,0.657
34700,0.190,0.153,0.657
34800,0.174,0.231,0.595
34900,0.186,0.223,0.591
35000,0.178,0.211,0.612
35100,0.198,0.236,0.566
35200,0.161,0.215,0.624
35300,0.207,0.190,0.603
35400,0.244,0.202,0.554
35500,0.211,0.186,0.603
35600,0.219,0.174,0.607
35700,0.227,0.207,0.566
35800,0.269,0.178,0.554
35900,0.322,0.136,0.541
36000,0.318,0.140,0.541
36100,0.302,0.165,0.533
36200,0.302,0.186,0.512
36300,0.281,0.186,0.533
36400,0.256,0.211,0.533
36500,0.244,0.190,0.566
36600,0.285,0.182,0.533
36700,0.244,0.165,0.591
36800,0.211,0.165,0.624
36900,0.260,0.153,0.587
37000,0.244,0.132,0.624
37100,0.277,0.165,0.558
37200,0.281,0.153,0.566
37300,0.285,0.145,0.570
37400,0.231,0.194,0.574
37500,0.252,0.211,0.537
37600,0.248,0.215,0.537
37700,0.256,0.202,0.541
37800,0.256,0.211,0.533
37900,0.260,0.194,0.545
38000,0.244,0.182,0.574
38100,0.285,0.153,0.562
38200,0.302,0.161,0.537
38300,0.240,0.136,0.624
38400,0.215,0.136,0.649
38500,0.169,0.161,0.669
38600,0.169,0.157,0.674
38700,0.223,0.202,0.574
38800,0.227,0.190,0.583
38900,0.190,0.161,0.649
39000,0.145,0.157,0.698
39100,0.136,0.182,0.682
39200,0.153,0.215,0.632
39300,0.186,0.227,0.587
39400,0.182,0.202,0.616
39500,0.186,0.223,0.591
39600,0.169,0.273,0.558
39700,0.153,0.281,0.566
39800,0.153,0.273,0.574
39900,0.161,0.273,0.566
40000,0.149,0.269,0.583
40100,0.149,0.273,0.579
40200,0.149,0.260,0.591
40300,0.145,0.314,0.541
40400,0.140,0.302,0.558
40500,0.161,0.335,0.504
40600,0.174,0.331,0.496
40700,0.169,0.264,0.566
40800,0.140,0.281,0.579
40900,0.186,0.285,0.529
41000,0.169,0.302,0.529
41100,0.157,0.236,0.607
41200,0.178,0.248,0.574
41300,0.202,0.256,0.541
41400,0.178,0.256,0.566
41500,0.149,0.293,0.558
41600,0.112,0.293,0.595
41700,0.103,0.260,0.636
41800,0.132,0.281,0.587
41900,0.136,0.281,0.583
42000,0.157,0.306,0.537
42100,0.136,0.322,0.541
42200,0.136,0.264,0.599
42300,0.136,0.252,0.612
42400,0.178,0.231,0.591
42500,0.207,0.281,0.512
42600,0.194,0.289,0.517
42700,0.161,0.231,0.607
42800,0.198,0.227,0.574
42900,0.240,0.236,0.525
43000,0.194,0.269,0.537
43100,0.190,0.256,0.554
43200,0.190,0.202,0.607
43300,0.178,0.223,0.599
43400,0.149,0.240,0.612
43500,0.219,0.219,0.562
43600,0.219,0.219,0.562
43700,0.256,0.169,0.574
43800,0.256,0.182,0.562
43900,0.215,0.223,0.562
44000,0.215,0.174,0.612
44100,0.211,0.227,0.562
44200,0.219,0.215,0.566
44300,0.194,0.219,0.587
44400,0.178,0.211,0.612
44500,0.198,0.215,0.587
44600,0.149,0.231,0.620
44700,0.182,0.194,0.624
44800,0.186,0.182,0.632
44900,0.219,0.178,0.603
45000,0.252,0.198,0.550
45100,0.264,0.165,0.570
45200,0.264,0.165,0.570
45300,0.236,0.157,0.607
45400,0.260,0.165,0.574
45500,0.244,0.182,0.574
45600,0.211,0.211,0.579
45700,0.202,0.211,0.587
45800,0.219,0.219,0.562
45900,0.178,0.211,0.612
46000,0.227,0.207,0.566
46100,0.211,0.219,0.570
46200,0.227,0.207,0.566
46300,0.219,0.194,0.587
46400,0.231,0.178,0.591
46500,0.236,0.145,0.620
46600,0.256,0.157,0.587
46700,0.256,0.132,0.612
46800,0.269,0.120,0.612
46900,0.285,0.099,0.616
47000,0.264,0.107,0.628
47100,0.227,0.140,0.632
47200,0.165,0.178,0.657
47300,0.227,0.161,0.612
47400,0.194,0.174,0.632
47500,0.236,0.169,0.595
47600,0.277,0.153,0.570
47700,0.277,0.124,0.599
47800,0.285,0.116,0.599
47900,0.277,0.136,0.587
48000,0.252,0.194,0.554
48100,0.231,0.211,0.558
48200,0.211,0.231,0.558
48300,0.186,0.211,0.603
48400,0.211,0.252,0.537
48500,0.273,0.240,0.488
48600,0.260,0.215,0.525
48700,0.289,0.194,0.517
48800,0.240,0.161,0.599
48900,0.256,0.194,0.550
49000,0.244,0.186,0.570
49100,0.260,0.165,0.574
49200,0.273,0.136,0.591
49300,0.269,0.140,0.591
49400,0.256,0.136,0.607
49500,0.256,0.140,0.603
49600,0.289,0.153,0.558
49700,0.322,0.149,0.529
49800,0.322,0.120,0.558
49900,0.302,0.116,0.583
50000,0.318,0.103,0.579
50100,0.376,0.103,0.521
50200,0.339,0.128,0.533
50300,0.314,0.091,0.595
50400,0.248,0.112,0.640
50500,0.285,0.116,0.599
50600,0.281,0.099,0.620
50700,0.293,0.124,0.583
50800,0.252,0.149,0.599
50900,0.219,0.157,0.624
51000,0.223,0.153,0.624
51100,0.207,0.153,0.640
51200,0.236,0.182,0.583
51300,0.215,0.240,0.545
51400,0.207,0.227,0.566
51500,0.198,0.240,0.562
51600,0.227,0.248,0.525
51700,0.190,0.277,0.533
51800,0.182,0.273,0.545
51900,0.207,0.227,0.566
52000,0.219,0.236,0.545
52100,0.215,0.190,0.595
52200,0.219,0.227,0.554
52300,0.215,0.240,0.545
52400,0.194,0.256,0.550
52500,0.153,0.264,0.583
52600,0.178,0.269,0.554
52700,0.157,0.198,0.645
52800,0.202,0.149,0.649
52900,0.194,0.149,0.657
53000,0.240,0.186,0.574
53100,0.260,0.182,0.558
53200,0.231,0.145,0.624
53300,0.285,0.186,0.529
53400,0.231,0.248,0.521
53500,0.240,0.231,0.529
53600,0.244,0.202,0.554
53700,0.236,0.207,0.558
53800,0.285,0.211,0.504
53900,0.207,0.248,0.545
54000,0.182,0.223,0.595
54100,0.165,0.219,0.616
54200,0.140,0.219,0.640
54300,0.120,0.248,0.632
54400,0.116,0.285,0.599
54500,0.091,0.260,0.649
54600,0.136,0.240,0.624
54700,0.145,0.227,0.628
54800,0.136,0.260,0.603
54900,0.153,0.256,0.591
55000,0.198,0.194,0.607
55100,0.219,0.174,0.607
55200,0.277,0.182,0.541
55300,0.298,0.128,0.574
55400,0.306,0.161,0.533
55500,0.326,0.112,0.562
55600,0.339,0.112,0.550
55700,0.368,0.103,0.529
55800,0.360,0.095,0.545
55900,0.360,0.136,0.504
56000,0.355,0.128,0.517
56100,0.310,0.153,0.537
56200,0.335,0.149,0.517
56300,0.355,0.169,0.475
56400,0.314,0.140,0.545
56500,0.289,0.107,0.603
56600,0.335,0.161,0.504
56700,0.306,0.140,0.554
56800,0.269,0.178,0.554
56900,0.260,0.145,0.595
57000,0.302,0.112,0.587
57100,0.289,0.107,0.603
57200,0.264,0.112,0.624
57300,0.281,0.112,0.607
57400,0.252,0.124,0.624
57500,0.260,0.165,0.574
57600,0.252,0.186,0.562
57700,0.302,0.157,0.541
57800,0.331,0.145,0.525
57900,0.298,0.165,0.537
58000,0.277,0.157,0.566
58100,0.277,0.120,0.603
58200,0.298,0.112,0.591
58300,0.298,0.124,0.579
58400,0.277,0.153,0.570
58500,0.289,0.128,0.583
58600,0.256,0.116,0.628
58700,0.289,0.103,0.607
58800,0.293,0.132,0.574
58900,0.260,0.153,0.587
59000,0.277,0.149,0.574
59100,0.298,0.116,0.587
59200,0.302,0.112,0.587
59300,0.252,0.124,0.624
59400,0.236,0.107,0.657
59500,0.289,0.145,0.566
59600,0.236,0.194,0.570
59700,0.231,0.219,0.550
59800,0.207,0.211,0.583
59900,0.186,0.223,0.591
60000,0.194,0.219,0.587
60100,0.145,0.223,0.632
60200,0.169,0.248,0.583
60300,0.157,0.244,0.599
60400,0.182,0.248,0.570
60500,0.165,0.211,0.624
60600,0.198,0.260,0.541
60700,0.165,0.223,0.612
60800,0.182,0.215,0.603
60900,0.182,0.194,0.624
61000,0.202,0.149,0.649
61100,0.256,0.136,0.607
61200,0.248,0.132,0.620
61300,0.256,0.124,0.620
61400,0.248,0.120,0.632
61500,0.231,0.132,0.636
61600,0.207,0.178,0.616
61700,0.240,0.169,0.591
61800,0.227,0.182,0.591
61900,0.256,0.169,0.574
62000,0.219,0.132,0.649
62100,0.211,0.169,0.620
62200,0.231,0.174,0.595
62300,0.240,0.149,0.612
62400,0.252,0.120,0.628
62500,0.269,0.128,0.603
62600,0.285,0.124,0.591
