time,n_A+p,n_B,n_AB
100,0.401,0.488,0.112
200,0.351,0.426,0.223
300,0.285,0.421,0.293
400,0.298,0.421,0.281
500,0.277,0.413,0.310
600,0.269,0.455,0.277
700,0.244,0.471,0.285
800,0.157,0.550,0.293
900,0.178,0.579,0.244
1000,0.136,0.636,0.227
1100,0.095,0.678,0.227
1200,0.103,0.715,0.182
1300,0.066,0.756,0.178
1400,0.058,0.744,0.198
1500,0.066,0.748,0.186
1600,0.074,0.773,0.153
1700,0.062,0.806,0.132
1800,0.041,0.810,0.149
1900,0.033,0.843,0.124
2000,0.025,0.876,0.099
2100,0.025,0.893,0.083
2200,0.025,0.926,0.050
2300,0.021,0.930,0.050
2400,0.017,0.921,0.062
2500,0.012,0.921,0.066
2600,0.008,0.917,0.074
2700,0.008,0.930,0.062
2800,0.008,0.934,0.058
2900,0.008,0.967,0.025
3000,0.008,0.975,0.017
3100,0.004,0.979,0.017
3200,0.000,0.988,0.012
3300,0.000,0.992,0.008
3400,0.000,0.996,0.004
3500,0.000,0.996,0.004
3600,0.000,0.996,0.004
3700,0.000,0.996,0.004
3800,0.000,0.996,0.004
3900,0.000,0.996,0.004
4000,0.000,0.996,0.004
4100,0.000,0.996,0.004
4200,0.000,0.992,0.008
4300,0.000,0.996,0.004
4400,0.000,0.996,0.004
4500,0.000,0.996,0.004
4600,0.000,1.000,0.000
