time,n_A+p,n_B,n_AB
0,0.449,0.551,0.000
500,0.283,0.303,0.414
1000,0.218,0.280,0.501
1500,0.164,0.211,0.625
2000,0.144,0.226,0.630
2500,0.122,0.246,0.633
3000,0.132,0.208,0.660
3500,0.129,0.174,0.697
4000,0.154,0.186,0.660
4500,0.154,0.191,0.655
5000,0.179,0.159,0.663
5500,0.199,0.161,0.640
6000,0.203,0.156,0.640
6500,0.208,0.151,0.640
7000,0.181,0.156,0.663
7500,0.194,0.141,0.665
8000,0.144,0.159,0.697
8500,0.149,0.127,0.725
9000,0.164,0.114,0.722
9500,0.179,0.129,0.692
10000,0.206,0.109,0.685
10500,0.228,0.132,0.640
11000,0.238,0.132,0.630
11500,0.194,0.164,0.643
12000,0.228,0.151,0.620
12500,0.228,0.159,0.613
13000,0.201,0.149,0.650
13500,0.189,0.122,0.690
14000,0.226,0.129,0.645
14500,0.243,0.119,0.638
15000,0.208,0.161,0.630
15500,0.164,0.164,0.672
16000,0.179,0.179,0.643
16500,0.146,0.206,0.648
17000,0.136,0.251,0.613
17500,0.117,0.226,0.658
18000,0.129,0.228,0.643
18500,0.134,0.206,0.660
19000,0.166,0.164,0.670
19500,0.151,0.159,0.690
20000,0.161,0.171,0.667
20500,0.171,0.169,0.660
21000,0.141,0.196,0.663
21500,0.136,0.201,0.663
22000,0.149,0.176,0.675
22500,0.159,0.154,0.687
23000,0.144,0.161,0.695
23500,0.144,0.179,0.677
24000,0.161,0.171,0.667
24500,0.174,0.186,0.640
25000,0.169,0.213,0.618
25500,0.201,0.171,0.628
26000,0.196,0.154,0.650
26500,0.171,0.159,0.670
27000,0.196,0.154,0.650
27500,0.179,0.164,0.658
28000,0.161,0.186,0.653
28500,0.186,0.174,0.640
29000,0.156,0.194,0.650
29500,0.151,0.186,0.663
30000,0.194,0.191,0.615
30500,0.201,0.196,0.603
31000,0.213,0.199,0.588
31500,0.176,0.199,0.625
32000,0.184,0.201,0.615
32500,0.176,0.154,0.670
33000,0.139,0.184,0.677
33500,0.174,0.171,0.655
34000,0.166,0.164,0.670
34500,0.132,0.194,0.675
