time,n_A+p,n_B,n_AB
100,0.367,0.541,0.092
200,0.342,0.533,0.124
300,0.320,0.543,0.136
400,0.308,0.519,0.174
500,0.320,0.496,0.184
600,0.308,0.504,0.189
700,0.280,0.519,0.201
800,0.278,0.524,0.199
900,0.273,0.496,0.231
1000,0.266,0.499,0.236
1100,0.275,0.501,0.223
1200,0.275,0.496,0.228
1300,0.323,0.486,0.191
1400,0.315,0.447,0.238
1500,0.315,0.469,0.216
1600,0.320,0.457,0.223
1700,0.305,0.491,0.203
1800,0.320,0.511,0.169
1900,0.288,0.521,0.191
2000,0.278,0.521,0.201
2100,0.243,0.551,0.206
2200,0.233,0.596,0.171
2300,0.241,0.610,0.149
2400,0.243,0.573,0.184
2500,0.228,0.591,0.181
2600,0.241,0.608,0.151
2700,0.226,0.615,0.159
2800,0.243,0.620,0.136
2900,0.241,0.618,0.141
3000,0.221,0.623,0.156
3100,0.231,0.588,0.181
3200,0.241,0.610,0.149
3300,0.213,0.603,0.184
3400,0.211,0.598,0.191
3500,0.201,0.603,0.196
3600,0.174,0.640,0.186
3700,0.166,0.680,0.154
3800,0.146,0.670,0.184
3900,0.117,0.720,0.164
4000,0.112,0.774,0.114
4100,0.107,0.772,0.122
4200,0.094,0.777,0.129
4300,0.087,0.777,0.136
4400,0.082,0.809,0.109
4500,0.074,0.792,0.134
4600,0.065,0.819,0.117
4700,0.052,0.844,0.104
4800,0.045,0.859,0.097
4900,0.037,0.881,0.082
5000,0.032,0.871,0.097
5100,0.027,0.893,0.079
5200,0.032,0.913,0.055
5300,0.032,0.921,0.047
5400,0.025,0.928,0.047
5500,0.020,0.938,0.042
5600,0.020,0.938,0.042
5700,0.020,0.948,0.032
5800,0.020,0.955,0.025
5900,0.020,0.953,0.027
6000,0.015,0.960,0.025
6100,0.012,0.968,0.020
6200,0.012,0.965,0.022
6300,0.012,0.960,0.027
6400,0.012,0.968,0.020
6500,0.012,0.970,0.017
6600,0.012,0.970,0.017
6700,0.010,0.973,0.017
6800,0.005,0.975,0.020
6900,0.005,0.978,0.017
7000,0.005,0.980,0.015
7100,0.005,0.983,0.012
7200,0.005,0.985,0.010
7300,0.005,0.985,0.010
7400,0.005,0.988,0.007
7500,0.005,0.988,0.007
7600,0.005,0.988,0.007
7700,0.005,0.988,0.007
7800,0.005,0.988,0.007
7900,0.005,0.988,0.007
8000,0.005,0.988,0.007
8100,0.005,0.988,0.007
8200,0.005,0.988,0.007
8300,0.005,0.988,0.007
8400,0.005,0.988,0.007
8500,0.005,0.988,0.007
8600,0.005,0.988,0.007
8700,0.005,0.988,0.007
8800,0.002,0.990,0.007
8900,0.002,0.990,0.007
9000,0.002,0.990,0.007
9100,0.002,0.990,0.007
9200,0.002,0.990,0.007
9300,0.002,0.990,0.007
9400,0.002,0.990,0.007
9500,0.002,0.990,0.007
9600,0.002,0.990,0.007
9700,0.002,0.990,0.007
9800,0.002,0.990,0.007
9900,0.002,0.990,0.007
10000,0.002,0.990,0.007
10100,0.002,0.990,0.007
10200,0.002,0.990,0.007
10300,0.002,0.990,0.007
10400,0.002,0.990,0.007
10500,0.002,0.990,0.007
10600,0.002,0.990,0.007
10700,0.002,0.990,0.007
10800,0.002,0.990,0.007
10900,0.000,0.993,0.007
11000,0.000,0.993,0.007
11100,0.000,0.993,0.007
11200,0.000,0.993,0.007
11300,0.000,0.993,0.007
11400,0.000,0.993,0.007
11500,0.000,0.993,0.007
11600,0.000,0.993,0.007
11700,0.000,0.993,0.007
11800,0.000,0.990,0.010
11900,0.000,0.990,0.010
12000,0.000,0.990,0.010
12100,0.000,0.990,0.010
12200,0.000,0.990,0.010
12300,0.000,0.998,0.002
12400,0.000,0.998,0.002
12500,0.000,0.998,0.002
12600,0.000,0.998,0.002
12700,0.000,0.998,0.002
12800,0.000,0.998,0.002
12900,0.000,0.998,0.002
13000,0.000,0.998,0.002
13100,0.000,0.998,0.002
13200,0.000,0.998,0.002
13300,0.000,0.998,0.002
13400,0.000,0.998,0.002
13500,0.000,0.998,0.002
13600,0.000,0.998,0.002
13700,0.000,0.998,0.002
13800,0.000,0.998,0.002
13900,0.000,0.998,0.002
14000,0.000,1.000,0.000
