time,n_A+p,n_B,n_AB
0,0.028,0.972,-0.000
500,0.037,0.945,0.018
1000,0.028,0.951,0.021
1500,0.034,0.927,0.040
2000,0.028,0.896,0.076
2500,0.028,0.924,0.049
3000,0.028,0.948,0.024
3500,0.031,0.933,0.037
4000,0.028,0.933,0.040
4500,0.028,0.945,0.028
5000,0.028,0.924,0.049
5500,0.034,0.930,0.037
6000,0.028,0.945,0.028
6500,0.031,0.914,0.055
7000,0.031,0.924,0.046
7500,0.031,0.905,0.064
8000,0.031,0.917,0.052
8500,0.037,0.902,0.061
9000,0.034,0.927,0.040
9500,0.040,0.917,0.043
10000,0.040,0.930,0.031
10500,0.043,0.914,0.043
11000,0.046,0.924,0.031
11500,0.028,0.917,0.055
12000,0.034,0.908,0.058
12500,0.034,0.908,0.058
13000,0.043,0.881,0.076
13500,0.043,0.908,0.049
14000,0.028,0.927,0.046
14500,0.028,0.936,0.037
15000,0.028,0.927,0.046
15500,0.028,0.960,0.012
16000,0.028,0.936,0.037
16500,0.028,0.911,0.061
17000,0.034,0.930,0.037
17500,0.031,0.939,0.031
18000,0.040,0.911,0.049
18500,0.034,0.924,0.043
19000,0.037,0.930,0.034
19500,0.028,0.936,0.037
20000,0.028,0.933,0.040
20500,0.028,0.933,0.040
21000,0.031,0.890,0.080
21500,0.034,0.896,0.070
22000,0.046,0.865,0.089
22500,0.046,0.902,0.052
23000,0.040,0.911,0.049
23500,0.031,0.884,0.086
24000,0.046,0.887,0.067
24500,0.031,0.911,0.058
25000,0.034,0.920,0.046
25500,0.034,0.927,0.040
26000,0.028,0.942,0.031
26500,0.028,0.936,0.037
27000,0.028,0.933,0.040
27500,0.031,0.917,0.052
28000,0.028,0.963,0.009
28500,0.028,0.957,0.015
29000,0.028,0.908,0.064
29500,0.034,0.899,0.067
30000,0.040,0.881,0.080
30500,0.046,0.899,0.055
31000,0.034,0.908,0.058
31500,0.037,0.924,0.040
32000,0.034,0.917,0.049
32500,0.031,0.936,0.034
33000,0.031,0.927,0.043
33500,0.040,0.902,0.058
34000,0.037,0.914,0.049
34500,0.028,0.908,0.064
35000,0.028,0.930,0.043
35500,0.040,0.917,0.043
36000,0.034,0.930,0.037
36500,0.037,0.920,0.043
37000,0.034,0.920,0.046
37500,0.040,0.930,0.031
38000,0.031,0.902,0.067
38500,0.061,0.823,0.116
39000,0.052,0.865,0.083
39500,0.034,0.917,0.049
40000,0.031,0.936,0.034
40500,0.034,0.920,0.046
41000,0.034,0.920,0.046
41500,0.031,0.939,0.031
42000,0.034,0.948,0.018
42500,0.034,0.951,0.015
43000,0.031,0.936,0.034
43500,0.034,0.896,0.070
44000,0.028,0.930,0.043
44500,0.031,0.924,0.046
45000,0.031,0.942,0.028
45500,0.031,0.927,0.043
46000,0.040,0.942,0.018
46500,0.043,0.878,0.080
47000,0.040,0.908,0.052
47500,0.037,0.927,0.037
48000,0.034,0.887,0.080
48500,0.043,0.896,0.061
49000,0.043,0.914,0.043
49500,0.043,0.905,0.052
50000,0.040,0.908,0.052
50500,0.043,0.905,0.052
51000,0.034,0.911,0.055
51500,0.046,0.902,0.052
52000,0.046,0.911,0.043
52500,0.031,0.902,0.067
53000,0.043,0.902,0.055
53500,0.037,0.911,0.052
54000,0.031,0.914,0.055
54500,0.031,0.902,0.067
55000,0.040,0.911,0.049
55500,0.034,0.908,0.058
56000,0.031,0.930,0.040
56500,0.031,0.927,0.043
57000,0.037,0.920,0.043
57500,0.028,0.930,0.043
58000,0.034,0.917,0.049
58500,0.028,0.954,0.018
59000,0.028,0.954,0.018
59500,0.028,0.936,0.037
60000,0.031,0.902,0.067
60500,0.031,0.917,0.052
61000,0.028,0.960,0.012
61500,0.028,0.948,0.024
62000,0.028,0.939,0.034
62500,0.031,0.911,0.058
63000,0.037,0.914,0.049
63500,0.040,0.896,0.064
64000,0.037,0.924,0.040
64500,0.037,0.927,0.037
65000,0.037,0.896,0.067
65500,0.049,0.902,0.049
66000,0.046,0.893,0.061
66500,0.037,0.911,0.052
67000,0.031,0.920,0.049
67500,0.034,0.927,0.040
68000,0.031,0.896,0.073
68500,0.034,0.914,0.052
69000,0.031,0.902,0.067
69500,0.031,0.917,0.052
70000,0.037,0.911,0.052
70500,0.040,0.890,0.070
71000,0.049,0.881,0.070
71500,0.034,0.917,0.049
72000,0.037,0.905,0.058
72500,0.052,0.893,0.055
73000,0.073,0.838,0.089
73500,0.046,0.838,0.116
74000,0.046,0.899,0.055
74500,0.031,0.936,0.034
75000,0.031,0.933,0.037
75500,0.028,0.920,0.052
76000,0.028,0.936,0.037
76500,0.031,0.920,0.049
77000,0.028,0.924,0.049
77500,0.028,0.914,0.058
78000,0.028,0.908,0.064
78500,0.031,0.914,0.055
79000,0.028,0.939,0.034
79500,0.028,0.948,0.024
80000,0.028,0.924,0.049
80500,0.040,0.920,0.040
81000,0.034,0.933,0.034
81500,0.031,0.862,0.107
82000,0.037,0.924,0.040
82500,0.031,0.927,0.043
83000,0.040,0.920,0.040
83500,0.031,0.908,0.061
84000,0.034,0.905,0.061
84500,0.034,0.905,0.061
85000,0.034,0.914,0.052
85500,0.031,0.942,0.028
86000,0.031,0.890,0.080
86500,0.034,0.920,0.046
87000,0.031,0.936,0.034
87500,0.028,0.930,0.043
88000,0.034,0.914,0.052
88500,0.031,0.917,0.052
89000,0.031,0.948,0.021
89500,0.031,0.939,0.031
90000,0.031,0.939,0.031
90500,0.028,0.908,0.064
91000,0.037,0.905,0.058
91500,0.028,0.933,0.040
92000,0.028,0.939,0.034
92500,0.031,0.896,0.073
93000,0.037,0.936,0.028
93500,0.031,0.924,0.046
94000,0.034,0.933,0.034
94500,0.034,0.914,0.052
95000,0.034,0.908,0.058
95500,0.028,0.911,0.061
96000,0.037,0.924,0.040
96500,0.034,0.902,0.064
97000,0.028,0.914,0.058
97500,0.037,0.884,0.080
98000,0.034,0.908,0.058
98500,0.034,0.927,0.040
99000,0.037,0.930,0.034
99500,0.031,0.939,0.031
100000,0.034,0.930,0.037
100500,0.034,0.933,0.034
101000,0.031,0.954,0.015
101500,0.037,0.920,0.043
102000,0.031,0.920,0.049
102500,0.037,0.933,0.031
103000,0.031,0.890,0.080
103500,0.037,0.884,0.080
104000,0.031,0.927,0.043
104500,0.031,0.927,0.043
105000,0.031,0.917,0.052
105500,0.031,0.951,0.018
106000,0.031,0.917,0.052
106500,0.031,0.927,0.043
107000,0.034,0.933,0.034
107500,0.028,0.936,0.037
108000,0.028,0.902,0.070
108500,0.034,0.917,0.049
109000,0.028,0.945,0.028
109500,0.028,0.948,0.024
110000,0.034,0.930,0.037
110500,0.028,0.914,0.058
111000,0.031,0.942,0.028
111500,0.043,0.899,0.058
112000,0.037,0.908,0.055
112500,0.037,0.924,0.040
113000,0.034,0.945,0.021
113500,0.037,0.930,0.034
114000,0.031,0.936,0.034
114500,0.034,0.942,0.024
115000,0.031,0.927,0.043
115500,0.028,0.948,0.024
116000,0.028,0.951,0.021
116500,0.031,0.933,0.037
117000,0.040,0.911,0.049
117500,0.034,0.908,0.058
118000,0.040,0.896,0.064
118500,0.034,0.899,0.067
119000,0.028,0.939,0.034
119500,0.028,0.911,0.061
120000,0.037,0.899,0.064
120500,0.034,0.914,0.052
121000,0.043,0.890,0.067
121500,0.040,0.920,0.040
122000,0.031,0.896,0.073
122500,0.031,0.936,0.034
123000,0.034,0.924,0.043
123500,0.034,0.890,0.076
124000,0.034,0.899,0.067
124500,0.034,0.945,0.021
125000,0.037,0.908,0.055
125500,0.031,0.914,0.055
126000,0.031,0.927,0.043
126500,0.034,0.942,0.024
127000,0.034,0.927,0.040
127500,0.028,0.933,0.040
128000,0.031,0.933,0.037
128500,0.028,0.933,0.040
129000,0.031,0.917,0.052
129500,0.034,0.942,0.024
130000,0.034,0.927,0.040
130500,0.037,0.930,0.034
