time,n_A+p,n_B,n_AB
100,0.352,0.456,0.193
200,0.294,0.450,0.257
300,0.269,0.407,0.324
400,0.284,0.388,0.327
500,0.272,0.376,0.352
600,0.239,0.394,0.367
700,0.214,0.404,0.382
800,0.205,0.410,0.385
900,0.199,0.434,0.367
1000,0.226,0.446,0.327
1100,0.180,0.450,0.370
1200,0.162,0.434,0.404
1300,0.171,0.453,0.376
1400,0.147,0.477,0.376
1500,0.171,0.511,0.318
1600,0.138,0.538,0.324
1700,0.141,0.544,0.315
1800,0.110,0.535,0.355
1900,0.131,0.550,0.318
2000,0.119,0.575,0.306
2100,0.119,0.621,0.260
2200,0.119,0.627,0.254
2300,0.092,0.596,0.312
2400,0.086,0.630,0.284
2500,0.080,0.713,0.208
2600,0.067,0.682,0.251
2700,0.080,0.682,0.239
2800,0.073,0.694,0.232
2900,0.076,0.734,0.190
3000,0.067,0.737,0.196
3100,0.058,0.719,0.223
3200,0.052,0.740,0.208
3300,0.052,0.722,0.226
3400,0.058,0.761,0.180
3500,0.064,0.749,0.187
3600,0.070,0.719,0.211
3700,0.064,0.737,0.199
3800,0.070,0.746,0.183
3900,0.067,0.734,0.199
4000,0.046,0.734,0.220
4100,0.055,0.716,0.229
4200,0.058,0.734,0.208
4300,0.067,0.761,0.171
4400,0.055,0.786,0.159
4500,0.040,0.801,0.159
4600,0.043,0.820,0.138
4700,0.037,0.813,0.150
4800,0.037,0.841,0.122
4900,0.034,0.847,0.119
5000,0.031,0.847,0.122
5100,0.024,0.835,0.141
5200,0.021,0.844,0.135
5300,0.021,0.844,0.135
5400,0.018,0.869,0.113
5500,0.021,0.869,0.110
5600,0.021,0.893,0.086
5700,0.021,0.887,0.092
5800,0.028,0.899,0.073
5900,0.024,0.914,0.061
6000,0.018,0.917,0.064
6100,0.018,0.920,0.061
6200,0.015,0.914,0.070
6300,0.015,0.917,0.067
6400,0.012,0.927,0.061
6500,0.006,0.927,0.067
6600,0.006,0.933,0.061
6700,0.003,0.951,0.046
6800,0.003,0.957,0.040
6900,0.003,0.951,0.046
7000,0.003,0.963,0.034
7100,0.003,0.969,0.028
7200,0.003,0.966,0.031
7300,0.003,0.969,0.028
7400,0.012,0.966,0.021
7500,0.009,0.963,0.028
7600,0.006,0.966,0.028
7700,0.006,0.963,0.031
7800,0.006,0.963,0.031
7900,0.015,0.954,0.031
8000,0.012,0.951,0.037
8100,0.012,0.951,0.037
8200,0.012,0.951,0.037
8300,0.012,0.942,0.046
8400,0.018,0.942,0.040
8500,0.015,0.942,0.043
8600,0.009,0.933,0.058
8700,0.009,0.939,0.052
8800,0.006,0.948,0.046
8900,0.003,0.966,0.031
9000,0.003,0.957,0.040
9100,0.006,0.960,0.034
9200,0.003,0.969,0.028
9300,0.003,0.957,0.040
9400,0.003,0.976,0.021
9500,0.003,0.972,0.024
9600,0.003,0.979,0.018
9700,0.003,0.985,0.012
9800,0.003,0.988,0.009
9900,0.003,0.991,0.006
10000,0.003,0.994,0.003
10100,0.003,0.994,0.003
10200,0.003,0.994,0.003
10300,0.003,0.994,0.003
10400,0.003,0.994,0.003
10500,0.003,0.997,0.000
10600,0.003,0.997,0.000
10700,0.003,0.997,0.000
10800,0.003,0.997,0.000
10900,0.003,0.997,0.000
11000,0.003,0.997,0.000
11100,0.003,0.997,0.000
11200,0.003,0.997,0.000
11300,0.003,0.997,0.000
11400,0.003,0.997,0.000
11500,0.003,0.997,0.000
11600,0.003,0.997,0.000
11700,0.003,0.997,0.000
11800,0.003,0.997,0.000
11900,0.003,0.997,0.000
12000,0.003,0.997,0.000
12100,0.000,0.997,0.003
12200,0.000,0.997,0.003
12300,0.000,0.997,0.003
12400,0.000,0.997,0.003
12500,0.000,0.997,0.003
12600,0.000,0.997,0.003
12700,0.000,0.997,0.003
12800,0.000,0.997,0.003
12900,0.000,0.997,0.003
13000,0.000,0.997,0.003
13100,0.000,0.997,0.003
13200,0.000,0.997,0.003
13300,0.000,0.997,0.003
13400,0.000,0.997,0.003
13500,0.000,0.997,0.003
13600,0.000,0.997,0.003
13700,0.000,0.997,0.003
13800,0.000,0.997,0.003
13900,0.000,0.997,0.003
14000,0.000,0.997,0.003
14100,0.000,0.997,0.003
14200,0.000,0.997,0.003
14300,0.000,0.997,0.003
14400,0.000,0.997,0.003
14500,0.000,0.997,0.003
14600,0.000,0.997,0.003
14700,0.000,0.997,0.003
14800,0.000,0.997,0.003
14900,0.000,0.997,0.003
15000,0.000,0.997,0.003
15100,0.000,0.997,0.003
15200,0.000,0.997,0.003
15300,0.000,0.997,0.003
15400,0.000,1.000,0.000
