time,n_A+p,n_B,n_AB
100,0.425,0.404,0.171
200,0.404,0.379,0.217
300,0.428,0.352,0.220
400,0.422,0.336,0.242
500,0.413,0.297,0.291
600,0.416,0.266,0.318
700,0.391,0.287,0.321
800,0.394,0.309,0.297
900,0.407,0.312,0.281
1000,0.401,0.287,0.312
1100,0.376,0.300,0.324
1200,0.398,0.291,0.312
1300,0.382,0.324,0.294
1400,0.382,0.281,0.336
1500,0.401,0.300,0.300
1600,0.413,0.291,0.297
1700,0.410,0.297,0.294
1800,0.398,0.303,0.300
1900,0.422,0.287,0.291
2000,0.398,0.321,0.281
2100,0.370,0.321,0.309
2200,0.367,0.346,0.287
2300,0.422,0.327,0.251
2400,0.416,0.318,0.266
2500,0.443,0.300,0.257
2600,0.459,0.312,0.229
2700,0.434,0.297,0.269
2800,0.446,0.300,0.254
2900,0.443,0.275,0.281
3000,0.453,0.294,0.254
3100,0.446,0.287,0.266
3200,0.450,0.294,0.257
3300,0.489,0.242,0.269
3400,0.526,0.217,0.257
3500,0.535,0.214,0.251
3600,0.547,0.187,0.266
3700,0.578,0.223,0.199
3800,0.544,0.217,0.239
3900,0.523,0.248,0.229
4000,0.575,0.211,0.214
4100,0.541,0.196,0.263
4200,0.538,0.168,0.294
4300,0.550,0.168,0.281
4400,0.563,0.165,0.272
4500,0.569,0.190,0.242
4600,0.554,0.171,0.275
4700,0.566,0.177,0.257
4800,0.532,0.193,0.275
4900,0.535,0.183,0.281
5000,0.538,0.165,0.297
5100,0.563,0.147,0.291
5200,0.535,0.205,0.260
5300,0.587,0.162,0.251
5400,0.581,0.147,0.272
5500,0.554,0.180,0.266
5600,0.523,0.190,0.287
5700,0.523,0.177,0.300
5800,0.557,0.162,0.281
5900,0.517,0.196,0.287
6000,0.498,0.208,0.294
6100,0.520,0.205,0.275
6200,0.483,0.202,0.315
6300,0.523,0.162,0.315
6400,0.523,0.180,0.297
6500,0.538,0.187,0.275
6600,0.569,0.187,0.245
6700,0.554,0.193,0.254
6800,0.575,0.171,0.254
6900,0.602,0.171,0.226
7000,0.664,0.159,0.177
7100,0.654,0.174,0.171
7200,0.657,0.165,0.177
7300,0.661,0.150,0.190
7400,0.645,0.131,0.223
7500,0.627,0.144,0.229
7600,0.645,0.150,0.205
7700,0.651,0.122,0.226
7800,0.667,0.098,0.235
7900,0.667,0.095,0.239
8000,0.719,0.113,0.168
8100,0.722,0.095,0.183
8200,0.758,0.089,0.153
8300,0.728,0.095,0.177
8400,0.749,0.092,0.159
8500,0.716,0.092,0.193
8600,0.722,0.076,0.202
8700,0.740,0.092,0.168
8800,0.780,0.067,0.153
8900,0.792,0.076,0.131
9000,0.789,0.067,0.144
9100,0.780,0.070,0.150
9200,0.777,0.064,0.159
9300,0.801,0.058,0.141
9400,0.801,0.061,0.138
9500,0.798,0.061,0.141
9600,0.786,0.067,0.147
9700,0.804,0.052,0.144
9800,0.829,0.052,0.119
9900,0.829,0.049,0.122
10000,0.841,0.046,0.113
10100,0.844,0.043,0.113
10200,0.847,0.046,0.107
10300,0.869,0.040,0.092
10400,0.887,0.028,0.086
10500,0.890,0.021,0.089
10600,0.887,0.031,0.083
10700,0.872,0.049,0.080
10800,0.856,0.046,0.098
10900,0.847,0.046,0.107
11000,0.838,0.049,0.113
11100,0.853,0.052,0.095
11200,0.838,0.061,0.101
11300,0.826,0.055,0.119
11400,0.807,0.070,0.122
11500,0.820,0.052,0.128
11600,0.829,0.076,0.095
11700,0.835,0.061,0.104
11800,0.872,0.046,0.083
11900,0.887,0.058,0.055
12000,0.896,0.040,0.064
12100,0.924,0.024,0.052
12200,0.948,0.012,0.040
12300,0.948,0.006,0.046
12400,0.954,0.009,0.037
12500,0.957,0.015,0.028
12600,0.960,0.009,0.031
12700,0.963,0.006,0.031
12800,0.957,0.006,0.037
12900,0.966,0.003,0.031
13000,0.954,0.009,0.037
13100,0.957,0.006,0.037
13200,0.966,0.003,0.031
13300,0.972,0.003,0.024
13400,0.963,0.003,0.034
13500,0.957,0.003,0.040
13600,0.963,0.003,0.034
13700,0.960,0.003,0.037
13800,0.969,0.003,0.028
13900,0.969,0.000,0.031
14000,0.960,0.000,0.040
14100,0.951,0.000,0.049
14200,0.942,0.009,0.049
14300,0.924,0.018,0.058
14400,0.942,0.012,0.046
14500,0.945,0.012,0.043
14600,0.945,0.021,0.034
14700,0.945,0.015,0.040
14800,0.954,0.018,0.028
14900,0.942,0.018,0.040
15000,0.927,0.015,0.058
15100,0.927,0.028,0.046
15200,0.927,0.021,0.052
15300,0.927,0.012,0.061
15400,0.942,0.012,0.046
15500,0.942,0.009,0.049
15600,0.945,0.012,0.043
15700,0.948,0.012,0.040
15800,0.933,0.009,0.058
15900,0.905,0.012,0.083
16000,0.905,0.006,0.089
16100,0.905,0.024,0.070
16200,0.905,0.009,0.086
16300,0.914,0.012,0.073
16400,0.924,0.006,0.070
16500,0.948,0.003,0.049
16600,0.966,0.000,0.034
16700,0.969,0.000,0.031
16800,0.969,0.000,0.031
16900,0.976,0.000,0.024
17000,0.982,0.000,0.018
17100,0.985,0.000,0.015
17200,0.994,0.000,0.006
17300,0.994,0.000,0.006
17400,0.994,0.000,0.006
17500,0.997,0.000,0.003
17600,0.997,0.000,0.003
17700,0.997,0.000,0.003
17800,0.994,0.000,0.006
17900,0.994,0.000,0.006
18000,0.994,0.000,0.006
18100,0.997,0.000,0.003
18200,1.000,0.000,0.000
