time,n_A+p,n_B,n_AB
100,0.373,0.434,0.193
200,0.349,0.391,0.260
300,0.309,0.352,0.339
400,0.291,0.330,0.379
500,0.254,0.315,0.431
600,0.257,0.312,0.431
700,0.266,0.315,0.419
800,0.275,0.321,0.404
900,0.223,0.300,0.477
1000,0.239,0.281,0.480
1100,0.202,0.297,0.502
1200,0.174,0.300,0.526
1300,0.177,0.281,0.541
1400,0.208,0.294,0.498
1500,0.180,0.318,0.502
1600,0.190,0.321,0.489
1700,0.199,0.312,0.489
1800,0.196,0.330,0.474
1900,0.205,0.300,0.495
2000,0.229,0.278,0.492
2100,0.220,0.263,0.517
2200,0.217,0.254,0.529
2300,0.208,0.254,0.538
2400,0.242,0.220,0.538
2500,0.242,0.229,0.529
2600,0.242,0.214,0.544
2700,0.232,0.229,0.538
2800,0.281,0.214,0.505
2900,0.287,0.202,0.511
3000,0.300,0.177,0.523
3100,0.306,0.174,0.520
3200,0.312,0.156,0.532
3300,0.346,0.168,0.486
3400,0.321,0.171,0.508
3500,0.306,0.190,0.505
3600,0.281,0.208,0.511
3700,0.269,0.190,0.541
3800,0.229,0.217,0.554
3900,0.208,0.217,0.575
4000,0.211,0.217,0.572
4100,0.220,0.254,0.526
4200,0.242,0.211,0.547
4300,0.269,0.193,0.538
4400,0.260,0.205,0.535
4500,0.287,0.205,0.508
4600,0.281,0.205,0.514
4700,0.281,0.183,0.535
4800,0.251,0.217,0.532
4900,0.248,0.202,0.550
5000,0.242,0.211,0.547
5100,0.226,0.190,0.584
5200,0.251,0.171,0.578
5300,0.226,0.162,0.612
5400,0.235,0.183,0.581
5500,0.239,0.187,0.575
5600,0.245,0.174,0.581
5700,0.278,0.171,0.550
5800,0.251,0.202,0.547
5900,0.269,0.223,0.508
6000,0.272,0.211,0.517
6100,0.245,0.196,0.560
6200,0.235,0.193,0.572
6300,0.226,0.193,0.581
6400,0.205,0.223,0.572
6500,0.193,0.223,0.584
6600,0.211,0.226,0.563
6700,0.239,0.242,0.520
6800,0.226,0.272,0.502
6900,0.220,0.266,0.514
7000,0.205,0.275,0.520
7100,0.202,0.251,0.547
7200,0.183,0.251,0.566
7300,0.153,0.284,0.563
7400,0.187,0.257,0.557
7500,0.202,0.251,0.547
7600,0.177,0.266,0.557
7700,0.177,0.294,0.529
7800,0.202,0.309,0.489
7900,0.211,0.318,0.471
8000,0.214,0.248,0.538
8100,0.159,0.275,0.566
8200,0.174,0.251,0.575
8300,0.202,0.257,0.541
8400,0.226,0.266,0.508
8500,0.217,0.242,0.541
8600,0.214,0.251,0.535
8700,0.205,0.248,0.547
8800,0.202,0.254,0.544
8900,0.214,0.235,0.550
9000,0.208,0.272,0.520
9100,0.174,0.269,0.557
9200,0.168,0.272,0.560
9300,0.150,0.303,0.547
9400,0.174,0.327,0.498
9500,0.165,0.312,0.523
9600,0.165,0.309,0.526
9700,0.131,0.272,0.596
9800,0.128,0.312,0.560
9900,0.165,0.303,0.532
10000,0.153,0.312,0.535
10100,0.138,0.294,0.569
10200,0.116,0.327,0.557
10300,0.141,0.281,0.578
10400,0.171,0.275,0.554
10500,0.159,0.287,0.554
10600,0.153,0.294,0.554
10700,0.174,0.281,0.544
10800,0.183,0.260,0.557
10900,0.162,0.278,0.560
11000,0.135,0.294,0.572
11100,0.128,0.339,0.532
11200,0.153,0.297,0.550
11300,0.138,0.291,0.572
11400,0.156,0.294,0.550
11500,0.183,0.287,0.529
11600,0.205,0.284,0.511
11700,0.202,0.281,0.517
11800,0.190,0.287,0.523
11900,0.171,0.294,0.535
12000,0.177,0.278,0.544
12100,0.202,0.281,0.517
12200,0.199,0.303,0.498
12300,0.202,0.306,0.492
12400,0.171,0.263,0.566
12500,0.168,0.297,0.535
12600,0.156,0.291,0.554
12700,0.135,0.300,0.566
12800,0.138,0.294,0.569
12900,0.144,0.284,0.572
13000,0.141,0.321,0.538
13100,0.168,0.333,0.498
13200,0.156,0.333,0.511
13300,0.138,0.303,0.560
13400,0.144,0.300,0.557
13500,0.168,0.281,0.550
13600,0.162,0.287,0.550
13700,0.183,0.260,0.557
13800,0.202,0.254,0.544
13900,0.199,0.281,0.520
14000,0.187,0.303,0.511
14100,0.150,0.284,0.566
14200,0.162,0.278,0.560
14300,0.211,0.251,0.538
14400,0.220,0.248,0.532
14500,0.196,0.245,0.560
14600,0.202,0.239,0.560
14700,0.211,0.254,0.535
14800,0.168,0.266,0.566
14900,0.220,0.226,0.554
15000,0.251,0.229,0.520
15100,0.223,0.242,0.535
15200,0.205,0.254,0.541
15300,0.223,0.232,0.544
15400,0.183,0.232,0.584
15500,0.205,0.239,0.557
15600,0.205,0.245,0.550
15700,0.208,0.229,0.563
15800,0.223,0.254,0.523
15900,0.242,0.211,0.547
16000,0.226,0.171,0.602
16100,0.260,0.168,0.572
16200,0.242,0.199,0.560
16300,0.208,0.196,0.596
16400,0.214,0.193,0.593
16500,0.220,0.242,0.538
16600,0.205,0.242,0.554
16700,0.205,0.248,0.547
16800,0.187,0.232,0.581
16900,0.156,0.242,0.602
17000,0.141,0.269,0.590
17100,0.125,0.263,0.612
17200,0.162,0.297,0.541
17300,0.165,0.300,0.535
17400,0.147,0.291,0.563
17500,0.150,0.284,0.566
17600,0.171,0.309,0.520
17700,0.177,0.321,0.502
17800,0.205,0.291,0.505
17900,0.199,0.321,0.480
18000,0.165,0.324,0.511
18100,0.187,0.303,0.511
18200,0.187,0.281,0.532
18300,0.180,0.272,0.547
18400,0.183,0.257,0.560
18500,0.196,0.211,0.593
18600,0.177,0.242,0.581
18700,0.165,0.266,0.569
18800,0.153,0.275,0.572
18900,0.131,0.291,0.578
19000,0.153,0.287,0.560
19100,0.187,0.330,0.483
19200,0.159,0.303,0.538
19300,0.174,0.284,0.541
19400,0.147,0.254,0.599
19500,0.171,0.232,0.596
19600,0.144,0.226,0.630
19700,0.135,0.220,0.645
19800,0.135,0.220,0.645
19900,0.135,0.251,0.615
20000,0.147,0.242,0.612
20100,0.141,0.226,0.633
20200,0.107,0.260,0.633
20300,0.159,0.235,0.606
20400,0.159,0.242,0.599
20500,0.187,0.251,0.563
20600,0.211,0.239,0.550
20700,0.208,0.239,0.554
20800,0.199,0.220,0.581
20900,0.202,0.208,0.590
21000,0.177,0.208,0.615
21100,0.193,0.235,0.572
21200,0.196,0.229,0.575
21300,0.208,0.229,0.563
21400,0.226,0.217,0.557
21500,0.226,0.248,0.526
21600,0.223,0.242,0.535
21700,0.211,0.232,0.557
21800,0.171,0.251,0.578
21900,0.171,0.278,0.550
22000,0.174,0.278,0.547
22100,0.171,0.287,0.541
22200,0.205,0.266,0.529
22300,0.226,0.260,0.514
22400,0.226,0.266,0.508
22500,0.214,0.254,0.532
22600,0.196,0.223,0.581
22700,0.214,0.196,0.590
22800,0.226,0.217,0.557
22900,0.205,0.229,0.566
23000,0.196,0.199,0.606
23100,0.211,0.199,0.590
23200,0.272,0.171,0.557
23300,0.242,0.174,0.584
23400,0.278,0.153,0.569
23500,0.275,0.153,0.572
23600,0.263,0.165,0.572
23700,0.251,0.177,0.572
23800,0.226,0.180,0.593
23900,0.226,0.180,0.593
24000,0.208,0.187,0.606
24100,0.196,0.205,0.599
24200,0.177,0.220,0.602
24300,0.183,0.226,0.590
24400,0.187,0.217,0.596
24500,0.193,0.220,0.587
24600,0.223,0.190,0.587
24700,0.226,0.208,0.566
24800,0.211,0.208,0.581
24900,0.239,0.223,0.538
25000,0.239,0.214,0.547
25100,0.208,0.211,0.581
25200,0.220,0.171,0.609
25300,0.208,0.177,0.615
25400,0.257,0.141,0.602
25500,0.248,0.171,0.581
25600,0.266,0.174,0.560
25700,0.257,0.183,0.560
25800,0.287,0.193,0.520
25900,0.291,0.183,0.526
26000,0.278,0.190,0.532
26100,0.284,0.183,0.532
26200,0.297,0.147,0.557
26300,0.272,0.153,0.575
26400,0.275,0.147,0.578
26500,0.260,0.171,0.569
26600,0.254,0.165,0.581
26700,0.257,0.168,0.575
26800,0.297,0.165,0.538
26900,0.303,0.168,0.529
27000,0.281,0.187,0.532
27100,0.315,0.180,0.505
27200,0.324,0.171,0.505
27300,0.321,0.174,0.505
27400,0.294,0.156,0.550
27500,0.284,0.147,0.569
27600,0.284,0.150,0.566
27700,0.333,0.128,0.538
27800,0.321,0.147,0.532
27900,0.303,0.125,0.572
28000,0.284,0.113,0.602
28100,0.272,0.125,0.602
28200,0.254,0.135,0.612
28300,0.266,0.128,0.606
28400,0.245,0.183,0.572
28500,0.229,0.187,0.584
28600,0.223,0.211,0.566
28700,0.239,0.183,0.578
28800,0.263,0.193,0.544
28900,0.214,0.193,0.593
29000,0.205,0.208,0.587
29100,0.226,0.202,0.572
29200,0.242,0.177,0.581
29300,0.278,0.174,0.547
29400,0.291,0.187,0.523
29500,0.263,0.165,0.572
29600,0.242,0.168,0.590
29700,0.272,0.171,0.557
29800,0.232,0.171,0.596
29900,0.239,0.180,0.581
30000,0.239,0.162,0.599
30100,0.205,0.177,0.618
30200,0.174,0.217,0.609
30300,0.177,0.208,0.615
30400,0.168,0.196,0.636
30500,0.196,0.208,0.596
30600,0.199,0.196,0.606
30700,0.187,0.193,0.621
30800,0.193,0.180,0.627
30900,0.226,0.183,0.590
31000,0.232,0.177,0.590
31100,0.248,0.174,0.578
31200,0.245,0.202,0.554
31300,0.248,0.211,0.541
31400,0.275,0.180,0.544
31500,0.333,0.138,0.529
31600,0.339,0.141,0.520
31700,0.343,0.122,0.535
31800,0.327,0.125,0.547
31900,0.324,0.144,0.532
32000,0.324,0.159,0.517
32100,0.287,0.156,0.557
32200,0.303,0.150,0.547
32300,0.284,0.162,0.554
32400,0.281,0.153,0.566
32500,0.297,0.193,0.511
32600,0.309,0.183,0.508
32700,0.300,0.196,0.505
32800,0.306,0.174,0.520
32900,0.284,0.165,0.550
33000,0.266,0.190,0.544
33100,0.257,0.190,0.554
33200,0.272,0.183,0.544
33300,0.266,0.180,0.554
33400,0.254,0.193,0.554
33500,0.278,0.205,0.517
33600,0.303,0.168,0.529
33700,0.303,0.159,0.538
33800,0.312,0.159,0.529
33900,0.287,0.183,0.529
34000,0.281,0.187,0.532
34100,0.284,0.199,0.517
34200,0.291,0.190,0.520
34300,0.321,0.217,0.462
34400,0.303,0.177,0.520
34500,0.315,0.190,0.495
34600,0.318,0.187,0.495
34700,0.336,0.205,0.459
34800,0.306,0.220,0.474
34900,0.272,0.223,0.505
35000,0.254,0.193,0.554
35100,0.248,0.205,0.547
35200,0.248,0.202,0.550
35300,0.248,0.251,0.502
35400,0.251,0.251,0.498
35500,0.260,0.251,0.489
35600,0.266,0.245,0.489
35700,0.239,0.220,0.541
35800,0.257,0.199,0.544
35900,0.248,0.190,0.563
36000,0.257,0.187,0.557
36100,0.217,0.211,0.572
36200,0.217,0.232,0.550
36300,0.187,0.260,0.554
36400,0.187,0.275,0.538
36500,0.208,0.251,0.541
36600,0.187,0.248,0.566
36700,0.177,0.235,0.587
36800,0.187,0.226,0.587
36900,0.177,0.248,0.575
37000,0.183,0.266,0.550
37100,0.187,0.272,0.541
37200,0.229,0.226,0.544
37300,0.193,0.242,0.566
37400,0.183,0.232,0.584
37500,0.229,0.229,0.541
37600,0.235,0.254,0.511
37700,0.235,0.232,0.532
37800,0.251,0.220,0.529
37900,0.248,0.208,0.544
38000,0.211,0.217,0.572
38100,0.214,0.214,0.572
38200,0.226,0.242,0.532
38300,0.220,0.251,0.529
38400,0.239,0.229,0.532
38500,0.223,0.248,0.529
38600,0.239,0.245,0.517
38700,0.251,0.226,0.523
38800,0.263,0.232,0.505
38900,0.275,0.232,0.492
39000,0.263,0.229,0.508
39100,0.269,0.199,0.532
39200,0.281,0.165,0.554
39300,0.287,0.147,0.566
39400,0.278,0.150,0.572
39500,0.284,0.177,0.538
39600,0.260,0.208,0.532
39700,0.272,0.202,0.526
39800,0.281,0.187,0.532
39900,0.260,0.205,0.535
40000,0.251,0.165,0.584
40100,0.239,0.177,0.584
40200,0.235,0.180,0.584
40300,0.260,0.171,0.569
40400,0.260,0.174,0.566
40500,0.266,0.180,0.554
40600,0.257,0.174,0.569
40700,0.284,0.165,0.550
40800,0.251,0.156,0.593
40900,0.275,0.162,0.563
41000,0.239,0.177,0.584
41100,0.272,0.165,0.563
41200,0.269,0.165,0.566
41300,0.294,0.180,0.526
41400,0.297,0.180,0.523
41500,0.275,0.199,0.526
41600,0.281,0.190,0.529
41700,0.260,0.165,0.575
41800,0.263,0.187,0.550
41900,0.232,0.232,0.535
42000,0.260,0.232,0.508
42100,0.245,0.245,0.511
42200,0.257,0.211,0.532
42300,0.257,0.269,0.474
42400,0.235,0.260,0.505
42500,0.251,0.232,0.517
42600,0.266,0.232,0.502
42700,0.266,0.220,0.514
42800,0.266,0.257,0.477
42900,0.235,0.226,0.538
43000,0.239,0.242,0.520
43100,0.245,0.232,0.523
43200,0.248,0.226,0.526
43300,0.217,0.232,0.550
43400,0.199,0.275,0.526
43500,0.208,0.297,0.495
43600,0.223,0.269,0.508
43700,0.214,0.287,0.498
43800,0.190,0.269,0.541
43900,0.165,0.254,0.581
