time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.028,0.945,0.028,0.065210
1000,0.028,0.945,0.028,0.075381
1500,0.028,0.899,0.074,0.144592
2000,0.028,0.940,0.032,0.076081
2500,0.028,0.959,0.014,0.051029
3000,0.028,0.903,0.069,0.120751
3500,0.032,0.894,0.074,0.129630
4000,0.037,0.899,0.065,0.149696
4500,0.028,0.908,0.065,0.110057
5000,0.037,0.917,0.046,0.113036
5500,0.032,0.894,0.074,0.141560
6000,0.028,0.880,0.092,0.146020
6500,0.032,0.908,0.060,0.127701
7000,0.032,0.917,0.051,0.101049
7500,0.046,0.908,0.046,0.113729
8000,0.037,0.876,0.088,0.173165
8500,0.046,0.857,0.097,0.168426
9000,0.032,0.871,0.097,0.140662
9500,0.037,0.871,0.092,0.142578
10000,0.041,0.917,0.041,0.090961
10500,0.041,0.889,0.069,0.146531
11000,0.037,0.843,0.120,0.205727
11500,0.041,0.848,0.111,0.194509
12000,0.046,0.885,0.069,0.154007
12500,0.032,0.889,0.078,0.138265
13000,0.028,0.908,0.065,0.113699
13500,0.028,0.935,0.037,0.080308
14000,0.041,0.871,0.088,0.175443
14500,0.032,0.885,0.083,0.150103
15000,0.028,0.926,0.046,0.092601
15500,0.028,0.931,0.041,0.091794
16000,0.028,0.917,0.055,0.107869
16500,0.032,0.848,0.120,0.195129
17000,0.032,0.908,0.060,0.135454
17500,0.028,0.899,0.074,0.137078
18000,0.032,0.880,0.088,0.152866
18500,0.032,0.876,0.092,0.151096
19000,0.028,0.903,0.069,0.125903
19500,0.028,0.899,0.074,0.123633
20000,0.032,0.949,0.018,0.075286
20500,0.028,0.940,0.032,0.085560
21000,0.028,0.945,0.028,0.081201
21500,0.028,0.949,0.023,0.060900
22000,0.028,0.931,0.041,0.089965
22500,0.028,0.917,0.055,0.095030
23000,0.032,0.922,0.046,0.109955
23500,0.028,0.940,0.032,0.084061
24000,0.037,0.917,0.046,0.103005
24500,0.032,0.894,0.074,0.136445
25000,0.037,0.894,0.069,0.147679
25500,0.028,0.912,0.060,0.108773
26000,0.032,0.931,0.037,0.081173
26500,0.028,0.894,0.078,0.138072
27000,0.037,0.899,0.065,0.134660
27500,0.046,0.848,0.106,0.191695
28000,0.055,0.839,0.106,0.210577
28500,0.032,0.940,0.028,0.066583
29000,0.028,0.862,0.111,0.164995
29500,0.032,0.866,0.101,0.172716
30000,0.028,0.903,0.069,0.126293
30500,0.028,0.945,0.028,0.080593
31000,0.028,0.912,0.060,0.115451
31500,0.032,0.922,0.046,0.114625
32000,0.032,0.853,0.115,0.212303
32500,0.028,0.940,0.032,0.083567
33000,0.032,0.922,0.046,0.092984
33500,0.032,0.912,0.055,0.118556
34000,0.028,0.862,0.111,0.187010
34500,0.041,0.903,0.055,0.133697
35000,0.037,0.908,0.055,0.122053
35500,0.028,0.922,0.051,0.111774
36000,0.028,0.935,0.037,0.085697
36500,0.032,0.894,0.074,0.136171
37000,0.028,0.922,0.051,0.095078
37500,0.032,0.908,0.060,0.110966
38000,0.037,0.912,0.051,0.111751
38500,0.051,0.866,0.083,0.165747
39000,0.032,0.885,0.083,0.148506
39500,0.028,0.908,0.065,0.119279
40000,0.028,0.945,0.028,0.060744
40500,0.028,0.889,0.083,0.155929
41000,0.032,0.894,0.074,0.138527
41500,0.028,0.945,0.028,0.074354
42000,0.028,0.940,0.032,0.076756
42500,0.028,0.954,0.018,0.055900
43000,0.028,0.940,0.032,0.080428
43500,0.028,0.949,0.023,0.068187
44000,0.028,0.903,0.069,0.143702
44500,0.028,0.959,0.014,0.059060
45000,0.028,0.931,0.041,0.100588
45500,0.028,0.903,0.069,0.125587
46000,0.028,0.922,0.051,0.103716
46500,0.028,0.945,0.028,0.067092
47000,0.028,0.931,0.041,0.100088
47500,0.028,0.917,0.055,0.112947
48000,0.028,0.926,0.046,0.112610
48500,0.028,0.912,0.060,0.127261
49000,0.028,0.931,0.041,0.093142
49500,0.037,0.922,0.041,0.107208
50000,0.037,0.899,0.065,0.136678
50500,0.032,0.871,0.097,0.186144
51000,0.041,0.903,0.055,0.140588
51500,0.041,0.889,0.069,0.132880
52000,0.032,0.903,0.065,0.118036
52500,0.032,0.917,0.051,0.118556
53000,0.028,0.949,0.023,0.066534
53500,0.032,0.949,0.018,0.069042
54000,0.028,0.917,0.055,0.112440
54500,0.028,0.945,0.028,0.079808
55000,0.032,0.862,0.106,0.199889
55500,0.028,0.871,0.101,0.167930
56000,0.037,0.880,0.083,0.173629
56500,0.046,0.885,0.069,0.155678
57000,0.028,0.912,0.060,0.116865
57500,0.032,0.889,0.078,0.148900
58000,0.032,0.917,0.051,0.123972
58500,0.032,0.903,0.065,0.124157
59000,0.032,0.945,0.023,0.068338
59500,0.032,0.917,0.051,0.100813
60000,0.032,0.903,0.065,0.126432
60500,0.028,0.908,0.065,0.140493
61000,0.037,0.922,0.041,0.106785
61500,0.051,0.853,0.097,0.216024
62000,0.028,0.889,0.083,0.161516
62500,0.028,0.917,0.055,0.112909
63000,0.032,0.940,0.028,0.076281
63500,0.028,0.912,0.060,0.107859
64000,0.041,0.903,0.055,0.117679
64500,0.028,0.880,0.092,0.163864
65000,0.037,0.922,0.041,0.098484
65500,0.041,0.922,0.037,0.094806
66000,0.041,0.894,0.065,0.144810
66500,0.032,0.922,0.046,0.099043
67000,0.028,0.949,0.023,0.065327
67500,0.028,0.940,0.032,0.073068
68000,0.028,0.894,0.078,0.124785
68500,0.046,0.848,0.106,0.195631
69000,0.032,0.880,0.088,0.144466
69500,0.046,0.848,0.106,0.187982
70000,0.032,0.899,0.069,0.137120
70500,0.028,0.922,0.051,0.110081
71000,0.032,0.949,0.018,0.072551
71500,0.032,0.912,0.055,0.125364
72000,0.028,0.922,0.051,0.112195
72500,0.032,0.949,0.018,0.065060
73000,0.037,0.917,0.046,0.114967
73500,0.032,0.912,0.055,0.113529
74000,0.037,0.922,0.041,0.095681
74500,0.037,0.917,0.046,0.112896
75000,0.032,0.940,0.028,0.075938
75500,0.032,0.949,0.018,0.066894
76000,0.028,0.922,0.051,0.095433
76500,0.028,0.876,0.097,0.174290
77000,0.037,0.931,0.032,0.101161
77500,0.032,0.903,0.065,0.136510
78000,0.032,0.954,0.014,0.059224
78500,0.028,0.889,0.083,0.172304
79000,0.028,0.935,0.037,0.099703
79500,0.028,0.889,0.083,0.149589
80000,0.028,0.894,0.078,0.150923
80500,0.028,0.917,0.055,0.118604
81000,0.028,0.949,0.023,0.078825
81500,0.037,0.912,0.051,0.102484
82000,0.028,0.940,0.032,0.075738
82500,0.028,0.926,0.046,0.109779
83000,0.028,0.931,0.041,0.106913
83500,0.028,0.949,0.023,0.068269
84000,0.028,0.954,0.018,0.062677
84500,0.028,0.935,0.037,0.087449
85000,0.041,0.871,0.088,0.173280
85500,0.037,0.871,0.092,0.158769
86000,0.032,0.853,0.115,0.179253
86500,0.051,0.922,0.028,0.098741
87000,0.037,0.917,0.046,0.108599
87500,0.032,0.899,0.069,0.129618
88000,0.032,0.931,0.037,0.079956
88500,0.028,0.922,0.051,0.102558
89000,0.028,0.922,0.051,0.110153
89500,0.028,0.940,0.032,0.086628
90000,0.032,0.899,0.069,0.142555
90500,0.032,0.908,0.060,0.127523
91000,0.037,0.885,0.078,0.153607
91500,0.032,0.871,0.097,0.164733
92000,0.051,0.866,0.083,0.172018
92500,0.028,0.839,0.134,0.208683
93000,0.028,0.922,0.051,0.114469
93500,0.028,0.945,0.028,0.071947
94000,0.028,0.945,0.028,0.069135
94500,0.028,0.963,0.009,0.054817
95000,0.028,0.922,0.051,0.117060
95500,0.041,0.899,0.060,0.127028
96000,0.032,0.912,0.055,0.119630
96500,0.028,0.903,0.069,0.126871
97000,0.028,0.922,0.051,0.095864
97500,0.028,0.885,0.088,0.137583
98000,0.032,0.889,0.078,0.141836
98500,0.041,0.931,0.028,0.084954
99000,0.032,0.894,0.074,0.129607
99500,0.032,0.894,0.074,0.146944
100000,0.037,0.912,0.051,0.121242
