time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.033,0.917,0.050,0.131077
1000,0.037,0.905,0.058,0.166194
1500,0.050,0.888,0.062,0.180631
2000,0.033,0.950,0.017,0.088824
2500,0.037,0.905,0.058,0.153044
3000,0.037,0.934,0.029,0.112391
3500,0.037,0.913,0.050,0.152153
4000,0.033,0.905,0.062,0.143197
4500,0.033,0.926,0.041,0.125455
5000,0.033,0.921,0.045,0.134288
5500,0.054,0.905,0.041,0.139055
6000,0.050,0.901,0.050,0.158773
6500,0.037,0.893,0.070,0.145207
7000,0.050,0.897,0.054,0.167847
7500,0.045,0.930,0.025,0.117751
8000,0.045,0.909,0.045,0.132669
8500,0.045,0.905,0.050,0.174181
9000,0.050,0.884,0.066,0.178569
9500,0.074,0.864,0.062,0.212131
10000,0.074,0.802,0.124,0.305157
10500,0.079,0.798,0.124,0.301879
11000,0.058,0.847,0.095,0.239816
11500,0.029,0.917,0.054,0.146165
12000,0.037,0.921,0.041,0.153110
12500,0.029,0.901,0.070,0.156497
13000,0.033,0.930,0.037,0.116612
13500,0.033,0.930,0.037,0.109803
14000,0.029,0.905,0.066,0.160223
14500,0.029,0.917,0.054,0.141319
15000,0.029,0.913,0.058,0.148966
15500,0.033,0.934,0.033,0.108152
16000,0.037,0.901,0.062,0.166275
16500,0.045,0.909,0.045,0.139367
17000,0.029,0.938,0.033,0.097910
17500,0.029,0.938,0.033,0.103227
18000,0.029,0.959,0.012,0.077229
18500,0.029,0.942,0.029,0.098597
19000,0.045,0.913,0.041,0.131036
19500,0.041,0.905,0.054,0.141473
20000,0.070,0.851,0.079,0.222527
20500,0.062,0.847,0.091,0.209117
21000,0.083,0.835,0.083,0.234576
21500,0.083,0.831,0.087,0.237039
22000,0.066,0.860,0.074,0.216381
22500,0.083,0.814,0.103,0.266775
23000,0.095,0.818,0.087,0.270264
23500,0.066,0.847,0.087,0.209191
24000,0.045,0.917,0.037,0.130040
24500,0.033,0.942,0.025,0.098449
25000,0.066,0.880,0.054,0.214689
25500,0.029,0.942,0.029,0.103754
26000,0.029,0.938,0.033,0.096277
26500,0.037,0.888,0.074,0.162897
27000,0.041,0.851,0.107,0.183407
27500,0.066,0.901,0.033,0.150313
28000,0.045,0.872,0.083,0.189159
28500,0.054,0.868,0.079,0.198523
29000,0.033,0.909,0.058,0.146827
29500,0.041,0.905,0.054,0.152087
30000,0.050,0.888,0.062,0.158078
30500,0.045,0.913,0.041,0.130535
31000,0.037,0.917,0.045,0.121117
31500,0.029,0.934,0.037,0.096951
32000,0.029,0.946,0.025,0.086753
32500,0.062,0.884,0.054,0.182940
33000,0.083,0.806,0.112,0.282319
33500,0.079,0.822,0.099,0.257881
34000,0.045,0.826,0.128,0.249467
34500,0.050,0.855,0.095,0.209434
35000,0.033,0.884,0.083,0.161399
35500,0.050,0.847,0.103,0.235136
36000,0.037,0.893,0.070,0.152731
36500,0.045,0.868,0.087,0.194914
37000,0.037,0.905,0.058,0.146559
37500,0.050,0.872,0.079,0.188761
38000,0.037,0.855,0.107,0.198738
38500,0.050,0.880,0.070,0.189234
39000,0.041,0.897,0.062,0.161014
39500,0.037,0.909,0.054,0.159885
40000,0.045,0.876,0.079,0.209880
40500,0.041,0.876,0.083,0.203830
41000,0.033,0.884,0.083,0.196389
41500,0.037,0.893,0.070,0.154209
42000,0.062,0.860,0.079,0.227057
42500,0.037,0.926,0.037,0.131365
43000,0.029,0.917,0.054,0.149883
43500,0.050,0.917,0.033,0.144611
44000,0.029,0.909,0.062,0.139053
44500,0.054,0.880,0.066,0.191331
45000,0.095,0.847,0.058,0.235543
45500,0.074,0.847,0.079,0.247773
46000,0.050,0.855,0.095,0.216331
46500,0.029,0.913,0.058,0.125342
47000,0.045,0.897,0.058,0.152591
47500,0.033,0.938,0.029,0.088268
48000,0.029,0.917,0.054,0.136845
48500,0.045,0.917,0.037,0.137539
49000,0.062,0.835,0.103,0.250609
49500,0.054,0.831,0.116,0.246834
50000,0.041,0.884,0.074,0.169078
50500,0.058,0.901,0.041,0.158088
51000,0.054,0.860,0.087,0.218863
51500,0.029,0.917,0.054,0.150176
52000,0.041,0.942,0.017,0.102986
52500,0.037,0.913,0.050,0.128609
53000,0.050,0.843,0.107,0.239201
53500,0.037,0.884,0.079,0.175237
54000,0.054,0.876,0.070,0.189917
54500,0.083,0.826,0.091,0.269571
55000,0.062,0.843,0.095,0.225658
55500,0.079,0.868,0.054,0.189926
56000,0.070,0.814,0.116,0.262348
56500,0.033,0.864,0.103,0.217637
57000,0.037,0.909,0.054,0.142613
57500,0.033,0.921,0.045,0.136181
58000,0.037,0.934,0.029,0.109176
58500,0.029,0.921,0.050,0.118003
59000,0.029,0.938,0.033,0.101518
59500,0.029,0.893,0.079,0.172527
60000,0.058,0.880,0.062,0.157824
60500,0.037,0.868,0.095,0.179870
61000,0.045,0.888,0.066,0.163869
61500,0.054,0.868,0.079,0.159784
62000,0.041,0.917,0.041,0.131922
62500,0.054,0.860,0.087,0.227312
63000,0.058,0.884,0.058,0.179189
63500,0.050,0.905,0.045,0.143693
64000,0.033,0.909,0.058,0.136174
64500,0.050,0.851,0.099,0.214983
65000,0.041,0.843,0.116,0.224742
65500,0.058,0.851,0.091,0.203671
66000,0.070,0.839,0.091,0.228727
66500,0.045,0.888,0.066,0.172871
67000,0.054,0.860,0.087,0.226858
67500,0.050,0.888,0.062,0.170683
68000,0.050,0.893,0.058,0.179875
68500,0.041,0.872,0.087,0.186747
69000,0.033,0.897,0.070,0.157863
69500,0.033,0.893,0.074,0.166284
70000,0.050,0.872,0.079,0.205465
70500,0.054,0.888,0.058,0.173015
71000,0.029,0.901,0.070,0.155302
71500,0.037,0.930,0.033,0.113796
72000,0.050,0.893,0.058,0.159206
72500,0.033,0.926,0.041,0.112462
73000,0.050,0.843,0.107,0.230873
73500,0.054,0.901,0.045,0.107772
74000,0.045,0.901,0.054,0.113279
74500,0.045,0.921,0.033,0.116829
75000,0.033,0.921,0.045,0.137815
75500,0.041,0.913,0.045,0.149840
76000,0.045,0.884,0.070,0.185409
76500,0.037,0.905,0.058,0.137160
77000,0.033,0.893,0.074,0.183988
77500,0.029,0.921,0.050,0.117275
78000,0.050,0.917,0.033,0.132815
78500,0.045,0.888,0.066,0.172362
79000,0.029,0.905,0.066,0.144145
79500,0.037,0.893,0.070,0.155642
80000,0.041,0.872,0.087,0.189581
80500,0.045,0.880,0.074,0.181977
81000,0.050,0.888,0.062,0.169860
81500,0.033,0.909,0.058,0.136214
82000,0.041,0.921,0.037,0.123982
82500,0.054,0.893,0.054,0.136848
83000,0.041,0.913,0.045,0.142659
83500,0.037,0.893,0.070,0.180982
84000,0.054,0.884,0.062,0.178161
84500,0.029,0.913,0.058,0.132458
85000,0.058,0.860,0.083,0.199995
85500,0.070,0.818,0.112,0.292609
86000,0.058,0.860,0.083,0.222299
86500,0.041,0.909,0.050,0.129777
87000,0.029,0.888,0.083,0.153383
87500,0.037,0.893,0.070,0.156646
88000,0.062,0.822,0.116,0.262949
88500,0.062,0.855,0.083,0.222265
89000,0.037,0.872,0.091,0.187694
89500,0.037,0.926,0.037,0.105760
90000,0.041,0.913,0.045,0.147198
90500,0.029,0.905,0.066,0.158862
91000,0.033,0.905,0.062,0.149256
91500,0.029,0.901,0.070,0.156742
92000,0.037,0.905,0.058,0.151379
92500,0.029,0.901,0.070,0.176360
93000,0.033,0.909,0.058,0.165216
93500,0.062,0.864,0.074,0.211978
94000,0.037,0.884,0.079,0.173154
94500,0.037,0.934,0.029,0.103426
95000,0.029,0.921,0.050,0.118417
95500,0.029,0.934,0.037,0.102053
96000,0.050,0.913,0.037,0.154070
96500,0.070,0.814,0.116,0.262048
97000,0.037,0.905,0.058,0.139426
97500,0.033,0.930,0.037,0.120182
98000,0.058,0.864,0.079,0.218529
98500,0.029,0.901,0.070,0.172859
99000,0.054,0.860,0.087,0.190157
99500,0.033,0.905,0.062,0.152049
100000,0.033,0.930,0.037,0.097909
