time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.030,0.921,0.050,0.141258
1000,0.030,0.868,0.102,0.209008
1500,0.035,0.814,0.151,0.269225
2000,0.037,0.799,0.164,0.284096
2500,0.047,0.797,0.156,0.270112
3000,0.032,0.816,0.151,0.236717
3500,0.042,0.797,0.161,0.281789
4000,0.042,0.801,0.156,0.248794
4500,0.042,0.720,0.238,0.334137
5000,0.062,0.687,0.251,0.366994
5500,0.047,0.702,0.251,0.353604
6000,0.065,0.690,0.246,0.358744
6500,0.072,0.675,0.253,0.366879
7000,0.069,0.628,0.303,0.403914
7500,0.079,0.630,0.290,0.398986
8000,0.089,0.600,0.310,0.428292
8500,0.107,0.583,0.310,0.423830
9000,0.132,0.568,0.300,0.430916
9500,0.104,0.509,0.387,0.440346
10000,0.132,0.459,0.409,0.466579
10500,0.141,0.464,0.395,0.472055
11000,0.141,0.509,0.350,0.447897
11500,0.169,0.432,0.400,0.466668
12000,0.179,0.412,0.409,0.486820
12500,0.191,0.387,0.422,0.483096
13000,0.189,0.380,0.432,0.485189
13500,0.216,0.367,0.417,0.488223
14000,0.206,0.352,0.442,0.486782
14500,0.189,0.333,0.479,0.471008
15000,0.203,0.318,0.479,0.483592
15500,0.248,0.305,0.447,0.480541
16000,0.320,0.241,0.439,0.481692
16500,0.313,0.231,0.457,0.465870
17000,0.258,0.268,0.474,0.474127
17500,0.248,0.377,0.375,0.496404
18000,0.243,0.362,0.395,0.494852
18500,0.263,0.333,0.404,0.483890
19000,0.263,0.293,0.444,0.494277
19500,0.303,0.243,0.454,0.490051
20000,0.290,0.223,0.486,0.463346
20500,0.300,0.280,0.419,0.490463
21000,0.270,0.268,0.462,0.480277
21500,0.313,0.223,0.464,0.483693
22000,0.305,0.273,0.422,0.492676
22500,0.357,0.263,0.380,0.493228
23000,0.315,0.231,0.454,0.478829
23500,0.365,0.186,0.449,0.458354
24000,0.419,0.199,0.382,0.475233
24500,0.449,0.174,0.377,0.454386
25000,0.467,0.149,0.385,0.443317
25500,0.506,0.151,0.342,0.438483
26000,0.568,0.127,0.305,0.397502
26500,0.536,0.129,0.335,0.431943
27000,0.501,0.127,0.372,0.444189
27500,0.566,0.109,0.325,0.406962
28000,0.618,0.084,0.298,0.366512
28500,0.625,0.069,0.305,0.356834
29000,0.643,0.077,0.280,0.353445
29500,0.653,0.084,0.263,0.361805
30000,0.663,0.052,0.285,0.341538
30500,0.687,0.035,0.278,0.313085
31000,0.767,0.052,0.181,0.275241
31500,0.754,0.032,0.213,0.270868
32000,0.764,0.035,0.201,0.268803
32500,0.801,0.017,0.181,0.215657
33000,0.839,0.017,0.144,0.180555
33500,0.831,0.020,0.149,0.197000
34000,0.839,0.015,0.146,0.185821
34500,0.873,0.010,0.117,0.151704
35000,0.911,0.005,0.084,0.099775
35500,0.935,0.002,0.062,0.076639
36000,0.931,0.002,0.067,0.078190
36500,0.916,0.002,0.082,0.107854
37000,0.935,0.002,0.062,0.070523
37500,0.943,0.002,0.055,0.057044
38000,0.968,0.002,0.030,0.029093
38500,0.983,0.000,0.017,0.008009
39000,0.978,0.000,0.022,0.012019
39500,0.963,0.000,0.037,0.034369
40000,0.973,0.000,0.027,0.018582
40500,0.973,0.000,0.027,0.023993
41000,0.990,0.000,0.010,0.003802
41500,0.993,0.000,0.007,0.000985
42000,0.993,0.000,0.007,0.000985
42500,0.993,0.000,0.007,0.000985
43000,0.993,0.000,0.007,0.000985
43500,0.993,0.000,0.007,0.000985
44000,0.993,0.000,0.007,0.000985
44500,0.993,0.000,0.007,0.000985
45000,0.995,0.000,0.005,0.000448
45500,0.995,0.000,0.005,0.000448
46000,0.993,0.000,0.007,0.000985
46500,0.995,0.000,0.005,0.000806
47000,0.995,0.000,0.005,0.000806
47500,0.995,0.000,0.005,0.000806
48000,0.995,0.000,0.005,0.000806
48500,0.995,0.000,0.005,0.000806
49000,0.995,0.000,0.005,0.000806
49500,0.995,0.000,0.005,0.000806
50000,1.000,0.000,0.000,0.000000
