time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.032,0.896,0.072,0.161927
1000,0.045,0.794,0.161,0.295084
1500,0.040,0.739,0.221,0.336967
2000,0.069,0.645,0.285,0.408174
2500,0.074,0.561,0.365,0.428972
3000,0.092,0.489,0.419,0.441711
3500,0.087,0.417,0.496,0.425355
4000,0.112,0.365,0.524,0.418714
4500,0.127,0.305,0.568,0.411177
5000,0.176,0.310,0.514,0.462304
5500,0.139,0.342,0.519,0.432249
6000,0.156,0.295,0.548,0.433460
6500,0.179,0.290,0.531,0.448916
7000,0.181,0.253,0.566,0.423679
7500,0.228,0.246,0.526,0.451158
8000,0.191,0.216,0.593,0.398854
8500,0.196,0.211,0.593,0.401291
9000,0.171,0.226,0.603,0.414668
9500,0.159,0.266,0.576,0.431585
10000,0.191,0.256,0.553,0.434748
10500,0.201,0.226,0.573,0.433612
11000,0.171,0.208,0.620,0.388329
11500,0.181,0.213,0.605,0.406198
12000,0.203,0.186,0.610,0.415694
12500,0.171,0.233,0.596,0.419588
13000,0.221,0.216,0.563,0.443962
13500,0.216,0.208,0.576,0.439678
14000,0.263,0.181,0.556,0.440554
14500,0.238,0.208,0.553,0.437374
15000,0.293,0.174,0.533,0.445495
15500,0.310,0.159,0.531,0.446073
16000,0.228,0.149,0.623,0.392737
16500,0.256,0.134,0.610,0.395370
17000,0.243,0.144,0.613,0.401555
17500,0.246,0.154,0.600,0.410601
18000,0.266,0.156,0.578,0.430958
18500,0.208,0.154,0.638,0.398296
19000,0.263,0.102,0.635,0.403920
19500,0.231,0.141,0.628,0.414200
20000,0.261,0.119,0.620,0.387447
20500,0.248,0.144,0.608,0.408302
21000,0.243,0.146,0.610,0.409481
21500,0.320,0.109,0.571,0.426321
22000,0.268,0.151,0.581,0.447385
22500,0.251,0.139,0.610,0.418484
23000,0.258,0.171,0.571,0.448142
23500,0.241,0.154,0.605,0.403541
24000,0.275,0.156,0.568,0.426950
24500,0.246,0.174,0.581,0.417110
25000,0.236,0.194,0.571,0.437158
25500,0.246,0.196,0.558,0.435091
26000,0.270,0.166,0.563,0.426161
26500,0.256,0.141,0.603,0.391396
27000,0.300,0.134,0.566,0.419603
27500,0.310,0.139,0.551,0.429599
28000,0.283,0.174,0.543,0.435633
28500,0.285,0.174,0.541,0.457834
29000,0.258,0.184,0.558,0.439577
29500,0.186,0.159,0.655,0.385421
30000,0.243,0.161,0.596,0.422524
30500,0.270,0.164,0.566,0.446787
31000,0.283,0.164,0.553,0.450159
31500,0.280,0.136,0.583,0.430168
32000,0.285,0.114,0.600,0.417342
32500,0.248,0.134,0.618,0.420561
33000,0.266,0.117,0.618,0.398918
33500,0.283,0.132,0.586,0.405550
34000,0.350,0.144,0.506,0.461259
34500,0.330,0.122,0.548,0.421509
35000,0.283,0.189,0.529,0.454466
35500,0.273,0.174,0.553,0.435531
36000,0.305,0.114,0.581,0.407380
36500,0.290,0.139,0.571,0.430206
37000,0.278,0.149,0.573,0.431903
37500,0.246,0.136,0.618,0.407878
38000,0.246,0.134,0.620,0.404220
38500,0.278,0.112,0.610,0.410451
39000,0.280,0.151,0.568,0.441055
39500,0.288,0.127,0.586,0.415057
40000,0.303,0.134,0.563,0.433518
40500,0.293,0.124,0.583,0.427289
41000,0.325,0.112,0.563,0.425579
41500,0.320,0.124,0.556,0.418379
42000,0.248,0.149,0.603,0.412857
42500,0.238,0.132,0.630,0.389531
43000,0.310,0.117,0.573,0.418045
43500,0.308,0.122,0.571,0.419124
44000,0.285,0.166,0.548,0.442583
44500,0.295,0.151,0.553,0.441239
45000,0.261,0.166,0.573,0.427061
45500,0.300,0.149,0.551,0.438479
46000,0.305,0.136,0.558,0.448712
46500,0.290,0.097,0.613,0.402841
47000,0.231,0.184,0.586,0.433840
47500,0.268,0.134,0.598,0.426844
48000,0.288,0.159,0.553,0.449573
48500,0.280,0.146,0.573,0.450970
49000,0.313,0.104,0.583,0.410482
49500,0.275,0.139,0.586,0.447450
50000,0.258,0.127,0.615,0.422417
50500,0.251,0.176,0.573,0.460909
51000,0.278,0.132,0.591,0.427592
51500,0.275,0.149,0.576,0.435656
52000,0.248,0.114,0.638,0.380417
52500,0.206,0.164,0.630,0.405144
53000,0.228,0.146,0.625,0.396051
53500,0.149,0.171,0.680,0.339214
54000,0.186,0.196,0.618,0.402689
54500,0.233,0.196,0.571,0.419465
55000,0.191,0.211,0.598,0.400631
55500,0.179,0.233,0.588,0.423299
56000,0.213,0.184,0.603,0.398843
56500,0.233,0.201,0.566,0.427491
57000,0.216,0.194,0.591,0.422359
57500,0.208,0.191,0.600,0.408447
58000,0.216,0.181,0.603,0.391999
58500,0.236,0.211,0.553,0.425176
59000,0.246,0.216,0.538,0.466098
59500,0.226,0.169,0.605,0.419428
60000,0.256,0.184,0.561,0.447704
60500,0.208,0.206,0.586,0.438768
61000,0.216,0.203,0.581,0.453877
61500,0.256,0.161,0.583,0.428305
62000,0.256,0.149,0.596,0.397737
62500,0.241,0.176,0.583,0.430715
63000,0.233,0.189,0.578,0.436911
63500,0.213,0.169,0.618,0.410846
64000,0.228,0.159,0.613,0.427668
64500,0.236,0.146,0.618,0.393934
65000,0.238,0.164,0.598,0.417202
65500,0.218,0.159,0.623,0.402364
66000,0.231,0.146,0.623,0.380017
66500,0.285,0.149,0.566,0.443362
67000,0.298,0.174,0.529,0.450711
67500,0.300,0.112,0.588,0.413429
68000,0.310,0.141,0.548,0.434271
68500,0.305,0.174,0.521,0.461252
69000,0.298,0.181,0.521,0.449227
69500,0.248,0.161,0.591,0.426144
70000,0.236,0.189,0.576,0.427116
70500,0.241,0.206,0.553,0.440813
71000,0.226,0.211,0.563,0.449139
71500,0.253,0.164,0.583,0.432458
72000,0.251,0.186,0.563,0.443577
72500,0.216,0.226,0.558,0.434945
73000,0.226,0.231,0.543,0.453172
73500,0.238,0.206,0.556,0.427078
74000,0.251,0.189,0.561,0.436021
74500,0.251,0.136,0.613,0.397927
75000,0.278,0.149,0.573,0.432648
75500,0.246,0.156,0.598,0.425504
76000,0.221,0.146,0.633,0.385171
76500,0.218,0.174,0.608,0.405685
77000,0.201,0.221,0.578,0.429117
77500,0.216,0.194,0.591,0.415356
78000,0.258,0.189,0.553,0.464803
78500,0.228,0.159,0.613,0.403990
79000,0.241,0.149,0.610,0.417440
79500,0.236,0.191,0.573,0.429441
80000,0.208,0.199,0.593,0.432933
80500,0.211,0.179,0.610,0.425802
81000,0.243,0.166,0.591,0.429763
81500,0.273,0.129,0.598,0.416476
82000,0.241,0.127,0.633,0.408138
82500,0.251,0.159,0.591,0.434471
83000,0.216,0.136,0.648,0.387617
83500,0.248,0.151,0.600,0.431861
84000,0.176,0.161,0.663,0.372522
84500,0.211,0.181,0.608,0.420525
85000,0.203,0.179,0.618,0.399522
85500,0.228,0.154,0.618,0.422231
86000,0.213,0.169,0.618,0.406674
86500,0.211,0.166,0.623,0.412376
87000,0.241,0.146,0.613,0.406705
87500,0.253,0.186,0.561,0.433332
88000,0.236,0.201,0.563,0.429801
88500,0.258,0.238,0.504,0.467669
89000,0.246,0.181,0.573,0.427081
89500,0.246,0.176,0.578,0.431197
90000,0.238,0.196,0.566,0.439193
90500,0.241,0.201,0.558,0.432739
91000,0.261,0.166,0.573,0.424904
91500,0.248,0.194,0.558,0.441383
92000,0.221,0.228,0.551,0.448290
92500,0.216,0.266,0.519,0.460945
93000,0.253,0.213,0.533,0.465717
93500,0.290,0.139,0.571,0.423312
94000,0.243,0.134,0.623,0.394098
94500,0.248,0.146,0.605,0.401551
95000,0.186,0.186,0.628,0.401130
95500,0.201,0.191,0.608,0.414440
96000,0.241,0.132,0.628,0.384521
96500,0.186,0.201,0.613,0.394629
97000,0.218,0.191,0.591,0.417655
97500,0.216,0.184,0.600,0.414430
98000,0.208,0.174,0.618,0.386479
98500,0.251,0.139,0.610,0.411595
99000,0.246,0.169,0.586,0.422532
99500,0.213,0.174,0.613,0.412778
100000,0.221,0.149,0.630,0.396513
