time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.028,0.856,0.116,0.204350
1000,0.028,0.639,0.333,0.333950
1500,0.028,0.407,0.566,0.326964
2000,0.028,0.220,0.752,0.219350
2500,0.028,0.125,0.847,0.147851
3000,0.028,0.070,0.902,0.097555
3500,0.028,0.040,0.933,0.074073
4000,0.028,0.034,0.939,0.069886
4500,0.028,0.024,0.948,0.062883
5000,0.028,0.021,0.951,0.060040
5500,0.028,0.018,0.954,0.057459
6000,0.028,0.009,0.963,0.050879
6500,0.028,0.006,0.966,0.046556
7000,0.028,0.006,0.966,0.046556
7500,0.028,0.006,0.966,0.046556
8000,0.028,0.006,0.966,0.046556
8500,0.028,0.006,0.966,0.046556
9000,0.028,0.006,0.966,0.046556
9500,0.028,0.006,0.966,0.046556
10000,0.028,0.003,0.969,0.045308
10500,0.028,0.003,0.969,0.045308
11000,0.028,0.003,0.969,0.045308
11500,0.028,0.003,0.969,0.045308
12000,0.028,0.003,0.969,0.045308
12500,0.028,0.003,0.969,0.045308
13000,0.028,0.003,0.969,0.045308
13500,0.028,0.003,0.969,0.045308
14000,0.028,0.003,0.969,0.045308
14500,0.028,0.003,0.969,0.045308
15000,0.028,0.003,0.969,0.045308
15500,0.028,0.003,0.969,0.045308
16000,0.028,0.000,0.972,0.044037
16500,0.028,0.000,0.972,0.044037
17000,0.028,0.000,0.972,0.044037
17500,0.028,0.000,0.972,0.044037
18000,0.028,0.000,0.972,0.044037
18500,0.028,0.000,0.972,0.044037
19000,0.028,0.000,0.972,0.044037
19500,0.028,0.000,0.972,0.044037
20000,0.028,0.000,0.972,0.044037
20500,0.028,0.000,0.972,0.044037
21000,0.028,0.000,0.972,0.044037
21500,0.028,0.000,0.972,0.044037
22000,0.028,0.000,0.972,0.044037
22500,0.028,0.000,0.972,0.044037
23000,0.028,0.000,0.972,0.044037
23500,0.028,0.000,0.972,0.044037
24000,0.028,0.000,0.972,0.044037
24500,0.028,0.000,0.972,0.044037
25000,0.028,0.000,0.972,0.044037
25500,0.028,0.000,0.972,0.044037
26000,0.028,0.000,0.972,0.044037
26500,0.028,0.000,0.972,0.044037
27000,0.028,0.000,0.972,0.044037
27500,0.028,0.000,0.972,0.044037
28000,0.028,0.000,0.972,0.044037
28500,0.028,0.000,0.972,0.044037
29000,0.028,0.000,0.972,0.044037
29500,0.028,0.000,0.972,0.044037
30000,0.028,0.000,0.972,0.044037
30500,0.028,0.000,0.972,0.044037
31000,0.028,0.000,0.972,0.044037
31500,0.028,0.000,0.972,0.044037
32000,0.028,0.000,0.972,0.044037
32500,0.028,0.000,0.972,0.044037
33000,0.028,0.000,0.972,0.044037
33500,0.028,0.000,0.972,0.044037
34000,0.028,0.000,0.972,0.044037
34500,0.028,0.000,0.972,0.044037
35000,0.028,0.000,0.972,0.044037
35500,0.028,0.000,0.972,0.044037
36000,0.028,0.000,0.972,0.044037
36500,0.028,0.000,0.972,0.044037
37000,0.028,0.000,0.972,0.044037
37500,0.028,0.000,0.972,0.044037
38000,0.028,0.000,0.972,0.044037
38500,0.028,0.000,0.972,0.044037
39000,0.028,0.000,0.972,0.044037
39500,0.028,0.000,0.972,0.044037
40000,0.028,0.000,0.972,0.044037
40500,0.028,0.000,0.972,0.044037
41000,0.028,0.000,0.972,0.044037
41500,0.028,0.000,0.972,0.044037
42000,0.028,0.000,0.972,0.044037
42500,0.028,0.000,0.972,0.044037
43000,0.028,0.000,0.972,0.044037
43500,0.028,0.000,0.972,0.044037
44000,0.028,0.000,0.972,0.044037
44500,0.028,0.000,0.972,0.044037
45000,0.028,0.000,0.972,0.044037
45500,0.028,0.000,0.972,0.044037
46000,0.028,0.000,0.972,0.044037
46500,0.028,0.000,0.972,0.044037
47000,0.028,0.000,0.972,0.044037
47500,0.028,0.000,0.972,0.044037
48000,0.028,0.000,0.972,0.044037
48500,0.028,0.000,0.972,0.044037
49000,0.028,0.000,0.972,0.044037
49500,0.028,0.000,0.972,0.044037
50000,0.028,0.000,0.972,0.044037
50500,0.028,0.000,0.972,0.044037
51000,0.028,0.000,0.972,0.044037
51500,0.028,0.000,0.972,0.044037
52000,0.028,0.000,0.972,0.044037
52500,0.028,0.000,0.972,0.044037
53000,0.028,0.000,0.972,0.044037
53500,0.028,0.000,0.972,0.044037
54000,0.028,0.000,0.972,0.044037
54500,0.028,0.000,0.972,0.044037
55000,0.028,0.000,0.972,0.044037
55500,0.028,0.000,0.972,0.044037
56000,0.028,0.000,0.972,0.044037
56500,0.028,0.000,0.972,0.044037
57000,0.028,0.000,0.972,0.044037
57500,0.028,0.000,0.972,0.044037
58000,0.028,0.000,0.972,0.044037
58500,0.028,0.000,0.972,0.044037
59000,0.028,0.000,0.972,0.044037
59500,0.028,0.000,0.972,0.044037
60000,0.028,0.000,0.972,0.044037
60500,0.028,0.000,0.972,0.044037
61000,0.028,0.000,0.972,0.044037
61500,0.028,0.000,0.972,0.044037
62000,0.028,0.000,0.972,0.044037
62500,0.028,0.000,0.972,0.044037
63000,0.028,0.000,0.972,0.044037
63500,0.028,0.000,0.972,0.044037
64000,0.028,0.000,0.972,0.044037
64500,0.028,0.000,0.972,0.044037
65000,0.028,0.000,0.972,0.044037
65500,0.028,0.000,0.972,0.044037
66000,0.028,0.000,0.972,0.044037
66500,0.028,0.000,0.972,0.044037
67000,0.028,0.000,0.972,0.044037
67500,0.028,0.000,0.972,0.044037
68000,0.028,0.000,0.972,0.044037
68500,0.028,0.000,0.972,0.044037
69000,0.028,0.000,0.972,0.044037
69500,0.028,0.000,0.972,0.044037
70000,0.028,0.000,0.972,0.044037
70500,0.028,0.000,0.972,0.044037
71000,0.028,0.000,0.972,0.044037
71500,0.028,0.000,0.972,0.044037
72000,0.028,0.000,0.972,0.044037
72500,0.028,0.000,0.972,0.044037
73000,0.028,0.000,0.972,0.044037
73500,0.028,0.000,0.972,0.044037
74000,0.028,0.000,0.972,0.044037
74500,0.028,0.000,0.972,0.044037
75000,0.028,0.000,0.972,0.044037
75500,0.028,0.000,0.972,0.044037
76000,0.028,0.000,0.972,0.044037
76500,0.028,0.000,0.972,0.044037
77000,0.028,0.000,0.972,0.044037
77500,0.028,0.000,0.972,0.044037
78000,0.028,0.000,0.972,0.044037
78500,0.028,0.000,0.972,0.044037
79000,0.028,0.000,0.972,0.044037
79500,0.028,0.000,0.972,0.044037
80000,0.028,0.000,0.972,0.044037
80500,0.028,0.000,0.972,0.044037
81000,0.028,0.000,0.972,0.044037
81500,0.028,0.000,0.972,0.044037
82000,0.028,0.000,0.972,0.044037
82500,0.028,0.000,0.972,0.044037
83000,0.028,0.000,0.972,0.044037
83500,0.028,0.000,0.972,0.044037
84000,0.028,0.000,0.972,0.044037
84500,0.028,0.000,0.972,0.044037
85000,0.028,0.000,0.972,0.044037
85500,0.028,0.000,0.972,0.044037
86000,0.028,0.000,0.972,0.044037
86500,0.028,0.000,0.972,0.044037
87000,0.028,0.000,0.972,0.044037
87500,0.028,0.000,0.972,0.044037
88000,0.028,0.000,0.972,0.044037
88500,0.028,0.000,0.972,0.044037
89000,0.028,0.000,0.972,0.044037
89500,0.028,0.000,0.972,0.044037
90000,0.028,0.000,0.972,0.044037
90500,0.028,0.000,0.972,0.044037
91000,0.028,0.000,0.972,0.044037
91500,0.028,0.000,0.972,0.044037
92000,0.028,0.000,0.972,0.044037
92500,0.028,0.000,0.972,0.044037
93000,0.028,0.000,0.972,0.044037
93500,0.028,0.000,0.972,0.044037
94000,0.028,0.000,0.972,0.044037
94500,0.028,0.000,0.972,0.044037
95000,0.028,0.000,0.972,0.044037
95500,0.028,0.000,0.972,0.044037
96000,0.028,0.000,0.972,0.044037
96500,0.028,0.000,0.972,0.044037
97000,0.028,0.000,0.972,0.044037
97500,0.028,0.000,0.972,0.044037
98000,0.028,0.000,0.972,0.044037
98500,0.028,0.000,0.972,0.044037
99000,0.028,0.000,0.972,0.044037
99500,0.028,0.000,0.972,0.044037
100000,0.028,0.000,0.972,0.044037
