time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.032,0.790,0.178,0.496201
1000,0.034,0.630,0.336,0.467361
1500,0.038,0.543,0.419,0.478470
2000,0.040,0.485,0.475,0.484949
2500,0.054,0.403,0.544,0.471876
3000,0.048,0.333,0.619,0.407531
3500,0.047,0.305,0.648,0.416915
4000,0.051,0.283,0.666,0.427633
4500,0.064,0.251,0.685,0.445132
5000,0.072,0.183,0.746,0.328158
5500,0.076,0.147,0.777,0.360510
6000,0.079,0.126,0.796,0.371056
6500,0.084,0.123,0.792,0.364664
7000,0.117,0.091,0.792,0.371730
7500,0.123,0.108,0.769,0.447955
8000,0.095,0.111,0.793,0.403500
8500,0.095,0.109,0.796,0.379659
9000,0.081,0.111,0.808,0.337875
9500,0.130,0.102,0.768,0.435403
10000,0.115,0.094,0.791,0.376782
10500,0.126,0.093,0.781,0.442399
11000,0.100,0.097,0.803,0.324781
11500,0.118,0.079,0.803,0.344362
12000,0.137,0.058,0.806,0.342934
12500,0.118,0.059,0.822,0.332783
13000,0.115,0.061,0.824,0.341918
13500,0.136,0.065,0.799,0.413748
14000,0.155,0.059,0.786,0.441572
14500,0.171,0.040,0.789,0.405725
15000,0.173,0.036,0.792,0.376634
15500,0.213,0.033,0.754,0.457735
16000,0.213,0.040,0.747,0.450797
16500,0.204,0.031,0.764,0.371649
17000,0.232,0.033,0.735,0.470591
17500,0.158,0.057,0.785,0.445370
18000,0.145,0.061,0.794,0.380108
18500,0.135,0.052,0.813,0.323734
19000,0.178,0.047,0.775,0.404228
19500,0.200,0.038,0.761,0.444858
20000,0.169,0.044,0.788,0.409245
20500,0.155,0.041,0.804,0.366648
21000,0.160,0.045,0.795,0.419827
21500,0.152,0.038,0.810,0.372435
22000,0.159,0.033,0.807,0.371832
22500,0.165,0.044,0.790,0.440188
23000,0.174,0.053,0.773,0.394225
23500,0.176,0.061,0.763,0.438889
24000,0.190,0.038,0.772,0.439028
24500,0.197,0.031,0.772,0.419089
25000,0.204,0.030,0.766,0.417751
25500,0.184,0.034,0.782,0.403301
26000,0.187,0.024,0.789,0.368725
26500,0.228,0.030,0.743,0.415553
27000,0.208,0.035,0.757,0.418182
27500,0.228,0.032,0.740,0.445443
28000,0.272,0.031,0.697,0.488678
28500,0.234,0.021,0.745,0.409486
29000,0.237,0.028,0.735,0.455085
29500,0.259,0.020,0.721,0.456257
30000,0.235,0.028,0.737,0.456981
30500,0.239,0.034,0.727,0.453253
31000,0.217,0.022,0.761,0.384569
31500,0.202,0.030,0.768,0.365944
32000,0.191,0.044,0.765,0.360143
32500,0.237,0.035,0.728,0.473793
33000,0.191,0.030,0.779,0.376150
33500,0.187,0.029,0.784,0.394056
34000,0.207,0.027,0.766,0.430453
34500,0.191,0.021,0.788,0.399565
35000,0.210,0.028,0.763,0.424326
35500,0.228,0.036,0.737,0.435334
36000,0.207,0.036,0.757,0.436074
36500,0.178,0.037,0.785,0.339096
37000,0.209,0.030,0.761,0.395700
37500,0.216,0.031,0.753,0.433667
38000,0.197,0.045,0.758,0.423156
38500,0.190,0.033,0.777,0.419601
39000,0.192,0.041,0.767,0.472949
39500,0.161,0.037,0.802,0.390111
40000,0.169,0.037,0.794,0.364924
40500,0.206,0.032,0.762,0.417631
41000,0.252,0.030,0.718,0.482382
41500,0.285,0.017,0.698,0.421008
42000,0.232,0.027,0.741,0.411277
42500,0.217,0.020,0.763,0.405791
43000,0.177,0.032,0.791,0.358029
43500,0.172,0.024,0.804,0.356944
44000,0.144,0.062,0.793,0.413264
44500,0.195,0.029,0.776,0.432136
45000,0.165,0.029,0.806,0.404797
45500,0.175,0.044,0.781,0.425896
46000,0.175,0.032,0.793,0.363076
46500,0.169,0.038,0.792,0.370329
47000,0.177,0.043,0.780,0.409069
47500,0.188,0.039,0.773,0.399584
48000,0.222,0.030,0.749,0.394218
48500,0.204,0.045,0.750,0.452675
49000,0.192,0.032,0.776,0.449714
49500,0.176,0.034,0.790,0.379824
50000,0.198,0.038,0.764,0.408756
50500,0.174,0.029,0.797,0.345252
51000,0.242,0.022,0.736,0.456079
51500,0.206,0.022,0.772,0.400059
52000,0.191,0.028,0.781,0.407214
52500,0.169,0.018,0.813,0.318259
53000,0.206,0.030,0.764,0.445819
53500,0.182,0.031,0.788,0.386153
54000,0.166,0.040,0.793,0.363282
54500,0.206,0.035,0.759,0.426969
55000,0.205,0.032,0.763,0.383848
55500,0.236,0.029,0.736,0.422606
56000,0.203,0.040,0.757,0.380608
56500,0.263,0.029,0.709,0.483706
57000,0.203,0.026,0.771,0.379622
57500,0.192,0.026,0.782,0.361123
58000,0.224,0.013,0.763,0.401692
58500,0.220,0.019,0.761,0.390150
59000,0.222,0.019,0.758,0.427972
59500,0.246,0.020,0.735,0.431587
60000,0.232,0.020,0.747,0.376109
60500,0.244,0.024,0.732,0.457266
61000,0.227,0.016,0.757,0.387653
61500,0.257,0.015,0.729,0.421464
62000,0.233,0.025,0.742,0.401068
62500,0.220,0.028,0.752,0.406522
63000,0.205,0.033,0.761,0.448142
63500,0.187,0.028,0.785,0.371493
64000,0.201,0.026,0.773,0.423027
64500,0.239,0.018,0.743,0.388462
65000,0.235,0.020,0.744,0.415894
65500,0.220,0.020,0.760,0.448297
66000,0.200,0.028,0.772,0.407464
66500,0.210,0.026,0.764,0.388741
67000,0.211,0.021,0.768,0.384126
67500,0.233,0.022,0.745,0.410749
68000,0.230,0.022,0.749,0.437953
68500,0.218,0.029,0.753,0.410648
69000,0.215,0.023,0.763,0.388481
69500,0.217,0.029,0.754,0.409990
