time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.030,0.965,0.005,0.030082
1000,0.035,0.943,0.022,0.083493
1500,0.036,0.952,0.012,0.047362
2000,0.036,0.943,0.021,0.082616
2500,0.039,0.932,0.030,0.105263
3000,0.034,0.921,0.045,0.105556
3500,0.038,0.941,0.021,0.054889
4000,0.036,0.934,0.031,0.063450
4500,0.038,0.941,0.021,0.050124
5000,0.035,0.937,0.029,0.060685
5500,0.036,0.931,0.034,0.069783
6000,0.034,0.935,0.032,0.067459
6500,0.038,0.944,0.018,0.047143
7000,0.036,0.922,0.042,0.070866
7500,0.036,0.932,0.033,0.064051
8000,0.036,0.934,0.031,0.055415
8500,0.037,0.931,0.033,0.065108
9000,0.036,0.923,0.041,0.063432
9500,0.033,0.899,0.068,0.079491
10000,0.035,0.909,0.056,0.080256
10500,0.040,0.902,0.058,0.087132
11000,0.039,0.909,0.052,0.066913
11500,0.037,0.903,0.060,0.080441
12000,0.040,0.922,0.038,0.065368
12500,0.044,0.909,0.047,0.074831
13000,0.038,0.919,0.043,0.055161
13500,0.038,0.931,0.032,0.061061
14000,0.036,0.940,0.025,0.035563
14500,0.037,0.934,0.030,0.048200
15000,0.045,0.908,0.047,0.097736
15500,0.038,0.900,0.062,0.123506
16000,0.040,0.914,0.046,0.094150
16500,0.040,0.914,0.046,0.074031
17000,0.041,0.912,0.047,0.070318
17500,0.042,0.918,0.040,0.078593
18000,0.039,0.913,0.048,0.067821
18500,0.039,0.912,0.049,0.087547
19000,0.037,0.916,0.047,0.088416
19500,0.033,0.928,0.039,0.055361
20000,0.040,0.915,0.045,0.077176
20500,0.038,0.912,0.050,0.086012
21000,0.042,0.921,0.037,0.067772
21500,0.044,0.912,0.044,0.077021
22000,0.041,0.924,0.035,0.057379
22500,0.038,0.918,0.044,0.058124
23000,0.037,0.921,0.042,0.064475
23500,0.036,0.926,0.038,0.065286
24000,0.038,0.921,0.041,0.062645
24500,0.033,0.921,0.046,0.061768
25000,0.034,0.921,0.045,0.063261
25500,0.032,0.922,0.046,0.052685
26000,0.033,0.921,0.046,0.056849
26500,0.037,0.917,0.046,0.078963
27000,0.036,0.908,0.056,0.084709
27500,0.034,0.905,0.061,0.115312
28000,0.035,0.924,0.041,0.071392
28500,0.036,0.932,0.033,0.057799
29000,0.034,0.931,0.036,0.064763
29500,0.034,0.938,0.029,0.045928
30000,0.032,0.936,0.033,0.061752
30500,0.032,0.936,0.033,0.065467
31000,0.035,0.933,0.033,0.067035
31500,0.035,0.932,0.034,0.063574
32000,0.034,0.917,0.049,0.105361
32500,0.037,0.936,0.028,0.055050
33000,0.035,0.928,0.037,0.083946
33500,0.035,0.940,0.026,0.055850
34000,0.037,0.905,0.058,0.116559
34500,0.040,0.901,0.059,0.112340
35000,0.037,0.908,0.055,0.068381
35500,0.049,0.898,0.053,0.117662
36000,0.045,0.905,0.050,0.092010
36500,0.047,0.877,0.076,0.128625
37000,0.042,0.889,0.069,0.116139
