time,n_A+p,n_B,n_AB
0,0.450,0.550,0.000
500,0.256,0.299,0.446
1000,0.222,0.239,0.538
1500,0.193,0.193,0.614
2000,0.228,0.139,0.633
2500,0.197,0.119,0.683
3000,0.160,0.112,0.728
3500,0.147,0.140,0.713
4000,0.180,0.115,0.705
4500,0.157,0.112,0.731
5000,0.136,0.091,0.772
5500,0.185,0.093,0.723
6000,0.201,0.093,0.707
6500,0.195,0.088,0.717
7000,0.242,0.064,0.694
7500,0.193,0.066,0.740
8000,0.237,0.052,0.711
8500,0.219,0.048,0.733
9000,0.242,0.059,0.699
9500,0.244,0.047,0.709
10000,0.214,0.052,0.734
10500,0.253,0.051,0.696
11000,0.268,0.034,0.698
11500,0.298,0.044,0.658
12000,0.310,0.044,0.646
12500,0.245,0.049,0.706
13000,0.260,0.046,0.694
13500,0.289,0.044,0.666
14000,0.224,0.059,0.717
14500,0.215,0.057,0.728
15000,0.177,0.099,0.724
15500,0.168,0.083,0.749
16000,0.173,0.079,0.749
16500,0.150,0.077,0.774
17000,0.146,0.090,0.765
17500,0.187,0.085,0.728
18000,0.155,0.080,0.765
18500,0.123,0.097,0.780
19000,0.148,0.077,0.775
19500,0.137,0.087,0.776
20000,0.116,0.126,0.758
20500,0.148,0.103,0.749
21000,0.126,0.102,0.771
21500,0.149,0.093,0.758
22000,0.108,0.109,0.782
22500,0.117,0.126,0.757
23000,0.109,0.150,0.741
23500,0.102,0.137,0.760
24000,0.108,0.115,0.778
24500,0.109,0.143,0.748
25000,0.114,0.116,0.770
25500,0.104,0.139,0.758
26000,0.094,0.140,0.766
26500,0.081,0.136,0.783
27000,0.136,0.118,0.746
27500,0.153,0.120,0.728
28000,0.105,0.121,0.774
28500,0.083,0.139,0.778
29000,0.078,0.162,0.760
29500,0.055,0.210,0.735
30000,0.071,0.190,0.739
30500,0.081,0.211,0.708
31000,0.083,0.172,0.745
31500,0.082,0.161,0.757
32000,0.091,0.143,0.766
32500,0.074,0.148,0.778
33000,0.083,0.147,0.770
33500,0.081,0.172,0.747
34000,0.063,0.211,0.726
34500,0.072,0.216,0.712
35000,0.061,0.228,0.711
35500,0.079,0.221,0.701
36000,0.089,0.169,0.742
36500,0.046,0.167,0.787
37000,0.066,0.172,0.762
37500,0.072,0.155,0.774
38000,0.054,0.190,0.756
38500,0.055,0.173,0.772
39000,0.036,0.208,0.756
39500,0.051,0.257,0.693
40000,0.034,0.282,0.683
40500,0.043,0.283,0.674
41000,0.033,0.285,0.682
41500,0.024,0.308,0.668
42000,0.030,0.320,0.651
42500,0.019,0.347,0.634
43000,0.014,0.329,0.657
43500,0.023,0.346,0.632
44000,0.019,0.378,0.603
44500,0.013,0.379,0.608
45000,0.010,0.462,0.527
45500,0.009,0.382,0.608
46000,0.014,0.386,0.600
46500,0.011,0.405,0.584
47000,0.010,0.349,0.641
47500,0.020,0.276,0.704
48000,0.033,0.244,0.724
48500,0.033,0.246,0.721
49000,0.073,0.171,0.756
49500,0.049,0.162,0.788
50000,0.076,0.134,0.789
50500,0.080,0.139,0.781
51000,0.097,0.146,0.758
51500,0.063,0.175,0.763
52000,0.058,0.142,0.800
52500,0.069,0.126,0.805
53000,0.054,0.152,0.795
53500,0.052,0.187,0.760
54000,0.048,0.199,0.753
54500,0.069,0.177,0.754
55000,0.074,0.188,0.738
55500,0.052,0.198,0.749
56000,0.040,0.187,0.774
56500,0.031,0.218,0.751
57000,0.035,0.214,0.751
57500,0.040,0.216,0.744
58000,0.038,0.214,0.748
58500,0.054,0.218,0.728
59000,0.071,0.231,0.698
59500,0.042,0.236,0.722
60000,0.043,0.193,0.764
60500,0.038,0.217,0.745
61000,0.036,0.215,0.749
61500,0.040,0.197,0.763
62000,0.031,0.228,0.741
62500,0.029,0.280,0.692
63000,0.023,0.329,0.648
63500,0.024,0.314,0.662
64000,0.020,0.297,0.683
64500,0.016,0.346,0.637
65000,0.017,0.308,0.674
65500,0.026,0.241,0.733
66000,0.038,0.201,0.761
66500,0.024,0.236,0.740
67000,0.024,0.273,0.703
67500,0.034,0.234,0.732
68000,0.024,0.203,0.773
68500,0.026,0.222,0.751
69000,0.026,0.211,0.763
69500,0.043,0.192,0.765
70000,0.029,0.287,0.685
70500,0.025,0.279,0.696
71000,0.030,0.288,0.682
71500,0.025,0.329,0.646
72000,0.029,0.289,0.682
72500,0.027,0.249,0.724
73000,0.028,0.265,0.707
73500,0.024,0.261,0.715
74000,0.031,0.239,0.729
74500,0.038,0.243,0.719
75000,0.037,0.244,0.719
75500,0.031,0.231,0.738
76000,0.041,0.214,0.744
76500,0.037,0.262,0.701
77000,0.054,0.251,0.696
77500,0.027,0.228,0.744
78000,0.036,0.265,0.699
78500,0.041,0.275,0.684
79000,0.033,0.286,0.681
79500,0.034,0.304,0.662
80000,0.031,0.321,0.647
80500,0.031,0.281,0.688
81000,0.040,0.325,0.635
81500,0.014,0.349,0.637
82000,0.015,0.332,0.653
82500,0.013,0.345,0.642
83000,0.011,0.359,0.630
83500,0.015,0.388,0.598
84000,0.016,0.387,0.597
84500,0.026,0.382,0.593
85000,0.027,0.309,0.664
85500,0.027,0.351,0.622
86000,0.029,0.364,0.607
86500,0.034,0.307,0.659
87000,0.040,0.315,0.644
87500,0.030,0.310,0.661
88000,0.025,0.306,0.669
88500,0.018,0.334,0.648
89000,0.015,0.393,0.592
89500,0.027,0.377,0.597
90000,0.020,0.361,0.619
90500,0.017,0.392,0.591
91000,0.034,0.381,0.586
91500,0.049,0.313,0.639
92000,0.046,0.337,0.617
92500,0.026,0.322,0.653
