time,n_A+p,n_B,n_AB
100,0.030,0.966,0.004
200,0.030,0.966,0.004
300,0.031,0.963,0.006
400,0.030,0.962,0.008
500,0.030,0.961,0.009
600,0.030,0.954,0.016
700,0.030,0.952,0.018
800,0.030,0.938,0.033
900,0.032,0.918,0.050
1000,0.036,0.914,0.050
1100,0.046,0.897,0.057
1200,0.042,0.891,0.067
1300,0.040,0.885,0.076
1400,0.039,0.878,0.083
1500,0.035,0.885,0.081
1600,0.034,0.876,0.090
1700,0.032,0.875,0.093
1800,0.031,0.865,0.104
1900,0.038,0.860,0.102
2000,0.037,0.858,0.105
2100,0.038,0.855,0.107
2200,0.041,0.845,0.114
2300,0.042,0.841,0.117
2400,0.046,0.836,0.118
2500,0.047,0.834,0.120
2600,0.044,0.829,0.127
2700,0.060,0.807,0.133
2800,0.056,0.792,0.152
2900,0.055,0.785,0.159
3000,0.054,0.788,0.158
3100,0.055,0.789,0.156
3200,0.061,0.771,0.168
3300,0.056,0.759,0.185
3400,0.052,0.758,0.190
3500,0.053,0.760,0.187
3600,0.058,0.757,0.185
3700,0.066,0.758,0.176
3800,0.073,0.748,0.180
3900,0.075,0.740,0.186
4000,0.068,0.746,0.186
4100,0.068,0.746,0.186
4200,0.069,0.748,0.183
4300,0.069,0.737,0.193
4400,0.065,0.739,0.196
4500,0.073,0.721,0.206
4600,0.076,0.718,0.206
4700,0.073,0.701,0.227
4800,0.081,0.709,0.210
4900,0.082,0.706,0.212
5000,0.083,0.713,0.204
5100,0.089,0.698,0.213
5200,0.089,0.685,0.226
5300,0.096,0.688,0.216
5400,0.092,0.680,0.228
5500,0.100,0.669,0.231
5600,0.097,0.664,0.239
5700,0.088,0.653,0.259
5800,0.089,0.645,0.267
5900,0.090,0.649,0.261
6000,0.111,0.656,0.233
6100,0.104,0.648,0.248
6200,0.103,0.640,0.256
6300,0.130,0.641,0.229
6400,0.118,0.630,0.251
6500,0.117,0.623,0.259
6600,0.122,0.608,0.271
6700,0.121,0.611,0.269
6800,0.115,0.596,0.289
6900,0.121,0.596,0.284
7000,0.123,0.596,0.282
7100,0.124,0.589,0.287
7200,0.149,0.573,0.278
7300,0.150,0.570,0.280
7400,0.138,0.570,0.292
7500,0.132,0.579,0.289
7600,0.132,0.577,0.291
7700,0.135,0.570,0.295
7800,0.143,0.561,0.296
7900,0.137,0.565,0.298
8000,0.134,0.550,0.317
8100,0.123,0.571,0.306
8200,0.124,0.573,0.303
8300,0.127,0.574,0.299
8400,0.156,0.578,0.266
8500,0.153,0.576,0.271
8600,0.137,0.570,0.293
8700,0.146,0.555,0.299
8800,0.140,0.556,0.304
8900,0.135,0.555,0.311
9000,0.143,0.564,0.293
9100,0.145,0.569,0.286
9200,0.138,0.579,0.283
9300,0.138,0.581,0.281
9400,0.140,0.578,0.282
9500,0.134,0.577,0.289
9600,0.135,0.564,0.301
9700,0.137,0.568,0.295
9800,0.137,0.568,0.295
9900,0.143,0.574,0.283
10000,0.147,0.571,0.282
10100,0.151,0.563,0.286
10200,0.152,0.564,0.284
10300,0.153,0.558,0.289
10400,0.155,0.554,0.291
10500,0.152,0.553,0.295
10600,0.139,0.536,0.325
10700,0.136,0.535,0.329
10800,0.131,0.534,0.335
10900,0.135,0.540,0.325
11000,0.138,0.528,0.334
11100,0.142,0.535,0.323
11200,0.144,0.541,0.315
11300,0.155,0.526,0.319
11400,0.155,0.530,0.315
11500,0.145,0.528,0.327
11600,0.152,0.524,0.324
11700,0.142,0.536,0.322
11800,0.139,0.535,0.326
11900,0.138,0.526,0.336
12000,0.129,0.522,0.349
12100,0.125,0.522,0.353
12200,0.121,0.528,0.351
12300,0.128,0.520,0.352
12400,0.128,0.508,0.365
12500,0.144,0.510,0.346
12600,0.137,0.507,0.356
12700,0.134,0.516,0.350
12800,0.153,0.516,0.331
12900,0.151,0.517,0.332
13000,0.145,0.504,0.351
13100,0.155,0.505,0.340
13200,0.151,0.497,0.351
13300,0.146,0.497,0.356
13400,0.147,0.495,0.358
13500,0.168,0.496,0.336
13600,0.172,0.478,0.350
13700,0.165,0.488,0.346
13800,0.158,0.482,0.360
13900,0.161,0.487,0.351
14000,0.161,0.483,0.355
14100,0.159,0.476,0.365
14200,0.159,0.472,0.369
14300,0.176,0.473,0.351
14400,0.173,0.451,0.376
14500,0.159,0.437,0.403
14600,0.145,0.445,0.410
14700,0.147,0.436,0.417
14800,0.161,0.429,0.410
14900,0.157,0.431,0.412
15000,0.156,0.435,0.409
15100,0.156,0.444,0.399
15200,0.163,0.443,0.393
15300,0.175,0.447,0.378
15400,0.159,0.465,0.376
15500,0.153,0.462,0.385
15600,0.151,0.457,0.392
15700,0.149,0.463,0.388
15800,0.168,0.458,0.375
15900,0.157,0.444,0.398
16000,0.174,0.442,0.384
16100,0.174,0.448,0.378
16200,0.178,0.439,0.383
16300,0.173,0.433,0.394
16400,0.166,0.447,0.386
16500,0.158,0.446,0.395
16600,0.158,0.447,0.394
16700,0.148,0.449,0.402
